,3prime,tAI,max_5_UTR_length,TCGA-AO-A12F,TCGA-AO-A12F.1
AAK1,17874.0,0.380718848,505.0,-0.455689,-0.161940681
AATF,207.0,0.367011205,251.0,0.352724,0.89692781
ABCC1,1793.0,0.393368456,175.0,0.865515,0.682225006
ABCF3,5726.0,0.387768135,869.0,-0.343154,-0.192474474
ABHD12,654.0,0.374654709,279.0,-0.348063,-0.417975332
ABHD6,1639.0,0.384216096,505.0,0.080723,0.105225921
ABR,2562.0,0.39474042,600.0,-1.254568,-0.532769058
ABT1,2092.0,0.423473096,40.0,0.119432,0.555786197
ACADVL,176.0,0.46877374,457.0,0.382051,-0.200693245
ACBD6,155.0,0.433964845,621.0,0.638851,0.08642251
ACIN1,584.0,0.404933544,328.0,0.176543,-0.036979886
ACO1,4661.0,0.37721508,227.0,0.135527,-0.117448899
ACOT11,1220.0,0.392289045,176.0,-1.304369,-0.430001108
ACOT9,4514.0,0.358892202,225.0,0.09161,-0.26052048
ACP2,814.0,0.411581374,548.0,-0.04172,0.011961335
ACSF2,1484.0,0.405139059,501.0,-1.356206,-1.149656072
ACSL1,1530.0,0.417966714,990.0,0.427441,0.172275024
ACSL5,1022.0,0.380976548,307.0,-0.28245,-0.285059005
ACTB,613.0,0.469768794,192.0,0.499435,0.138343156
ACTL6A,452.0,0.409046191,387.0,0.629572,0.283278291
ACTR1A,3151.0,0.432463663,108.0,-0.387749,-0.663953512
ADA,312.0,0.444091501,440.0,0.426764,-0.411837573
ADAMDEC1,715.0,0.41564171,547.0,-6.439145,-0.191397419
ADD1,1928.0,0.439806775,863.0,-0.758234,0.30927873
ADPRH,2067.0,0.380088169,541.0,0.144715,-0.171136584
ADSSL1,320.0,0.393141878,776.0,1.281324,0.063895361
AGAP3,508.0,0.436856677,1584.0,0.635942,0.311536064
AHNAK,842.0,0.382138706,300.0,-1.560619,-0.883889061
AHSA1,225.0,0.374296292,431.0,1.055856,0.107446577
AIF1,121.0,0.4069451,222.0,-1.146966,-1.22089702
AIFM2,1911.0,0.447982482,217.0,-0.377368,-0.562707757
AK1,1528.0,0.389481519,153.0,-0.447028,-0.545599203
AK2,2893.0,0.384271636,345.0,-0.651879,-0.648333452
AKR1C2,3804.0,0.449591167,413.0,1.121779,-1.741559591
AKR7A2,10996.0,0.385600504,22.0,-0.991192,-0.406792487
ALDH18A1,838.0,0.380333742,511.0,0.006034,0.065276215
ALDH3A2,2525.0,0.42484639,221.0,-1.155948,0.119487659
ALDH6A1,4647.0,0.38708374,724.0,-0.99879,-0.355242128
ALG1,2498.0,0.432230555,181.0,-0.677196,0.42189366
ALG5,380.0,0.362014155,67.0,-0.581285,-0.107222072
ALG9,4217.0,0.365461171,1107.0,0.106743,-0.086311686
ALOX5AP,976.0,0.392577632,248.0,-0.871464,-0.062953253
AMBRA1,1041.0,0.36170155,362.0,-0.136955,0.353844952
AMPD2,903.0,0.389224108,566.0,0.055359,0.35228967
AMPD3,1695.0,0.423686063,472.0,-1.745594,-0.715522702
ANAPC5,235.0,0.390209877,197.0,0.032599,0.371759032
ANKLE2,1737.0,0.418251419,90.0,-0.255758,0.233261065
ANKRD16,135.0,0.465649334,543.0,-0.255928,-0.041245647
ANKRD35,249.0,0.402949835,108.0,2.495128,0.792722433
ANXA2,496.0,0.429738522,160.0,-0.959819,-0.749748537
ANXA5,1441.0,0.418050335,165.0,0.481503,-0.099571201
AP1B1,1153.0,0.424070668,187.0,0.026316,0.088884622
AP1M1,914.0,0.463388599,173.0,0.170744,0.504760458
APBA1,3797.0,0.387421148,276.0,3.181252,1.274191087
APIP,427.0,0.433104693,127.0,-0.527097,-0.733394221
APOBEC3B,339.0,0.43450554,55.0,-0.796227,-0.950445304
APOBEC3C,1979.0,0.381716897,103.0,-0.242872,-1.079280643
APOBEC3G,322.0,0.410940579,404.0,-1.370582,-0.70120696
APOL2,1195.0,0.42932248,477.0,-0.828772,-1.079353021
ARF6,2971.0,0.462806813,621.0,-0.528405,-0.581611277
ARFIP2,2430.0,0.403729309,291.0,-1.6102,-0.696817938
ARHGAP17,2624.0,0.371011524,117.0,-0.002394,0.09991286
ARHGAP30,773.0,0.384451823,645.0,0.297568,-0.815414737
ARHGEF10,1378.0,0.370244255,202.0,1.322006,0.504839557
ARID2,3145.0,0.362288628,128.0,-0.881854,-0.116271385
ARID3A,3881.0,0.411693449,290.0,-0.815927,-0.947821003
ARIH2,3112.0,0.397061561,878.0,0.622154,0.357159279
ARL8A,1065.0,0.409602486,171.0,0.842765,0.418370402
