,3prime,tAI,max_5_UTR_length,TCGA-A2-A0YM,TCGA-A2-A0YM.1
AAK1,17874.0,0.380718848,505.0,0.06948,0.284990894
AATF,207.0,0.367011205,251.0,0.430621,-0.209191412
ABCC1,1793.0,0.393368456,175.0,0.43577,0.161002065
ABCF3,5726.0,0.387768135,869.0,-0.265825,-0.357795811
ABHD12,654.0,0.374654709,279.0,-0.745233,-0.04356023
ABHD6,1639.0,0.384216096,505.0,-0.000366,0.422251532
ABR,2562.0,0.39474042,600.0,0.41574,0.142450512
ABT1,2092.0,0.423473096,40.0,0.373345,-0.485895957
ACADVL,176.0,0.46877374,457.0,-0.359285,0.840035057
ACBD6,155.0,0.433964845,621.0,-0.783063,0.419466763
ACIN1,584.0,0.404933544,328.0,-0.281467,-0.50672096
ACO1,4661.0,0.37721508,227.0,-0.943328,1.585626226
ACOT11,1220.0,0.392289045,176.0,2.665969,0.423883323
ACOT9,4514.0,0.358892202,225.0,0.088416,0.612045545
ACP2,814.0,0.411581374,548.0,0.009242,0.060828497
ACSF2,1484.0,0.405139059,501.0,-0.98409,0.285426629
ACSL1,1530.0,0.417966714,990.0,-0.040855,1.642377611
ACSL5,1022.0,0.380976548,307.0,0.019576,-0.218483376
ACTB,613.0,0.469768794,192.0,0.149604,-0.186049169
ACTL6A,452.0,0.409046191,387.0,0.794971,-0.52897159
ACTR1A,3151.0,0.432463663,108.0,-0.021787,0.598477578
ADA,312.0,0.444091501,440.0,0.383882,0.794100146
ADAMDEC1,715.0,0.41564171,547.0,3.443741,0.495266749
ADD1,1928.0,0.439806775,863.0,-0.414016,1.056981355
ADPRH,2067.0,0.380088169,541.0,0.762473,0.640581879
ADSSL1,320.0,0.393141878,776.0,-0.977771,0.050708156
AHNAK,842.0,0.382138706,300.0,-0.731575,0.418554057
AHSA1,225.0,0.374296292,431.0,0.202649,-0.391816786
AIF1,121.0,0.4069451,222.0,0.184653,1.410357373
AIFM2,1911.0,0.447982482,217.0,-0.682227,1.632365355
AK1,1528.0,0.389481519,153.0,-1.030201,0.695812682
AK2,2893.0,0.384271636,345.0,0.51282,-0.131556794
AKR1C2,3804.0,0.449591167,413.0,-2.834887,1.938015487
AKR7A2,10996.0,0.385600504,22.0,0.104869,-0.176447194
ALDH18A1,838.0,0.380333742,511.0,-0.078898,-0.647488994
ALDH3A2,2525.0,0.42484639,221.0,0.762696,0.225945124
ALDH6A1,4647.0,0.38708374,724.0,-0.52019,0.653026245
ALG1,2498.0,0.432230555,181.0,-0.731597,-0.701506589
ALG5,380.0,0.362014155,67.0,-1.266191,-0.512924375
ALOX5AP,976.0,0.392577632,248.0,0.892323,-0.778356821
AMBRA1,1041.0,0.36170155,362.0,-0.286793,-0.037790088
AMPD2,903.0,0.389224108,566.0,0.054874,0.261826348
AMPD3,1695.0,0.423686063,472.0,0.66515,0.184815698
ANAPC13,1361.0,0.393644021,731.0,-0.660015,0.422736357
ANAPC5,235.0,0.390209877,197.0,-0.204535,-0.09512283
ANKLE2,1737.0,0.418251419,90.0,0.068058,0.043560199
ANKRD16,135.0,0.465649334,543.0,-0.394196,-0.277934191
ANXA2,496.0,0.429738522,160.0,0.221096,0.84461309
ANXA5,1441.0,0.418050335,165.0,0.362078,0.510403938
AP1B1,1153.0,0.424070668,187.0,-0.041179,0.378593889
AP1M1,914.0,0.463388599,173.0,-0.120927,-0.023882764
APIP,427.0,0.433104693,127.0,-0.230673,0.757872382
APOBEC3B,339.0,0.43450554,55.0,4.402281,-0.00080948
APOBEC3C,1979.0,0.381716897,103.0,1.473073,0.345325454
APOBEC3G,322.0,0.410940579,404.0,0.82817,0.462050862
APOL2,1195.0,0.42932248,477.0,-0.960448,0.428329827
ARF6,2971.0,0.462806813,621.0,0.115707,-0.352957462
ARFIP2,2430.0,0.403729309,291.0,-1.13873,-0.548329956
ARHGAP17,2624.0,0.371011524,117.0,-0.075184,0.428694599
ARHGAP30,773.0,0.384451823,645.0,0.48349,0.354186457
ARHGEF10,1378.0,0.370244255,202.0,0.974276,0.390033595
ARID2,3145.0,0.362288628,128.0,0.54865,0.003120814
ARID3A,3881.0,0.411693449,290.0,1.15291,1.483220546
ARIH2,3112.0,0.397061561,878.0,-0.031867,0.438901249
ARL8A,1065.0,0.409602486,171.0,-0.092633,0.132543345
ARRB1,6041.0,0.39512759,224.0,-1.347785,0.230909754
ASF1B,950.0,0.395794233,172.0,0.788215,-0.300448976
ASS1,1357.0,0.394201053,356.0,1.221461,0.917835725
ATPAF1,3039.0,0.439253133,510.0,-0.587899,0.012928407
AXL,1863.0,0.417061167,376.0,-0.234501,0.288692996
BAG1,2764.0,0.431693656,501.0,-0.822504,-0.384975467
BAG3,537.0,0.387438444,306.0,-1.206235,0.374532129
BASP1,971.0,0.520859146,259.0,0.468429,2.025527341
BBS7,1531.0,0.408023089,184.0,0.329537,0.0959259
BCAT2,364.0,0.445598481,657.0,-1.335147,-0.41383406
BCKDHB,3082.0,0.419736544,88.0,0.809661,0.225133168
BCL2,5279.0,0.374049285,493.0,-1.866345,-0.571319854
BCL2L13,4109.0,0.411790332,769.0,-0.008003,-0.299846768
BID,4193.0,0.428633517,498.0,0.583077,0.171624368
BLVRA,3376.0,0.414260839,177.0,-2.335135,-0.09008079
BOLA2,40.0,0.43059393,513.0,-0.185185,-0.538475823
BOLA3,383.0,0.406657227,38.0,-0.21906,0.43342593
BRD2,787.0,0.377809737,2066.0,0.501858,-0.196959785
BRD3,3285.0,0.401150236,188.0,1.379227,0.053183027
BSPRY,1091.0,0.380011644,48.0,0.626438,-0.845039593
BST2,411.0,0.444557266,81.0,0.445912,-0.454180943
BUB3,1535.0,0.421992618,242.0,-0.040828,-0.384800082
C1QB,152.0,0.436596666,340.0,0.581302,0.724528097
C1QC,327.0,0.41150294,283.0,0.775261,0.747608959
C2CD3,671.0,0.360398895,227.0,0.595903,0.477779891
C3,5088.0,0.430632158,93.0,1.029095,2.07060599
CAP1,1134.0,0.406948565,416.0,0.096004,0.273553799
CAPN1,720.0,0.455130071,197.0,0.117405,-0.142593208
CAPRIN1,5632.0,0.374918508,189.0,0.345316,-0.735212034
CAPZB,5180.0,0.446052528,622.0,-0.304692,0.195062754
CARD16,437.0,0.41300235,27.0,-0.171173,0.897156308
CARHSP1,4898.0,0.362100245,360.0,0.62208,0.611190364
CASC3,1778.0,0.370720542,295.0,0.083875,-0.307737346
CASP1,750.0,0.424742838,44.0,-0.098578,0.366046565
CASP8,1794.0,0.376118708,303.0,-0.396478,-0.200516755
CAT,629.0,0.397270122,89.0,-0.448319,1.010820396
CBL,8368.0,0.375957197,142.0,0.595197,0.10657807
CBLL1,3286.0,0.400851504,467.0,-0.524861,-0.407246715
CBR3,54.0,0.445176236,228.0,1.01758,0.101629179
