,3prime,tAI,max_5_UTR_length,TCGA-BH-A0E9,TCGA-BH-A0E9.1
AAK1,17874.0,0.380718848,505.0,0.887097,0.197603447
AATF,207.0,0.367011205,251.0,-0.133647,-0.052444908
ABCC1,1793.0,0.393368456,175.0,0.203945,-0.166253752
ABCF3,5726.0,0.387768135,869.0,-0.101809,-0.175548171
ABHD12,654.0,0.374654709,279.0,-0.057666,0.066491056
ABHD6,1639.0,0.384216096,505.0,0.223448,0.653815244
ABR,2562.0,0.39474042,600.0,-0.045027,0.070962146
ABT1,2092.0,0.423473096,40.0,-0.386557,0.16231613
ACADVL,176.0,0.46877374,457.0,-0.68268,0.020463875
ACBD6,155.0,0.433964845,621.0,-0.116625,0.227496762
ACIN1,584.0,0.404933544,328.0,0.307048,-0.135856309
ACO1,4661.0,0.37721508,227.0,-0.027174,0.228685826
ACOT11,1220.0,0.392289045,176.0,-0.577763,-0.11605423
ACOT9,4514.0,0.358892202,225.0,-0.428535,0.153374294
ACP2,814.0,0.411581374,548.0,-0.805087,-0.516689123
ACSF2,1484.0,0.405139059,501.0,0.020322,-0.158993495
ACSL1,1530.0,0.417966714,990.0,-0.738578,-0.41819255
ACSL5,1022.0,0.380976548,307.0,0.41195,0.092114806
ACTB,613.0,0.469768794,192.0,-0.422647,-0.13513959
ACTL6A,452.0,0.409046191,387.0,0.018906,0.076904375
ACTR1A,3151.0,0.432463663,108.0,-0.330443,0.11840302
ADA,312.0,0.444091501,440.0,-0.602738,0.083090274
ADAMDEC1,715.0,0.41564171,547.0,-1.42846,0.934561875
ADD1,1928.0,0.439806775,863.0,-0.071416,0.486540623
ADPRH,2067.0,0.380088169,541.0,-0.068415,-0.140713366
ADSSL1,320.0,0.393141878,776.0,0.817781,0.060526416
AGAP3,508.0,0.436856677,1584.0,-0.285832,0.119177071
AHNAK,842.0,0.382138706,300.0,0.937278,0.595817938
AHSA1,225.0,0.374296292,431.0,-0.271169,-0.319873016
AIF1,121.0,0.4069451,222.0,-0.248235,0.322766715
AIFM2,1911.0,0.447982482,217.0,-1.346456,0.218691834
AK1,1528.0,0.389481519,153.0,-0.600397,0.294196022
AK2,2893.0,0.384271636,345.0,-0.790941,-0.368260877
AKR1C2,3804.0,0.449591167,413.0,-0.238929,-0.035527563
AKR7A2,10996.0,0.385600504,22.0,-0.519814,0.013424342
ALDH18A1,838.0,0.380333742,511.0,0.160083,-0.414379602
ALDH3A2,2525.0,0.42484639,221.0,0.363437,-0.04265057
ALDH6A1,4647.0,0.38708374,724.0,1.359021,0.242018066
ALG1,2498.0,0.432230555,181.0,-0.393009,-0.038526756
ALG5,380.0,0.362014155,67.0,-0.529469,-0.311501457
ALOX5AP,976.0,0.392577632,248.0,-0.371288,0.162533604
AMBRA1,1041.0,0.36170155,362.0,0.075564,-0.030671617
AMPD2,903.0,0.389224108,566.0,-0.426741,-0.024310788
AMPD3,1695.0,0.423686063,472.0,0.347867,-0.333851337
ANAPC13,1361.0,0.393644021,731.0,-0.174231,-0.646169933
ANAPC5,235.0,0.390209877,197.0,-0.277492,-0.08523825
ANKLE2,1737.0,0.418251419,90.0,0.062235,0.035531702
ANKRD16,135.0,0.465649334,543.0,0.982021,-0.048678257
ANKRD35,249.0,0.402949835,108.0,1.103106,0.356496216
ANXA2,496.0,0.429738522,160.0,-0.550038,0.440996866
ANXA5,1441.0,0.418050335,165.0,-0.624968,0.079575531
AP1B1,1153.0,0.424070668,187.0,-0.497877,-0.097368989
AP1M1,914.0,0.463388599,173.0,-0.284312,-0.181824421
APBA1,3797.0,0.387421148,276.0,0.930853,-0.094263331
APIP,427.0,0.433104693,127.0,-0.384442,-0.039930905
APOBEC3B,339.0,0.43450554,55.0,-0.632325,-0.835896983
APOBEC3C,1979.0,0.381716897,103.0,0.254445,-0.060895098
APOBEC3G,322.0,0.410940579,404.0,-0.100169,-0.02465231
APOL2,1195.0,0.42932248,477.0,-0.292106,-0.35791989
ARF6,2971.0,0.462806813,621.0,0.44308,-0.151382952
ARFIP2,2430.0,0.403729309,291.0,-0.188914,-0.386770526
ARHGAP17,2624.0,0.371011524,117.0,0.049367,0.104522897
ARHGAP30,773.0,0.384451823,645.0,-0.032427,-0.053918886
ARHGEF10,1378.0,0.370244255,202.0,0.475358,0.270044196
ARID2,3145.0,0.362288628,128.0,0.520815,-0.038406965
ARID3A,3881.0,0.411693449,290.0,-0.496323,-0.445556263
ARIH2,3112.0,0.397061561,878.0,-0.416594,0.071867834
ARL8A,1065.0,0.409602486,171.0,0.461854,0.251612943
ARRB1,6041.0,0.39512759,224.0,0.258238,0.05471333
ASF1B,950.0,0.395794233,172.0,-0.549639,0.215089361
ASS1,1357.0,0.394201053,356.0,0.324419,0.0464717
ATPAF1,3039.0,0.439253133,510.0,-0.419119,-0.424029537
AXL,1863.0,0.417061167,376.0,0.017635,-0.037124048
B4GALT7,4483.0,0.433879574,93.0,-0.493565,0.873840174
BAG1,2764.0,0.431693656,501.0,0.526384,0.002797103
BAG3,537.0,0.387438444,306.0,0.020727,0.086344848
BASP1,971.0,0.520859146,259.0,-1.183597,0.498479516
BBS7,1531.0,0.408023089,184.0,9.9e-05,0.538098522
BCAT2,364.0,0.445598481,657.0,-0.043872,-0.494356988
BCKDHB,3082.0,0.419736544,88.0,0.13805,-0.028845013
BCL2,5279.0,0.374049285,493.0,1.049106,0.067152606
BCL2L13,4109.0,0.411790332,769.0,-0.014815,-0.369815581
BID,4193.0,0.428633517,498.0,0.293896,-0.179452978
BLVRA,3376.0,0.414260839,177.0,-0.724827,-0.066710528
BOLA2,40.0,0.43059393,513.0,-1.142406,-0.387613372
BOLA3,383.0,0.406657227,38.0,-0.034618,-0.009797471
BRD2,787.0,0.377809737,2066.0,0.108745,-0.276762952
BRD3,3285.0,0.401150236,188.0,0.729076,0.084601449
BSPRY,1091.0,0.380011644,48.0,0.265078,0.141988593
BST2,411.0,0.444557266,81.0,-2.019414,-0.945138036
BUB3,1535.0,0.421992618,242.0,-0.026838,-0.090614296
C1QB,152.0,0.436596666,340.0,-0.499773,0.686676644
C1QC,327.0,0.41150294,283.0,-0.571968,0.809423803
C2CD3,671.0,0.360398895,227.0,0.268655,-0.042482894
C3,5088.0,0.430632158,93.0,0.878579,1.342634412
CAP1,1134.0,0.406948565,416.0,-0.456869,-0.178677679
CAPN1,720.0,0.455130071,197.0,-0.072396,0.103413505
CAPRIN1,5632.0,0.374918508,189.0,0.179209,-0.223340361
CAPZB,5180.0,0.446052528,622.0,-0.728687,0.072745175
CARD16,437.0,0.41300235,27.0,-0.465564,-0.055350637
CARHSP1,4898.0,0.362100245,360.0,-0.557738,-0.226784563
CASC3,1778.0,0.370720542,295.0,0.055735,-0.041268101
CASP1,750.0,0.424742838,44.0,0.162141,0.030022572
CASP8,1794.0,0.376118708,303.0,0.522102,-0.094730755
CAT,629.0,0.397270122,89.0,0.1251,0.130612321
CBL,8368.0,0.375957197,142.0,0.696981,-0.061969461
CBLL1,3286.0,0.400851504,467.0,0.370416,0.04576587
CBR3,54.0,0.445176236,228.0,-0.072797,0.211735088
CBS,4385.0,0.477784031,626.0,-0.998632,-1.776935879
CBX5,10815.0,0.390902295,318.0,-0.291774,0.122466166
CBX8,2504.0,0.36735217,118.0,-0.756839,-0.20418163
CCDC115,2169.0,0.385110507,452.0,0.224946,-0.379037848
CCDC125,2554.0,0.359965106,322.0,0.186526,-0.608187136
CCDC58,2462.0,0.421830022,75.0,-0.293458,0.095876499
CCDC88C,1302.0,0.396031427,154.0,1.322708,0.032044865
CCL5,886.0,0.462166288,68.0,0.217731,-0.28803188
CCNA2,1206.0,0.409154498,373.0,-1.425535,-0.998860169
CCNB2,168.0,0.374401461,184.0,-0.844187,-0.030526461
CCNDBP1,2336.0,0.44393643,231.0,-0.009465,0.490271205
CCS,4244.0,0.460896681,43.0,-0.525444,0.009463388
CCT3,238.0,0.457984718,231.0,-0.223655,-0.146450168
CCT4,1361.0,0.393363555,164.0,0.164965,-0.286030926
CD14,128.0,0.416321757,392.0,-1.049153,0.72111025
CD209,3046.0,0.440000747,67.0,0.590491,1.11142325
CD36,2894.0,0.410517795,414.0,1.252216,0.936039859
CD40,982.0,0.429065654,90.0,-0.149673,-0.109594624
CD44,3115.0,0.39995987,434.0,0.334296,-0.231207146
CD63,923.0,0.512738356,403.0,-0.508438,-0.511682684
CD74,635.0,0.427357309,187.0,-0.30224,-0.538440497
CDC25C,437.0,0.364786128,387.0,-1.158527,-0.073493575
CDC26,271.0,0.395637029,359.0,0.146583,-0.112356084
CDC34,560.0,0.46431386,199.0,-0.420843,-0.102988696
CDCA3,816.0,0.351209268,820.0,-1.520867,-0.516981807
CDCA8,1353.0,0.384295288,290.0,-1.315409,-0.345599098
CDIPT,1864.0,0.442654716,541.0,-0.085053,-0.882878519
CDK1,2313.0,0.398329505,154.0,-0.483245,-0.283887678
CDK19,4557.0,0.421511824,180.0,0.674169,0.076446151
CDK2AP1,766.0,0.439144625,522.0,-0.614508,0.093190615
CDK5RAP2,367.0,0.371069462,192.0,0.404599,0.286795687
CDK5RAP3,284.0,0.469750898,1791.0,-0.452234,-0.110080012
CDKAL1,1365.0,0.417875209,167.0,-0.443471,-0.270962306
CDKN2AIPNL,3639.0,0.409801696,53.0,-0.460579,-0.162428997
CDKN2C,2247.0,0.381912025,1216.0,-0.601645,0.852118982
CEBPD,1714.0,0.430497143,44.0,1.088236,0.193781316
CENPH,1478.0,0.418392258,87.0,-0.315216,1.272857696
CENPV,301.0,0.385948267,62.0,-0.528978,0.424338971
CEP55,939.0,0.397841874,304.0,-1.303423,-0.161509374
CETN2,868.0,0.433727498,47.0,0.286307,0.315160298
CFL1,677.0,0.502791,234.0,-0.944289,-0.084552584
CHAC2,786.0,0.395629742,277.0,0.328695,-0.155361598
