,3prime,tAI,max_5_UTR_length,TCGA-AO-A0JJ,TCGA-AO-A0JJ.1
AAK1,17874.0,0.380718848,505.0,0.368291,0.318773335
AATF,207.0,0.367011205,251.0,0.130798,-0.264517573
ABCC1,1793.0,0.393368456,175.0,-0.268804,-0.156232415
ABCF3,5726.0,0.387768135,869.0,-0.005344,-0.150834575
ABHD12,654.0,0.374654709,279.0,0.619977,0.329438934
ABHD6,1639.0,0.384216096,505.0,0.147525,0.212916353
ABR,2562.0,0.39474042,600.0,-0.136601,0.154353766
ABT1,2092.0,0.423473096,40.0,-0.898089,-0.472875812
ACADVL,176.0,0.46877374,457.0,-0.20343,-0.031611536
ACBD6,155.0,0.433964845,621.0,-0.085366,0.065760485
ACIN1,584.0,0.404933544,328.0,-0.14937,0.077872881
ACO1,4661.0,0.37721508,227.0,0.539516,0.225669264
ACOT11,1220.0,0.392289045,176.0,-0.053193,-0.266093786
ACOT9,4514.0,0.358892202,225.0,-0.623355,0.1302072
ACP2,814.0,0.411581374,548.0,0.211607,0.169649188
ACSF2,1484.0,0.405139059,501.0,0.292943,-0.181260776
ACSL1,1530.0,0.417966714,990.0,0.403165,-0.066236412
ACSL5,1022.0,0.380976548,307.0,0.393058,0.013638579
ACTB,613.0,0.469768794,192.0,-0.17405,-0.569444261
ACTL6A,452.0,0.409046191,387.0,-0.291165,-0.095969198
ACTR1A,3151.0,0.432463663,108.0,-0.339916,0.132963951
ADA,312.0,0.444091501,440.0,-0.094741,0.147201437
ADAMDEC1,715.0,0.41564171,547.0,0.0,-0.568759735
ADD1,1928.0,0.439806775,863.0,0.143082,0.259974396
ADPRH,2067.0,0.380088169,541.0,0.364196,0.016067019
ADSSL1,320.0,0.393141878,776.0,0.858655,0.281730298
AGAP3,508.0,0.436856677,1584.0,-0.343011,0.058715711
AHNAK,842.0,0.382138706,300.0,0.448369,0.490498344
AHSA1,225.0,0.374296292,431.0,-0.487316,-0.416218052
AIF1,121.0,0.4069451,222.0,1.510911,1.04294468
AIFM2,1911.0,0.447982482,217.0,0.512388,0.506734394
AK1,1528.0,0.389481519,153.0,0.010132,0.154876345
AK2,2893.0,0.384271636,345.0,-0.045088,-0.33588915
AKR1C2,3804.0,0.449591167,413.0,2.244795,-0.135177105
AKR7A2,10996.0,0.385600504,22.0,-0.007428,-0.007778013
ALDH18A1,838.0,0.380333742,511.0,-0.268396,-0.720360671
ALDH3A2,2525.0,0.42484639,221.0,1.501573,0.544258489
ALDH6A1,4647.0,0.38708374,724.0,0.494592,-0.019972315
ALG1,2498.0,0.432230555,181.0,0.100327,0.092853249
ALG5,380.0,0.362014155,67.0,-0.0086,-0.054416809
ALG9,4217.0,0.365461171,1107.0,0.22348,0.047324636
ALOX5AP,976.0,0.392577632,248.0,0.940567,0.39784925
AMBRA1,1041.0,0.36170155,362.0,0.049006,-0.359978517
AMPD2,903.0,0.389224108,566.0,-0.014969,0.106907654
AMPD3,1695.0,0.423686063,472.0,0.551495,0.46592136
ANAPC5,235.0,0.390209877,197.0,-0.276105,-0.018892552
ANKLE2,1737.0,0.418251419,90.0,-0.358794,-0.141488701
ANKRD16,135.0,0.465649334,543.0,0.432233,-0.01472457
ANKRD35,249.0,0.402949835,108.0,0.882053,0.151672734
ANXA2,496.0,0.429738522,160.0,-0.519119,-0.210290868
ANXA5,1441.0,0.418050335,165.0,0.433978,0.202613907
AP1B1,1153.0,0.424070668,187.0,0.103955,-0.060090607
AP1M1,914.0,0.463388599,173.0,-0.06536,-0.145959777
APBA1,3797.0,0.387421148,276.0,0.159367,0.216367458
APIP,427.0,0.433104693,127.0,0.063264,0.407183533
APOBEC3B,339.0,0.43450554,55.0,0.345045,-0.945486652
APOBEC3C,1979.0,0.381716897,103.0,0.92173,0.331577248
APOBEC3G,322.0,0.410940579,404.0,1.138619,0.522113946
APOL2,1195.0,0.42932248,477.0,0.072879,0.111790634
ARF6,2971.0,0.462806813,621.0,-0.187427,-0.312289493
ARFIP2,2430.0,0.403729309,291.0,0.100876,-0.067879986
ARHGAP17,2624.0,0.371011524,117.0,-0.473317,0.01911959
ARHGAP30,773.0,0.384451823,645.0,0.997696,0.638609029
ARHGEF10,1378.0,0.370244255,202.0,0.319087,0.062568591
ARID2,3145.0,0.362288628,128.0,0.379605,0.203719872
ARID3A,3881.0,0.411693449,290.0,-0.480495,-0.43644372
ARIH2,3112.0,0.397061561,878.0,-0.483963,0.029334349
ARL8A,1065.0,0.409602486,171.0,-0.245015,-0.035842737
ARRB1,6041.0,0.39512759,224.0,0.245751,0.325644893
ASF1B,950.0,0.395794233,172.0,0.61635,-0.270362733
ASS1,1357.0,0.394201053,356.0,-0.667852,-0.54648179
ATPAF1,3039.0,0.439253133,510.0,0.574818,-0.043596453
ATRIP,162.0,0.417082642,462.0,0.229656,-0.163817872
AXL,1863.0,0.417061167,376.0,0.726741,0.152981068
BAG1,2764.0,0.431693656,501.0,0.50827,0.349201709
BAG3,537.0,0.387438444,306.0,-0.391421,-0.535266458
BASP1,971.0,0.520859146,259.0,1.300941,0.983273276
BBS7,1531.0,0.408023089,184.0,0.011928,0.207714753
BCAT2,364.0,0.445598481,657.0,-0.280697,-0.377613418
BCKDHB,3082.0,0.419736544,88.0,-0.44982,-0.134715957
BCL2,5279.0,0.374049285,493.0,0.261098,-0.26606406
BCL2L13,4109.0,0.411790332,769.0,0.0539,-0.151546342
BID,4193.0,0.428633517,498.0,0.064946,0.213915099
BLVRA,3376.0,0.414260839,177.0,0.798625,0.511587332
BOLA2,40.0,0.43059393,513.0,-0.142318,-0.035388978
BOLA3,383.0,0.406657227,38.0,-0.218894,-0.392742526
BRD2,787.0,0.377809737,2066.0,-0.808217,0.140836736
BRD3,3285.0,0.401150236,188.0,-0.192707,0.194167622
BSPRY,1091.0,0.380011644,48.0,-0.643676,0.249935195
BST2,411.0,0.444557266,81.0,0.588669,0.41667947
BUB3,1535.0,0.421992618,242.0,0.447135,0.094302064
C1QB,152.0,0.436596666,340.0,0.764239,0.310518602
C1QC,327.0,0.41150294,283.0,0.643136,0.150497636
C2CD3,671.0,0.360398895,227.0,-0.038082,0.002486584
C3,5088.0,0.430632158,93.0,1.640218,0.06220957
CAP1,1134.0,0.406948565,416.0,-0.01665,0.270504201
CAPN1,720.0,0.455130071,197.0,0.110947,0.048285682
CAPRIN1,5632.0,0.374918508,189.0,-0.117013,-0.23018655
CAPZB,5180.0,0.446052528,622.0,-0.147579,0.102732437
CARD16,437.0,0.41300235,27.0,0.261574,0.70609744
CARHSP1,4898.0,0.362100245,360.0,-0.227329,-0.118407827
CASC3,1778.0,0.370720542,295.0,-0.146573,-0.213788922
CASP1,750.0,0.424742838,44.0,0.718871,0.556589452
CASP8,1794.0,0.376118708,303.0,0.16658,0.195586763
CAT,629.0,0.397270122,89.0,0.704374,-0.200976993
CBL,8368.0,0.375957197,142.0,0.123515,0.05450599
CBLL1,3286.0,0.400851504,467.0,0.101551,0.097484211
CBR3,54.0,0.445176236,228.0,0.448579,0.121642759
CBS,4385.0,0.477784031,626.0,0.261578,-1.327631222
CBX5,10815.0,0.390902295,318.0,-0.532187,0.009511972
CBX8,2504.0,0.36735217,118.0,-0.502428,0.098872006
CCDC115,2169.0,0.385110507,452.0,0.286732,-0.009937473
CCDC125,2554.0,0.359965106,322.0,0.065464,-0.074639031
CCDC58,2462.0,0.421830022,75.0,-0.274651,-0.254982108
CCDC88C,1302.0,0.396031427,154.0,0.648859,-0.069122063
CCL5,886.0,0.462166288,68.0,1.523358,0.424967871
CCNA2,1206.0,0.409154498,373.0,0.000812,-0.103702181
CCNDBP1,2336.0,0.44393643,231.0,0.646317,-0.363220941
CCS,4244.0,0.460896681,43.0,0.027928,0.234390936
CCT3,238.0,0.457984718,231.0,-0.77823,-0.124500207
CCT4,1361.0,0.393363555,164.0,-0.315265,-0.137387515
CD14,128.0,0.416321757,392.0,1.195435,0.512813259
CD209,3046.0,0.440000747,67.0,0.075669,-0.477793963
CD33,331.0,0.428315036,40.0,1.312588,0.811248825
CD36,2894.0,0.410517795,414.0,2.922469,1.170516458
CD40,982.0,0.429065654,90.0,0.52615,0.511154037
CD44,3115.0,0.39995987,434.0,0.83772,0.276046605
CD63,923.0,0.512738356,403.0,0.553861,0.771466768
CD74,635.0,0.427357309,187.0,1.18591,0.870271974
CDC26,271.0,0.395637029,359.0,-0.00767,0.000764682
CDC34,560.0,0.46431386,199.0,-0.451888,-0.142626949
CDC42EP3,3941.0,0.420378821,1009.0,0.799705,0.045121738
CDCA3,816.0,0.351209268,820.0,-0.379626,-0.181212912
CDCA8,1353.0,0.384295288,290.0,-0.016202,-0.302063858
CDIPT,1864.0,0.442654716,541.0,-0.034004,-0.464689507
CDK1,2313.0,0.398329505,154.0,0.144213,-0.244734018
CDK19,4557.0,0.421511824,180.0,0.143124,0.147184969
CDK2AP1,766.0,0.439144625,522.0,-0.507085,-0.759124847
CDK5RAP2,367.0,0.371069462,192.0,0.028323,0.041862505
CDK5RAP3,284.0,0.469750898,1791.0,-0.164903,-0.216218787
CDKAL1,1365.0,0.417875209,167.0,-0.338764,-0.384800831
CDKN2AIPNL,3639.0,0.409801696,53.0,0.206944,-0.412131673
CDKN2C,2247.0,0.381912025,1216.0,0.385251,0.682617425
CENPH,1478.0,0.418392258,87.0,0.144877,0.056022703
CENPV,301.0,0.385948267,62.0,0.676943,0.424806802
CEP55,939.0,0.397841874,304.0,-0.293998,-0.45665169
CES3,2100.0,0.377378956,446.0,2.028799,-0.292052574
CETN2,868.0,0.433727498,47.0,-0.061798,0.323643898
CFL1,677.0,0.502791,234.0,-0.503176,-0.334538372
CHAC2,786.0,0.395629742,277.0,0.959523,0.246405976
CHCHD4,3528.0,0.445497334,326.0,-0.167989,-0.106036023
CHMP4A,296.0,0.447100154,262.0,-0.081354,0.121737287
CHMP5,1241.0,0.442987983,200.0,0.190867,0.169796973
CHMP6,980.0,0.489861105,78.0,0.007015,0.162331002
CHST11,4211.0,0.430763246,498.0,0.18939,-0.411702337
CHTF8,2425.0,0.424551152,142.0,-0.155312,-0.198864052
CIAPIN1,1024.0,0.451663323,242.0,-0.52623,-0.348641515
CISD2,5376.0,0.433298698,107.0,0.488838,0.229588302
CKAP4,2872.0,0.386259817,84.0,0.071593,0.102493644
CKS2,300.0,0.317949998,98.0,-0.055391,0.227516486
CLCC1,5185.0,0.369704467,150.0,0.217174,0.240002212
CLCN7,1698.0,0.459147749,110.0,-0.356686,-0.07618878
CLIC1,290.0,0.4571302,573.0,-0.505445,-0.352409286
CLK2,350.0,0.410673686,925.0,-0.324204,0.339079807
CLK3,1233.0,0.4268607,461.0,-0.44309,-0.03750231
CLPTM1,458.0,0.383990827,351.0,0.069169,-0.113627805
CLTA,288.0,0.450950874,514.0,0.053767,-0.211157371
CLTB,319.0,0.48548545,210.0,-0.134706,0.057328346
CLTC,3104.0,0.384957863,443.0,0.018844,-0.385704643
CNBP,6850.0,0.433298698,206.0,0.22663,0.023824343
CNPY2,123.0,0.392778455,553.0,0.283086,0.019587044
CNPY3,1042.0,0.459231502,584.0,0.149437,0.115497978
COG3,1967.0,0.414689223,142.0,-0.442584,-0.255285051
COMMD1,306.0,0.423842833,138.0,-0.04913,0.208804385
COMMD3,431.0,0.360487018,35.0,-0.492567,-0.009277461
COMMD5,498.0,0.445713337,399.0,-0.411612,-0.130526376
COMMD6,1375.0,0.396967837,328.0,0.091814,0.129890308
COMMD9,2340.0,0.418062772,89.0,-0.30154,-0.038192705
COPB1,446.0,0.381738818,307.0,0.32525,-0.212007059
COPE,165.0,0.478760693,55.0,0.012671,-0.226624538
COQ6,671.0,0.374062527,159.0,0.039966,-0.064638056
COQ7,5700.0,0.42379098,133.0,-0.17091,-0.031391374
CORO1A,112.0,0.457388252,435.0,1.41293,0.671424783
COX17,1735.0,0.484254073,86.0,0.027271,-0.2518271
COX5A,860.0,0.429944966,140.0,0.042948,-0.19156462
COX7A2,302.0,0.441893926,98.0,-0.436551,-0.319930954
CPM,5262.0,0.406054343,75.0,0.276217,0.093785745
CPSF4,923.0,0.452412439,277.0,-0.058854,-0.017865126
CPT1A,2761.0,0.374132033,170.0,-0.307148,-0.394421128
CPT2,602.0,0.431256564,515.0,0.300141,-0.043053276
CRCP,8457.0,0.390198146,145.0,-0.558053,0.036888081
CRKL,3904.0,0.422225684,509.0,0.017593,-0.158823109
CRTAP,5601.0,0.446308827,120.0,0.403038,-0.062596274
CRTC3,3205.0,0.355982524,186.0,0.461354,0.414235891
CRYL1,462.0,0.386242786,79.0,-0.101212,0.375631041
CSRP1,1183.0,0.493833101,217.0,-0.149967,-0.336410551
CST3,2762.0,0.475763324,186.0,1.033741,0.868490244
CSTF2,1931.0,0.372934478,58.0,-0.118163,0.04328914
CTBP1,800.0,0.464034004,393.0,-0.109387,0.221665217
CTNNA1,1216.0,0.412513324,1103.0,-0.261537,-0.959887227
CTNNB1,1106.0,0.432073699,448.0,0.462201,-1.032712982
CTNNBIP1,2448.0,0.394834327,307.0,-0.373086,-0.545611504
CTPS2,1870.0,0.416273085,744.0,-0.541101,-0.040053107
CTSG,119.0,0.369503415,37.0,3.185053,0.613176347
CTSH,1072.0,0.446467856,1192.0,0.957284,0.953347902
CUEDC1,2047.0,0.374410739,719.0,0.72761,0.488457457
CUX1,1040.0,0.395555213,127.0,-0.372108,-0.238395995
CXCL10,814.0,0.410287201,105.0,0.494943,-0.677152827
CXCL9,2323.0,0.403736618,74.0,2.449334,-0.403772733
CYBB,2544.0,0.418993019,61.0,1.171301,0.668134212
CYP2S1,1051.0,0.420869286,58.0,0.322434,-0.060890521
CYTH4,1837.0,0.406296106,377.0,1.079176,0.543630797
DAB2,1757.0,0.368483127,531.0,0.455361,-0.12471897
DAGLB,721.0,0.377719723,170.0,0.133532,0.290110234
DAP3,768.0,0.366492687,184.0,-0.128659,-0.400286395
DAPP1,2082.0,0.348655603,90.0,0.352409,0.096672276
DBI,233.0,0.467027529,479.0,-0.052654,-0.646308
DCAF8,1877.0,0.380310979,212.0,-0.063125,0.157353538
DCP1A,4153.0,0.411936399,381.0,0.0964,-0.087511429
DCPS,4731.0,0.375605648,329.0,0.15987,0.336941232
DCTN5,10597.0,0.443116252,177.0,-0.420914,0.188106345
DDAH2,653.0,0.361046801,1104.0,-0.538323,0.105223671
DDB2,1223.0,0.43604051,195.0,1.00664,1.138316654
DDX23,713.0,0.445931172,91.0,-0.091131,0.083996846
DDX31,1870.0,0.361830896,544.0,-0.213816,-0.078076942
DDX47,438.0,0.379294484,22.0,-0.07164,-0.283434909
DDX54,1704.0,0.467316231,28.0,-0.016039,-0.246352266
DDX56,586.0,0.438032149,643.0,-0.156691,-0.168479242
DDX59,217.0,0.413095257,243.0,-0.521908,-0.219221747
DHODH,3463.0,0.371608285,21.0,-0.301157,0.057359784
DHPS,121.0,0.474111752,121.0,0.123552,-0.199508828
DHX15,459.0,0.379133957,168.0,-0.269737,0.026409435
DHX34,591.0,0.384465978,349.0,-0.5515,-0.067680562
DHX58,357.0,0.440330409,223.0,0.642796,0.304678708
DIABLO,719.0,0.425893605,1182.0,-0.306207,-0.25323585
DMAP1,63.0,0.471306,301.0,-0.080323,0.117829698
DMXL2,1274.0,0.389901613,225.0,0.049386,-0.030407517
DNAJA4,1736.0,0.398301408,169.0,-0.049948,-0.259774335
DNAJC14,1509.0,0.37755465,204.0,0.11787,0.226899834
DNAJC19,1326.0,0.403482491,259.0,0.241259,-0.193412138
DNAJC25,1212.0,0.430964931,56.0,0.381336,0.032988226
