,3prime,tAI,max_5_UTR_length,TCGA-A8-A06Z,TCGA-A8-A06Z.1
AAK1,17874.0,0.380718848,505.0,0.035553,0.302912285
AATF,207.0,0.367011205,251.0,0.156377,-0.077949609
ABCC1,1793.0,0.393368456,175.0,0.226953,-0.131206839
ABCF3,5726.0,0.387768135,869.0,0.60082,0.474462318
ABHD12,654.0,0.374654709,279.0,2.075724,-0.177858675
ABHD6,1639.0,0.384216096,505.0,1.816576,1.178301561
ABR,2562.0,0.39474042,600.0,-0.780337,-0.151425881
ABT1,2092.0,0.423473096,40.0,-0.610412,-1.492468147
ACADVL,176.0,0.46877374,457.0,0.422267,0.419235447
ACBD6,155.0,0.433964845,621.0,-0.258309,-0.000650804
ACIN1,584.0,0.404933544,328.0,-0.222731,0.411435968
ACO1,4661.0,0.37721508,227.0,0.184438,0.372193451
ACOT11,1220.0,0.392289045,176.0,1.745208,-9.35e-05
ACOT9,4514.0,0.358892202,225.0,-1.074496,-0.297652053
ACP2,814.0,0.411581374,548.0,0.69911,0.935539572
ACSF2,1484.0,0.405139059,501.0,0.170291,0.102967351
ACSL1,1530.0,0.417966714,990.0,-2.565456,-0.767883147
ACSL5,1022.0,0.380976548,307.0,-1.562751,-0.33672108
ACTB,613.0,0.469768794,192.0,-0.564467,-0.713975649
ACTL6A,452.0,0.409046191,387.0,0.50967,0.107096837
ACTR1A,3151.0,0.432463663,108.0,0.571767,0.199947084
ADA,312.0,0.444091501,440.0,-1.393822,-0.210264283
ADD1,1928.0,0.439806775,863.0,-0.017326,0.431457037
ADPRH,2067.0,0.380088169,541.0,-1.676343,-0.242763271
ADSSL1,320.0,0.393141878,776.0,0.248251,0.24246908
AGAP3,508.0,0.436856677,1584.0,0.508818,0.815983163
AHNAK,842.0,0.382138706,300.0,0.000833,0.409107905
AHSA1,225.0,0.374296292,431.0,-0.328015,0.07670757
AIF1,121.0,0.4069451,222.0,-0.907883,-0.009738489
AIFM2,1911.0,0.447982482,217.0,0.102224,-0.5850012
AK1,1528.0,0.389481519,153.0,0.886569,0.650107455
AK2,2893.0,0.384271636,345.0,0.652555,0.175195633
AKR1C2,3804.0,0.449591167,413.0,-2.324318,-1.41007825
AKR7A2,10996.0,0.385600504,22.0,1.095617,-0.049797203
ALDH18A1,838.0,0.380333742,511.0,0.514531,0.091985036
ALDH3A2,2525.0,0.42484639,221.0,0.777224,-0.83611386
ALDH6A1,4647.0,0.38708374,724.0,-0.036064,-0.019226634
ALG1,2498.0,0.432230555,181.0,0.912293,0.196657817
ALG5,380.0,0.362014155,67.0,0.390168,0.299038059
ALOX5AP,976.0,0.392577632,248.0,-0.629562,0.192145746
AMBRA1,1041.0,0.36170155,362.0,0.044333,-0.284377003
AMPD2,903.0,0.389224108,566.0,0.294475,-0.11301795
AMPD3,1695.0,0.423686063,472.0,-0.778485,-0.365932749
ANAPC5,235.0,0.390209877,197.0,-0.295072,0.241588151
ANKLE2,1737.0,0.418251419,90.0,-0.562287,-0.328648922
ANKRD16,135.0,0.465649334,543.0,-0.028086,-0.151877708
ANKRD35,249.0,0.402949835,108.0,-3.788684,-0.048478643
ANXA2,496.0,0.429738522,160.0,-0.864916,-0.534460512
ANXA5,1441.0,0.418050335,165.0,-0.685937,-0.4888956
AP1B1,1153.0,0.424070668,187.0,0.471416,-0.119366012
AP1M1,914.0,0.463388599,173.0,-0.348793,-0.239347031
APIP,427.0,0.433104693,127.0,0.271139,0.018870842
APOBEC3B,339.0,0.43450554,55.0,-0.594714,-0.208277201
APOBEC3C,1979.0,0.381716897,103.0,-2.420246,-0.287152476
APOBEC3G,322.0,0.410940579,404.0,-3.044337,-0.434226249
APOL2,1195.0,0.42932248,477.0,0.304574,-0.346481891
ARF6,2971.0,0.462806813,621.0,-0.553862,0.214282696
ARFIP2,2430.0,0.403729309,291.0,0.328006,0.426034596
ARHGAP17,2624.0,0.371011524,117.0,-0.502084,-0.286218004
ARHGAP30,773.0,0.384451823,645.0,-0.894564,0.265684964
ARHGEF10,1378.0,0.370244255,202.0,-2.642531,-0.092247107
ARID2,3145.0,0.362288628,128.0,0.434891,0.322087652
ARID3A,3881.0,0.411693449,290.0,0.170506,0.17479342
ARIH2,3112.0,0.397061561,878.0,-0.518269,-0.195535953
ARL8A,1065.0,0.409602486,171.0,-0.18397,-0.104029782
ARRB1,6041.0,0.39512759,224.0,0.244401,0.133221338
ASF1B,950.0,0.395794233,172.0,0.003877,-0.15164401
ASS1,1357.0,0.394201053,356.0,-6.056654,-1.06300326
ATPAF1,3039.0,0.439253133,510.0,1.280448,0.840492126
ATRIP,162.0,0.417082642,462.0,-0.220154,0.514852464
B4GALT7,4483.0,0.433879574,93.0,0.903169,0.191175967
BAG1,2764.0,0.431693656,501.0,-0.521506,-0.562894129
BAG3,537.0,0.387438444,306.0,-0.221378,0.361989378
BASP1,971.0,0.520859146,259.0,-3.020527,-0.588574802
BBS7,1531.0,0.408023089,184.0,-0.527037,0.212975888
BCAT2,364.0,0.445598481,657.0,1.067074,-0.200858008
BCKDHB,3082.0,0.419736544,88.0,-0.629269,-0.456820902
BCL2,5279.0,0.374049285,493.0,0.543223,1.674573409
BCL2L13,4109.0,0.411790332,769.0,-0.092281,0.297933698
BID,4193.0,0.428633517,498.0,-0.517269,-0.068704288
BLVRA,3376.0,0.414260839,177.0,1.000592,0.460844802
BOLA2,40.0,0.43059393,513.0,0.705243,0.069455607
BOLA3,383.0,0.406657227,38.0,-0.557913,0.714202283
BRD2,787.0,0.377809737,2066.0,-0.47802,-0.024296504
BRD3,3285.0,0.401150236,188.0,-0.646929,0.074787564
BSPRY,1091.0,0.380011644,48.0,-0.972085,-0.19018774
BST2,411.0,0.444557266,81.0,0.324771,-1.294998447
BUB3,1535.0,0.421992618,242.0,0.210849,0.092780732
C1QB,152.0,0.436596666,340.0,-0.253796,0.187284969
C1QC,327.0,0.41150294,283.0,-0.161879,-0.115495996
C2CD3,671.0,0.360398895,227.0,0.432214,0.531805951
C3,5088.0,0.430632158,93.0,-3.304524,-0.830931709
CAP1,1134.0,0.406948565,416.0,0.591135,0.14845592
CAPN1,720.0,0.455130071,197.0,-0.537053,-0.472822142
CAPRIN1,5632.0,0.374918508,189.0,-0.243852,0.050762527
CAPZB,5180.0,0.446052528,622.0,-0.013876,-0.45371021
CARD16,437.0,0.41300235,27.0,-0.712805,0.457466865
CARHSP1,4898.0,0.362100245,360.0,1.072603,0.674119879
CASC3,1778.0,0.370720542,295.0,0.444196,0.607176774
CASP1,750.0,0.424742838,44.0,-1.034816,-0.322617515
CASP8,1794.0,0.376118708,303.0,-0.317747,-0.251210534
CAT,629.0,0.397270122,89.0,-0.517762,-0.353361117
CBL,8368.0,0.375957197,142.0,-0.304739,0.034164568
CBLL1,3286.0,0.400851504,467.0,0.355935,0.033182587
CBR3,54.0,0.445176236,228.0,-0.803051,-0.64277756
CBS,4385.0,0.477784031,626.0,-2.614708,-0.651424348
CBX5,10815.0,0.390902295,318.0,0.286241,-0.276020792
CBX8,2504.0,0.36735217,118.0,0.96661,0.252087818
CCDC115,2169.0,0.385110507,452.0,0.837407,-0.096872171
CCDC125,2554.0,0.359965106,322.0,0.248472,1.902914472
CCDC58,2462.0,0.421830022,75.0,0.321374,0.591805882
