,3prime,tAI,max_5_UTR_length,TCGA-AO-A12B,TCGA-AO-A12B.1
AAK1,17874.0,0.380718848,505.0,-0.429113,0.325272161
AATF,207.0,0.367011205,251.0,-0.114127,-0.009532346
ABCC1,1793.0,0.393368456,175.0,-0.78637,-0.687113038
ABCF3,5726.0,0.387768135,869.0,-0.462406,-0.166807449
ABHD12,654.0,0.374654709,279.0,2.7319,0.386454333
ABHD6,1639.0,0.384216096,505.0,0.87437,-0.560113155
ABR,2562.0,0.39474042,600.0,0.588279,0.463701984
ABT1,2092.0,0.423473096,40.0,-0.298221,-0.217944735
ACADVL,176.0,0.46877374,457.0,1.089024,1.028636758
ACBD6,155.0,0.433964845,621.0,-0.378368,0.171948449
ACIN1,584.0,0.404933544,328.0,-0.055185,0.200744025
ACO1,4661.0,0.37721508,227.0,-0.91931,-0.181728818
ACOT11,1220.0,0.392289045,176.0,-3.097264,-1.065978849
ACOT9,4514.0,0.358892202,225.0,-1.053204,-0.109047673
ACP2,814.0,0.411581374,548.0,0.725403,0.805888274
ACSF2,1484.0,0.405139059,501.0,0.308661,-0.128924584
ACSL1,1530.0,0.417966714,990.0,-1.513493,-0.920370762
ACSL5,1022.0,0.380976548,307.0,-2.441773,-0.457043429
ACTB,613.0,0.469768794,192.0,-1.492241,-0.048994331
ACTL6A,452.0,0.409046191,387.0,-0.298725,0.261423616
ACTR1A,3151.0,0.432463663,108.0,-0.54766,-0.033049602
ADA,312.0,0.444091501,440.0,-0.800797,-0.211479001
ADD1,1928.0,0.439806775,863.0,-0.210421,0.008605115
ADPRH,2067.0,0.380088169,541.0,-0.565229,-0.011075675
ADSSL1,320.0,0.393141878,776.0,0.290309,-0.096676112
AGAP3,508.0,0.436856677,1584.0,0.030368,0.13714486
AHNAK,842.0,0.382138706,300.0,-0.235712,0.513478823
AHSA1,225.0,0.374296292,431.0,-0.130178,-0.036012642
AIF1,121.0,0.4069451,222.0,-0.361741,-0.427610229
AIFM2,1911.0,0.447982482,217.0,0.686947,0.366580623
AK1,1528.0,0.389481519,153.0,0.639222,0.732772712
AK2,2893.0,0.384271636,345.0,-0.265903,0.179995811
AKR1C2,3804.0,0.449591167,413.0,-2.853469,-1.723074658
AKR7A2,10996.0,0.385600504,22.0,1.553142,1.224579496
ALDH18A1,838.0,0.380333742,511.0,0.317443,0.116445152
ALDH3A2,2525.0,0.42484639,221.0,-0.466047,-0.937041873
ALDH6A1,4647.0,0.38708374,724.0,0.835871,1.578945053
ALG1,2498.0,0.432230555,181.0,0.72191,-0.387411425
ALG5,380.0,0.362014155,67.0,1.332143,-0.102256504
ALG9,4217.0,0.365461171,1107.0,0.961381,-0.579204887
ALOX5AP,976.0,0.392577632,248.0,-1.167858,-0.814850647
AMBRA1,1041.0,0.36170155,362.0,0.147167,-0.007701821
AMPD2,903.0,0.389224108,566.0,-1.178936,-0.386570758
AMPD3,1695.0,0.423686063,472.0,-1.904567,-0.736061534
ANAPC13,1361.0,0.393644021,731.0,0.15396,0.570783131
ANAPC5,235.0,0.390209877,197.0,-0.419725,0.052343315
ANKLE2,1737.0,0.418251419,90.0,-0.212573,-0.314707907
ANKRD16,135.0,0.465649334,543.0,0.734293,0.388797358
ANKRD35,249.0,0.402949835,108.0,3.976724,1.187394222
ANXA2,496.0,0.429738522,160.0,-1.142448,-0.278478082
ANXA5,1441.0,0.418050335,165.0,-0.40179,-0.199627156
AP1B1,1153.0,0.424070668,187.0,0.155773,0.149344341
AP1M1,914.0,0.463388599,173.0,-0.204996,0.198485561
