,3prime,tAI,max_5_UTR_length,TCGA-AN-A0AL,TCGA-AN-A0AL.1
AAK1,17874.0,0.380718848,505.0,-0.383257,0.004070525
AATF,207.0,0.367011205,251.0,-0.248073,0.083604838
ABCC1,1793.0,0.393368456,175.0,-0.703741,0.204303167
ABCF3,5726.0,0.387768135,869.0,0.252685,0.214238173
ABHD12,654.0,0.374654709,279.0,1.052016,0.593718579
ABHD6,1639.0,0.384216096,505.0,-0.576711,-0.326840432
ABR,2562.0,0.39474042,600.0,-0.301908,-0.307224411
ABT1,2092.0,0.423473096,40.0,-0.383737,0.260914616
ACADVL,176.0,0.46877374,457.0,-0.124592,0.147512302
ACBD6,155.0,0.433964845,621.0,0.377229,0.14851241
ACIN1,584.0,0.404933544,328.0,-0.11093,0.068320777
ACO1,4661.0,0.37721508,227.0,0.124808,-0.053385555
ACOT11,1220.0,0.392289045,176.0,0.85146,-0.019455767
ACOT9,4514.0,0.358892202,225.0,1.095394,0.472085742
ACP2,814.0,0.411581374,548.0,0.339891,0.112409244
ACSF2,1484.0,0.405139059,501.0,-1.909186,-0.762047223
ACSL1,1530.0,0.417966714,990.0,1.679633,0.918523286
ACSL5,1022.0,0.380976548,307.0,0.757575,-0.078548386
ACTB,613.0,0.469768794,192.0,0.739311,0.039880118
ACTL6A,452.0,0.409046191,387.0,0.735651,-0.119379221
ACTR1A,3151.0,0.432463663,108.0,-0.069982,-0.290537015
ADA,312.0,0.444091501,440.0,1.046956,-0.269665076
ADD1,1928.0,0.439806775,863.0,-0.145192,0.619227313
ADPRH,2067.0,0.380088169,541.0,0.611543,0.004416214
ADSSL1,320.0,0.393141878,776.0,-0.243517,0.352346676
AGAP3,508.0,0.436856677,1584.0,0.377543,0.146106398
AHNAK,842.0,0.382138706,300.0,-1.507286,-0.558757093
AHSA1,225.0,0.374296292,431.0,0.812863,0.389061389
AIF1,121.0,0.4069451,222.0,0.296669,-0.556765331
AIFM2,1911.0,0.447982482,217.0,0.005598,-0.287433904
AK1,1528.0,0.389481519,153.0,0.588325,-0.17938177
AK2,2893.0,0.384271636,345.0,0.311183,-0.192593467
AKR1C2,3804.0,0.449591167,413.0,4.77694,1.632623766
AKR7A2,10996.0,0.385600504,22.0,0.105901,-0.149209197
ALDH18A1,838.0,0.380333742,511.0,0.284107,0.106929231
ALDH3A2,2525.0,0.42484639,221.0,-1.832867,-0.966817112
ALDH6A1,4647.0,0.38708374,724.0,-1.778291,-0.836565567
ALG1,2498.0,0.432230555,181.0,-0.498994,-0.12712863
ALG5,380.0,0.362014155,67.0,0.361692,0.460007235
ALG9,4217.0,0.365461171,1107.0,0.547129,0.931253752
ALOX5AP,976.0,0.392577632,248.0,0.513565,-0.194834677
AMBRA1,1041.0,0.36170155,362.0,0.373367,0.086293898
AMPD2,903.0,0.389224108,566.0,0.443613,-0.074526328
AMPD3,1695.0,0.423686063,472.0,-0.458269,-0.093230352
ANAPC13,1361.0,0.393644021,731.0,-0.324129,-0.46926239
ANAPC5,235.0,0.390209877,197.0,-0.120301,-0.143153488
ANKLE2,1737.0,0.418251419,90.0,0.524956,0.546555122
ANKRD16,135.0,0.465649334,543.0,-0.074941,-0.198003097
ANKRD35,249.0,0.402949835,108.0,2.862678,0.518413808
ANXA2,496.0,0.429738522,160.0,0.846249,0.146310188
ANXA5,1441.0,0.418050335,165.0,0.047342,-0.327157309
AP1B1,1153.0,0.424070668,187.0,1.69143,0.101214767
AP1M1,914.0,0.463388599,173.0,0.576603,-0.014616812
APIP,427.0,0.433104693,127.0,1.020425,0.693571666
APOBEC3B,339.0,0.43450554,55.0,4.498326,1.515363863
APOBEC3C,1979.0,0.381716897,103.0,2.274645,0.744329434
APOBEC3G,322.0,0.410940579,404.0,-0.000933,-0.751024477
APOL2,1195.0,0.42932248,477.0,0.128877,-0.321740472
ARF6,2971.0,0.462806813,621.0,0.226619,0.341516287
ARFIP2,2430.0,0.403729309,291.0,-1.11507,-0.705257883
ARHGAP17,2624.0,0.371011524,117.0,-0.210532,-0.17462142
ARHGAP30,773.0,0.384451823,645.0,0.431941,-0.467090671
