,3prime,tAI,max_5_UTR_length,TCGA-AR-A1AV,TCGA-AR-A1AV.1
AAK1,17874.0,0.380718848,505.0,-0.420949,0.223484813
AATF,207.0,0.367011205,251.0,0.301374,0.012428155
ABCC1,1793.0,0.393368456,175.0,0.884402,0.051533697
ABCF3,5726.0,0.387768135,869.0,-0.279998,0.050707262
ABHD12,654.0,0.374654709,279.0,1.82227,0.23681275
ABR,2562.0,0.39474042,600.0,0.192098,0.061863548
ABT1,2092.0,0.423473096,40.0,-0.056364,1.108979939
ACADVL,176.0,0.46877374,457.0,-0.067476,-0.08209308
ACBD6,155.0,0.433964845,621.0,0.271762,0.232255448
ACIN1,584.0,0.404933544,328.0,0.080627,-0.007395016
ACO1,4661.0,0.37721508,227.0,0.64949,0.219113717
ACOT11,1220.0,0.392289045,176.0,0.468842,0.018895135
ACOT9,4514.0,0.358892202,225.0,-0.503384,0.029916978
ACP2,814.0,0.411581374,548.0,0.04715,0.209516837
ACSF2,1484.0,0.405139059,501.0,-0.250817,-0.081751003
ACSL1,1530.0,0.417966714,990.0,-0.490277,-0.299977286
ACSL5,1022.0,0.380976548,307.0,-1.095191,-0.228442289
ACTB,613.0,0.469768794,192.0,-0.415946,-0.002847131
ACTL6A,452.0,0.409046191,387.0,0.298692,-0.09922388
ACTR1A,3151.0,0.432463663,108.0,-0.287581,-0.203669969
ADA,312.0,0.444091501,440.0,-0.131343,-0.621954595
ADAMDEC1,715.0,0.41564171,547.0,0.165193,-0.362538048
ADD1,1928.0,0.439806775,863.0,-0.123238,0.00599013
ADPRH,2067.0,0.380088169,541.0,0.611902,0.086161444
ADSSL1,320.0,0.393141878,776.0,-0.739782,-0.240936694
AGAP3,508.0,0.436856677,1584.0,0.045277,0.442749963
AHNAK,842.0,0.382138706,300.0,0.253776,0.32586924
AHSA1,225.0,0.374296292,431.0,-0.119731,0.184510215
AIF1,121.0,0.4069451,222.0,-1.011324,-0.600713736
AIFM2,1911.0,0.447982482,217.0,-0.52499,0.052930129
AK1,1528.0,0.389481519,153.0,-0.623444,0.181381243
AK2,2893.0,0.384271636,345.0,0.419395,0.451771794
AKR1C2,3804.0,0.449591167,413.0,-1.322042,-0.91371907
AKR7A2,10996.0,0.385600504,22.0,-0.140712,-0.473210753
ALDH18A1,838.0,0.380333742,511.0,0.491004,-0.254896088
ALDH3A2,2525.0,0.42484639,221.0,-0.226803,-0.457195248
ALDH6A1,4647.0,0.38708374,724.0,1.209036,-0.158716563
ALG1,2498.0,0.432230555,181.0,0.46855,0.101078176
ALG5,380.0,0.362014155,67.0,0.390302,0.174679496
ALOX5AP,976.0,0.392577632,248.0,-0.43679,-1.121051019
AMBRA1,1041.0,0.36170155,362.0,0.150389,1.101139645
AMPD2,903.0,0.389224108,566.0,0.017047,-0.235323693
AMPD3,1695.0,0.423686063,472.0,0.209623,0.021577894
ANAPC13,1361.0,0.393644021,731.0,-0.078982,1.32561196
ANAPC5,235.0,0.390209877,197.0,0.648646,0.413149004
ANKLE2,1737.0,0.418251419,90.0,0.361408,0.127243844
ANKRD16,135.0,0.465649334,543.0,-0.217239,-0.37366952
ANXA2,496.0,0.429738522,160.0,1.030604,-0.217831292
ANXA5,1441.0,0.418050335,165.0,0.313459,-0.220985659
AP1B1,1153.0,0.424070668,187.0,-0.207943,-0.337152162
AP1M1,914.0,0.463388599,173.0,-0.298084,0.042514658
APIP,427.0,0.433104693,127.0,0.322493,-0.111258075
APOBEC3C,1979.0,0.381716897,103.0,-1.365014,-0.237430419
APOBEC3G,322.0,0.410940579,404.0,-2.480741,-0.268537302
APOL2,1195.0,0.42932248,477.0,-1.080083,-0.253457199
ARF6,2971.0,0.462806813,621.0,-0.336921,0.125869481
ARFIP2,2430.0,0.403729309,291.0,-0.199197,-0.354780894
ARHGAP17,2624.0,0.371011524,117.0,-0.188691,-0.316157769
ARHGAP30,773.0,0.384451823,645.0,-0.853427,0.203934598
ARHGEF10,1378.0,0.370244255,202.0,0.192701,0.66307093
ARID2,3145.0,0.362288628,128.0,0.859831,0.342708209
ARID3A,3881.0,0.411693449,290.0,0.671753,-0.180934185
ARIH2,3112.0,0.397061561,878.0,-0.270323,-0.495116195
ARL8A,1065.0,0.409602486,171.0,-0.129236,0.532210432
ARRB1,6041.0,0.39512759,224.0,-0.09343,-0.180582225
ASF1B,950.0,0.395794233,172.0,-0.172254,0.043655032
ASS1,1357.0,0.394201053,356.0,-3.972526,-1.361145427
ATPAF1,3039.0,0.439253133,510.0,-0.000448,0.052805172
ATRIP,162.0,0.417082642,462.0,0.473593,0.700010547
AXL,1863.0,0.417061167,376.0,-0.45432,0.208707056
B4GALT7,4483.0,0.433879574,93.0,0.099279,0.07592917
BAG1,2764.0,0.431693656,501.0,0.424665,-0.14032326
BAG3,537.0,0.387438444,306.0,1.282994,1.124682718
BASP1,971.0,0.520859146,259.0,-0.696673,0.657435435
BBS7,1531.0,0.408023089,184.0,0.249726,0.138748559
BCAT2,364.0,0.445598481,657.0,0.942702,0.280140547
BCKDHB,3082.0,0.419736544,88.0,0.008465,-0.13364288
BCL2,5279.0,0.374049285,493.0,0.835062,0.461667678
BCL2L13,4109.0,0.411790332,769.0,-0.504238,0.187871825
BID,4193.0,0.428633517,498.0,-1.28967,-0.183884739
BLVRA,3376.0,0.414260839,177.0,1.255289,0.440261939
BOLA2,40.0,0.43059393,513.0,0.228047,-0.150213181
BOLA3,383.0,0.406657227,38.0,-0.959921,0.087049052
BRD2,787.0,0.377809737,2066.0,0.121245,-0.03282192
BRD3,3285.0,0.401150236,188.0,0.197454,-0.150896597
BSPRY,1091.0,0.380011644,48.0,0.033805,0.223976347
BST2,411.0,0.444557266,81.0,-2.399813,-0.355418834
BUB3,1535.0,0.421992618,242.0,0.397222,-0.239006121
C1QB,152.0,0.436596666,340.0,-0.959196,0.061181769
C1QC,327.0,0.41150294,283.0,-0.756025,-0.640817415
C2CD3,671.0,0.360398895,227.0,0.244564,0.492267166
C3,5088.0,0.430632158,93.0,-1.616595,-0.784498142
CAP1,1134.0,0.406948565,416.0,0.21105,-0.111731615
CAPN1,720.0,0.455130071,197.0,-0.645374,-0.385184902
CAPRIN1,5632.0,0.374918508,189.0,0.246453,-0.335458565
CAPZB,5180.0,0.446052528,622.0,-0.007034,-0.227446915
CARD16,437.0,0.41300235,27.0,-2.581634,-0.000861209
CARHSP1,4898.0,0.362100245,360.0,0.076983,0.236412724
CASC3,1778.0,0.370720542,295.0,0.69456,0.726048664
CASP1,750.0,0.424742838,44.0,-1.956888,-0.295677874
CASP8,1794.0,0.376118708,303.0,-0.066399,0.024231731
