,3prime,tAI,max_5_UTR_length,TCGA-A7-A13F,TCGA-A7-A13F.1
AAK1,17874.0,0.380718848,505.0,-0.372978,-0.005112194
AATF,207.0,0.367011205,251.0,0.656308,-0.148941448
ABCC1,1793.0,0.393368456,175.0,0.058001,-0.059338453
ABCF3,5726.0,0.387768135,869.0,0.024367,0.20844434
ABHD12,654.0,0.374654709,279.0,0.253423,-0.004638771
ABR,2562.0,0.39474042,600.0,0.226884,0.380656916
ABT1,2092.0,0.423473096,40.0,-0.446887,-0.178285817
ACADVL,176.0,0.46877374,457.0,0.450323,0.182961943
ACBD6,155.0,0.433964845,621.0,0.080178,0.43684032
ACIN1,584.0,0.404933544,328.0,-0.921152,-0.172574866
ACO1,4661.0,0.37721508,227.0,1.412084,0.505201998
ACOT11,1220.0,0.392289045,176.0,2.456858,1.028507222
ACOT9,4514.0,0.358892202,225.0,-1.487204,-0.465469145
ACP2,814.0,0.411581374,548.0,-1.042729,-0.478484314
ACSF2,1484.0,0.405139059,501.0,1.416641,0.417664103
ACSL1,1530.0,0.417966714,990.0,-1.179934,-0.613477524
ACSL5,1022.0,0.380976548,307.0,-2.093417,-0.842945682
ACTB,613.0,0.469768794,192.0,0.241921,-0.402996458
ACTL6A,452.0,0.409046191,387.0,-0.025757,-0.122581204
ACTR1A,3151.0,0.432463663,108.0,-0.013337,-0.063174994
ADA,312.0,0.444091501,440.0,-0.414349,-0.377147326
ADAMDEC1,715.0,0.41564171,547.0,-1.445285,0.304028984
ADD1,1928.0,0.439806775,863.0,-0.134602,-0.295108867
ADPRH,2067.0,0.380088169,541.0,-0.573648,-0.195498842
ADSSL1,320.0,0.393141878,776.0,-1.807086,-0.610647015
AGAP3,508.0,0.436856677,1584.0,-0.385095,0.145889971
AHNAK,842.0,0.382138706,300.0,0.215263,0.263389504
AHSA1,225.0,0.374296292,431.0,-0.537767,-0.333863999
AIF1,121.0,0.4069451,222.0,-0.286421,-0.053799684
AIFM2,1911.0,0.447982482,217.0,-0.133235,-0.194983244
AK1,1528.0,0.389481519,153.0,0.1161,-0.095012346
AK2,2893.0,0.384271636,345.0,0.430725,0.070504492
AKR1C2,3804.0,0.449591167,413.0,-0.659436,-1.04636852
AKR7A2,10996.0,0.385600504,22.0,-0.351046,-0.404107779
ALDH18A1,838.0,0.380333742,511.0,0.039567,-0.244793684
ALDH3A2,2525.0,0.42484639,221.0,2.004469,0.92094387
ALDH6A1,4647.0,0.38708374,724.0,0.106899,-0.632071751
ALG1,2498.0,0.432230555,181.0,0.168955,0.200535125
ALG5,380.0,0.362014155,67.0,-0.059749,-0.441173044
ALG9,4217.0,0.365461171,1107.0,0.693407,0.605982017
AMBRA1,1041.0,0.36170155,362.0,-0.184176,-0.145160873
AMPD2,903.0,0.389224108,566.0,0.046358,0.137588459
AMPD3,1695.0,0.423686063,472.0,0.779865,0.060233423
ANAPC13,1361.0,0.393644021,731.0,-0.133624,-0.383077447
ANAPC5,235.0,0.390209877,197.0,0.612277,0.075208342
ANKLE2,1737.0,0.418251419,90.0,0.082983,0.181161049
ANKRD16,135.0,0.465649334,543.0,0.151582,0.293362939
ANKRD35,249.0,0.402949835,108.0,-2.538837,-0.258460803
ANXA2,496.0,0.429738522,160.0,0.216251,-0.132468891
ANXA5,1441.0,0.418050335,165.0,0.148628,-0.15131969
AP1B1,1153.0,0.424070668,187.0,0.82998,0.182419422
AP1M1,914.0,0.463388599,173.0,0.088658,0.141910093
APBA1,3797.0,0.387421148,276.0,0.316748,0.403727834
APIP,427.0,0.433104693,127.0,-0.338575,-0.117038719
APOBEC3B,339.0,0.43450554,55.0,-0.267984,-0.490620303
APOBEC3C,1979.0,0.381716897,103.0,0.151531,-0.103402095
APOBEC3G,322.0,0.410940579,404.0,0.290951,-0.277808703
APOL2,1195.0,0.42932248,477.0,-0.919331,-0.92354305
ARF6,2971.0,0.462806813,621.0,-0.343016,-0.290578359
ARFIP2,2430.0,0.403729309,291.0,0.097926,-0.277238006
ARHGAP17,2624.0,0.371011524,117.0,-0.801363,-0.277333682
ARHGAP30,773.0,0.384451823,645.0,-1.342979,-0.353355154
ARHGEF10,1378.0,0.370244255,202.0,-0.219982,-0.054028768
ARID2,3145.0,0.362288628,128.0,0.01821,-0.016383279
ARID3A,3881.0,0.411693449,290.0,-0.198358,0.251711381
ARIH2,3112.0,0.397061561,878.0,0.029223,0.265140511
ARL8A,1065.0,0.409602486,171.0,-0.537128,-0.342444227
ARRB1,6041.0,0.39512759,224.0,-1.160228,0.257768499
ASF1B,950.0,0.395794233,172.0,1.429777,0.244020926
ASS1,1357.0,0.394201053,356.0,1.005823,0.013956315
ATPAF1,3039.0,0.439253133,510.0,0.685597,0.087584551
ATRIP,162.0,0.417082642,462.0,0.806395,0.245245811
AXL,1863.0,0.417061167,376.0,-0.069318,0.469072528
BAG1,2764.0,0.431693656,501.0,1.818157,0.912798316
BAG3,537.0,0.387438444,306.0,-2.010249,-0.730662599
BASP1,971.0,0.520859146,259.0,-1.071297,-0.112751385
BBS7,1531.0,0.408023089,184.0,0.084623,0.304287027
BCAT2,364.0,0.445598481,657.0,1.064657,0.174018237
BCKDHB,3082.0,0.419736544,88.0,0.628706,-0.150996032
BCL2,5279.0,0.374049285,493.0,-0.082715,-0.204984194
BCL2L13,4109.0,0.411790332,769.0,0.478952,0.342022001
BID,4193.0,0.428633517,498.0,0.887831,0.283476574
BLVRA,3376.0,0.414260839,177.0,1.20145,0.437499687
BOLA2,40.0,0.43059393,513.0,0.116842,0.384563994
BOLA3,383.0,0.406657227,38.0,0.215697,-0.102767692
BRD2,787.0,0.377809737,2066.0,-0.249635,0.095107621
BRD3,3285.0,0.401150236,188.0,-0.647374,-0.056564938
BRI3BP,5801.0,0.359622664,143.0,0.949049,0.111945375
BSPRY,1091.0,0.380011644,48.0,0.263451,-0.099509227
BST2,411.0,0.444557266,81.0,-0.535993,-0.302355471
BUB3,1535.0,0.421992618,242.0,0.696086,0.079313476
C1QB,152.0,0.436596666,340.0,-0.591287,0.030050247
C1QC,327.0,0.41150294,283.0,-0.375443,0.143142962
C2CD3,671.0,0.360398895,227.0,0.060554,-0.270947089
C3,5088.0,0.430632158,93.0,-1.912144,-0.062962554
CAP1,1134.0,0.406948565,416.0,0.231659,0.006218081
CAPN1,720.0,0.455130071,197.0,0.405126,0.272366651
CAPRIN1,5632.0,0.374918508,189.0,-0.134409,0.068283249
CAPZB,5180.0,0.446052528,622.0,-0.502938,-0.25113803
CARD16,437.0,0.41300235,27.0,-1.183081,-0.474249776
CARHSP1,4898.0,0.362100245,360.0,0.188993,0.04299829
CASC3,1778.0,0.370720542,295.0,0.513645,0.193752569
CASP1,750.0,0.424742838,44.0,-0.964385,-0.152586354
CASP8,1794.0,0.376118708,303.0,-0.681891,-0.33422205
CAT,629.0,0.397270122,89.0,0.997431,-0.337748554
CBL,8368.0,0.375957197,142.0,-0.449535,0.103527874
CBLL1,3286.0,0.400851504,467.0,0.00751,0.110314961
CBR3,54.0,0.445176236,228.0,-0.882955,-0.710445218
CBS,4385.0,0.477784031,626.0,-3.17689,-0.632996544
CBX5,10815.0,0.390902295,318.0,-0.126058,0.266540904
CBX8,2504.0,0.36735217,118.0,-0.674752,0.229603802
CCDC115,2169.0,0.385110507,452.0,-0.209864,0.004811192
CCDC58,2462.0,0.421830022,75.0,-0.004953,-0.06015065
CCDC88C,1302.0,0.396031427,154.0,-0.962232,-0.487209487
CCL5,886.0,0.462166288,68.0,-2.11548,-0.666729411
CCNA2,1206.0,0.409154498,373.0,0.891369,-0.234315216
CCNB2,168.0,0.374401461,184.0,1.212042,0.312820794
CCNDBP1,2336.0,0.44393643,231.0,-0.173481,0.591035312
CCS,4244.0,0.460896681,43.0,-0.658878,-0.292894304
CCT3,238.0,0.457984718,231.0,0.199506,-0.168006161
CCT4,1361.0,0.393363555,164.0,-0.362559,-0.230361429
CD14,128.0,0.416321757,392.0,0.35047,0.285891391
CD209,3046.0,0.440000747,67.0,-1.697051,-0.712661461
CD33,331.0,0.428315036,40.0,0.139217,-0.043192384
CD36,2894.0,0.410517795,414.0,-1.153142,-0.370346108
CD40,982.0,0.429065654,90.0,3.146854,0.90292223
CD44,3115.0,0.39995987,434.0,1.052509,0.343890322
CD63,923.0,0.512738356,403.0,0.626141,-0.226971383
CD74,635.0,0.427357309,187.0,-0.198469,-0.248153197
CDC25C,437.0,0.364786128,387.0,1.307779,0.571563333
CDC26,271.0,0.395637029,359.0,-1.676437,0.077591761
CDC34,560.0,0.46431386,199.0,-0.394443,-0.058744006
CDC42EP3,3941.0,0.420378821,1009.0,-0.648744,0.403460143
CDCA3,816.0,0.351209268,820.0,0.713914,0.358706685
CDCA8,1353.0,0.384295288,290.0,1.090871,0.233119388
CDIPT,1864.0,0.442654716,541.0,-0.163334,0.128332093
CDK1,2313.0,0.398329505,154.0,0.928128,0.020952616
CDK19,4557.0,0.421511824,180.0,-1.173965,-0.209547678
CDK2AP1,766.0,0.439144625,522.0,-0.648024,-0.406171364
CDK5RAP2,367.0,0.371069462,192.0,0.343614,0.214081596
CDK5RAP3,284.0,0.469750898,1791.0,-0.083605,-0.130195649
CDKAL1,1365.0,0.417875209,167.0,0.032133,0.083407446
CDKN2AIPNL,3639.0,0.409801696,53.0,0.786387,-0.470156712
CDKN2C,2247.0,0.381912025,1216.0,-1.064991,0.165032514
CEBPD,1714.0,0.430497143,44.0,0.305778,-0.193585312
CENPH,1478.0,0.418392258,87.0,1.636025,0.718403874
CENPV,301.0,0.385948267,62.0,2.404751,1.194856622
CEP55,939.0,0.397841874,304.0,1.37904,0.403987084
CETN2,868.0,0.433727498,47.0,0.465938,0.536667301
CFL1,677.0,0.502791,234.0,-0.293981,-0.471358401
CHAC2,786.0,0.395629742,277.0,0.803538,-0.204998276
CHCHD4,3528.0,0.445497334,326.0,0.501623,0.41060258
CHMP4A,296.0,0.447100154,262.0,-0.822352,-0.126872955
CHMP5,1241.0,0.442987983,200.0,0.303359,0.162365756
CHMP6,980.0,0.489861105,78.0,-0.176805,0.033799654
CHST11,4211.0,0.430763246,498.0,-0.347313,-0.160357701
CHTF8,2425.0,0.424551152,142.0,0.405781,0.561198987
CIAPIN1,1024.0,0.451663323,242.0,-0.012861,0.000855683
CISD2,5376.0,0.433298698,107.0,0.779156,0.151104686
CKAP4,2872.0,0.386259817,84.0,0.445044,-0.34713137
CKS2,300.0,0.317949998,98.0,0.180434,-0.015764868
CLCC1,5185.0,0.369704467,150.0,0.404058,0.146082802
CLCN7,1698.0,0.459147749,110.0,-0.295717,0.100765454
CLIC1,290.0,0.4571302,573.0,0.284777,0.011130179
CLK2,350.0,0.410673686,925.0,-0.381762,-0.044075747
CLK3,1233.0,0.4268607,461.0,-0.130633,-0.282865892
CLPTM1,458.0,0.383990827,351.0,0.875935,0.379423262
CLTA,288.0,0.450950874,514.0,-0.395966,-0.064126118
CLTB,319.0,0.48548545,210.0,-0.262021,0.180279821
CLTC,3104.0,0.384957863,443.0,0.784192,-0.175432642
CNBP,6850.0,0.433298698,206.0,-0.550522,0.204465445
CNPY2,123.0,0.392778455,553.0,0.724749,0.144869637
CNPY3,1042.0,0.459231502,584.0,0.618576,0.335417784
COG3,1967.0,0.414689223,142.0,-0.630364,-0.288744131
COMMD1,306.0,0.423842833,138.0,-0.068128,0.179283658
COMMD3,431.0,0.360487018,35.0,0.074179,-0.016381172
COMMD5,498.0,0.445713337,399.0,0.005679,-0.035560215
COMMD6,1375.0,0.396967837,328.0,-0.443646,0.015304154
COMMD9,2340.0,0.418062772,89.0,-0.122798,0.028303253
COPB1,446.0,0.381738818,307.0,-0.050002,-0.081784479
COPE,165.0,0.478760693,55.0,0.45451,-0.12497216
COQ6,671.0,0.374062527,159.0,-0.229297,-0.437225251
COQ7,5700.0,0.42379098,133.0,0.02615,-0.257980891
CORO1A,112.0,0.457388252,435.0,-0.713135,-0.313770021
COX17,1735.0,0.484254073,86.0,-0.053558,0.018207764
COX5A,860.0,0.429944966,140.0,0.733138,-0.05562972
COX7A2,302.0,0.441893926,98.0,-0.431852,-0.03119934
CPM,5262.0,0.406054343,75.0,-0.179861,-0.247015271
CPSF4,923.0,0.452412439,277.0,0.014409,0.021162307
CPT1A,2761.0,0.374132033,170.0,0.140857,0.111326802
CPT2,602.0,0.431256564,515.0,1.388758,0.379127961
CRCP,8457.0,0.390198146,145.0,0.265118,0.697315947
CRKL,3904.0,0.422225684,509.0,0.116313,0.199372532
CRTAP,5601.0,0.446308827,120.0,0.703557,-0.01541878
CRTC3,3205.0,0.355982524,186.0,-0.257222,0.019097981
CRY2,2337.0,0.383442872,132.0,-1.117613,-0.53071408
CRYL1,462.0,0.386242786,79.0,-0.810257,-0.303840349
CSRP1,1183.0,0.493833101,217.0,0.769446,0.096008125
CST3,2762.0,0.475763324,186.0,0.420901,0.035708816
CSTF2,1931.0,0.372934478,58.0,0.499199,0.234131178
CTBP1,800.0,0.464034004,393.0,-0.455383,-0.22739374
CTNNA1,1216.0,0.412513324,1103.0,0.675705,0.140857503
CTNNB1,1106.0,0.432073699,448.0,-0.118508,-0.164757303
CTNNBIP1,2448.0,0.394834327,307.0,-0.959241,0.047892287
CTPS2,1870.0,0.416273085,744.0,-0.001645,-0.192794787
CTSG,119.0,0.369503415,37.0,-0.944441,0.076821521
CTSH,1072.0,0.446467856,1192.0,0.594625,0.532245404
CUEDC1,2047.0,0.374410739,719.0,0.530448,0.457718302
CUX1,1040.0,0.395555213,127.0,0.677415,-0.036320166
CXCL10,814.0,0.410287201,105.0,-2.99961,-0.647140436
CXCL9,2323.0,0.403736618,74.0,-2.87528,-0.952665211
CYBB,2544.0,0.418993019,61.0,-0.598421,-0.374779556
CYTH4,1837.0,0.406296106,377.0,-0.356689,-0.18267618
DAB2,1757.0,0.368483127,531.0,-0.442078,0.019016795
DAGLB,721.0,0.377719723,170.0,0.178466,0.185047718
DAP3,768.0,0.366492687,184.0,0.224273,0.027941888
DAPP1,2082.0,0.348655603,90.0,-1.573445,-0.40587209
DBI,233.0,0.467027529,479.0,-0.00254,-0.555733903
DCAF12,1967.0,0.42050769,342.0,-0.111023,-0.122111242
DCAF8,1877.0,0.380310979,212.0,-0.000157,0.204569424
DCP1A,4153.0,0.411936399,381.0,-0.537347,0.066915624
DCPS,4731.0,0.375605648,329.0,-0.130347,-0.406203489
DCTN5,10597.0,0.443116252,177.0,-0.08393,0.200767661
DDAH2,653.0,0.361046801,1104.0,0.331946,0.226322012
DDB2,1223.0,0.43604051,195.0,0.311013,0.36793312
DDX23,713.0,0.445931172,91.0,0.149253,0.013305132
DDX31,1870.0,0.361830896,544.0,-0.260338,0.034274905
DDX47,438.0,0.379294484,22.0,-0.048623,-0.203135749
DDX54,1704.0,0.467316231,28.0,0.270524,0.341094706
DDX56,586.0,0.438032149,643.0,0.34177,0.043018615
DDX59,217.0,0.413095257,243.0,0.242734,0.029810069
DHODH,3463.0,0.371608285,21.0,0.480575,0.341587444
DHPS,121.0,0.474111752,121.0,0.093191,-0.284535381
