,3prime,tAI,max_5_UTR_length,TCGA-AN-A04A,TCGA-AN-A04A.1
AAK1,17874.0,0.380718848,505.0,-0.02865,0.067584989
AATF,207.0,0.367011205,251.0,-0.00061,-0.104676225
ABCC1,1793.0,0.393368456,175.0,0.879885,0.479276586
ABCF3,5726.0,0.387768135,869.0,0.132642,-0.235247791
ABHD12,654.0,0.374654709,279.0,-0.290788,0.041980499
ABHD6,1639.0,0.384216096,505.0,0.292676,0.350940797
ABR,2562.0,0.39474042,600.0,0.310404,0.394835312
ABT1,2092.0,0.423473096,40.0,0.221148,-0.141037791
ACADVL,176.0,0.46877374,457.0,-0.780146,-0.421502402
ACBD6,155.0,0.433964845,621.0,0.147396,-0.177041464
ACIN1,584.0,0.404933544,328.0,-0.144476,0.274295209
ACO1,4661.0,0.37721508,227.0,-0.837765,-0.525593676
ACOT11,1220.0,0.392289045,176.0,1.327138,0.15333371
ACOT9,4514.0,0.358892202,225.0,0.154709,0.142742741
ACP2,814.0,0.411581374,548.0,-0.194393,-0.428770977
ACSF2,1484.0,0.405139059,501.0,1.330506,0.323282122
ACSL1,1530.0,0.417966714,990.0,-1.37427,-0.778467192
ACSL5,1022.0,0.380976548,307.0,-1.418915,-0.353184085
ACTB,613.0,0.469768794,192.0,0.861026,-0.601633155
ACTL6A,452.0,0.409046191,387.0,0.060683,-0.371999765
ACTR1A,3151.0,0.432463663,108.0,0.543228,0.188266729
ADA,312.0,0.444091501,440.0,-0.272714,-0.352493812
ADAMDEC1,715.0,0.41564171,547.0,1.040772,2.513964922
ADD1,1928.0,0.439806775,863.0,-0.076307,-0.131899725
ADPRH,2067.0,0.380088169,541.0,0.079006,0.034717767
ADSSL1,320.0,0.393141878,776.0,1.056176,0.329544663
AGAP3,508.0,0.436856677,1584.0,-0.06134,0.362058262
AHNAK,842.0,0.382138706,300.0,-0.492522,0.037813453
AHSA1,225.0,0.374296292,431.0,0.852108,0.411663477
AIF1,121.0,0.4069451,222.0,-0.378071,-0.651995452
AIFM2,1911.0,0.447982482,217.0,-1.37569,-0.351719774
AK1,1528.0,0.389481519,153.0,0.277008,0.015178427
AK2,2893.0,0.384271636,345.0,-0.004516,-0.056160221
AKR1C2,3804.0,0.449591167,413.0,1.202695,-0.655014756
AKR7A2,10996.0,0.385600504,22.0,0.464824,-0.622933583
ALDH18A1,838.0,0.380333742,511.0,0.287159,-0.188458549
ALDH3A2,2525.0,0.42484639,221.0,-0.773886,-0.600597982
ALDH6A1,4647.0,0.38708374,724.0,0.357338,-0.18425193
ALG1,2498.0,0.432230555,181.0,0.428889,0.189295868
ALG5,380.0,0.362014155,67.0,0.029778,0.511840797
ALG9,4217.0,0.365461171,1107.0,-0.020312,0.313708657
ALOX5AP,976.0,0.392577632,248.0,-0.141917,0.235882491
AMBRA1,1041.0,0.36170155,362.0,-0.116205,-0.001949593
AMPD2,903.0,0.389224108,566.0,-0.101066,-0.224985136
AMPD3,1695.0,0.423686063,472.0,-0.390279,-0.314612914
ANAPC13,1361.0,0.393644021,731.0,0.362675,-0.191668851
ANAPC5,235.0,0.390209877,197.0,-0.07334,0.100048088
ANKLE2,1737.0,0.418251419,90.0,0.049658,0.126821373
ANKRD16,135.0,0.465649334,543.0,-0.364521,0.042292349
ANKRD35,249.0,0.402949835,108.0,0.222674,-0.193829494
ANXA2,496.0,0.429738522,160.0,0.10012,-0.108651644
ANXA5,1441.0,0.418050335,165.0,0.023711,-0.262791745
AP1B1,1153.0,0.424070668,187.0,0.411711,-0.073138033
AP1M1,914.0,0.463388599,173.0,0.01442,0.025930464
APBA1,3797.0,0.387421148,276.0,0.309978,0.363946587
APIP,427.0,0.433104693,127.0,-1.066321,-0.38281593
APOBEC3B,339.0,0.43450554,55.0,0.271132,-0.477661065
APOBEC3C,1979.0,0.381716897,103.0,-0.085931,-0.031896606
APOBEC3G,322.0,0.410940579,404.0,-0.36785,-0.064217319
APOL2,1195.0,0.42932248,477.0,0.268302,0.172294147
ARF6,2971.0,0.462806813,621.0,0.615202,0.404095781
ARFIP2,2430.0,0.403729309,291.0,0.164803,-0.003892993
ARHGAP17,2624.0,0.371011524,117.0,0.037503,-0.130809564
ARHGAP30,773.0,0.384451823,645.0,-1.12815,-0.201061265
ARHGEF10,1378.0,0.370244255,202.0,-0.243803,0.304638306
ARID2,3145.0,0.362288628,128.0,0.311399,0.126256499
ARID3A,3881.0,0.411693449,290.0,-0.015728,-0.424963625
ARIH2,3112.0,0.397061561,878.0,-0.306907,-0.065541636
ARL8A,1065.0,0.409602486,171.0,-0.073501,0.141983737
ARRB1,6041.0,0.39512759,224.0,0.266164,-0.333441121
ASF1B,950.0,0.395794233,172.0,-0.440316,-1.361137076
ASS1,1357.0,0.394201053,356.0,1.196345,-0.371845379
ATPAF1,3039.0,0.439253133,510.0,-0.155572,-0.085741134
ATRIP,162.0,0.417082642,462.0,0.077868,0.220139013
B4GALT7,4483.0,0.433879574,93.0,-0.201703,0.415535133
BAG1,2764.0,0.431693656,501.0,-0.181239,-0.185783117
BAG3,537.0,0.387438444,306.0,0.213812,0.135797433
BASP1,971.0,0.520859146,259.0,0.550245,0.391524941
BBS7,1531.0,0.408023089,184.0,-0.064553,0.502772085
BCAT2,364.0,0.445598481,657.0,0.436623,0.232484821
BCKDHB,3082.0,0.419736544,88.0,-1.612705,-0.595569287
BCL2,5279.0,0.374049285,493.0,2.506222,0.983740887
BCL2L13,4109.0,0.411790332,769.0,0.292309,0.139325627
BID,4193.0,0.428633517,498.0,0.33033,-0.075636119
BLVRA,3376.0,0.414260839,177.0,0.393098,-0.272648247
BOLA2,40.0,0.43059393,513.0,0.119941,-0.642783126
BOLA3,383.0,0.406657227,38.0,-0.355757,0.104398371
BRD2,787.0,0.377809737,2066.0,-0.228145,-0.046561355
BRD3,3285.0,0.401150236,188.0,0.731555,0.207482476
BSPRY,1091.0,0.380011644,48.0,0.937855,0.553031129
BST2,411.0,0.444557266,81.0,-0.463025,-0.408613852
BUB3,1535.0,0.421992618,242.0,0.88484,-0.122533943
C1QB,152.0,0.436596666,340.0,-0.036404,-0.108611354
C1QC,327.0,0.41150294,283.0,0.418979,-0.678749369
C2CD3,671.0,0.360398895,227.0,-0.788527,-0.261000054
C3,5088.0,0.430632158,93.0,-1.097496,-0.506588676
CAP1,1134.0,0.406948565,416.0,0.905921,0.10044214
CAPN1,720.0,0.455130071,197.0,0.103479,-0.183817728
CAPRIN1,5632.0,0.374918508,189.0,-0.012016,-0.022027269
CAPZB,5180.0,0.446052528,622.0,0.407572,-0.527778501
CARD16,437.0,0.41300235,27.0,-1.355394,-1.554762964
CARHSP1,4898.0,0.362100245,360.0,-0.767305,-0.419111757
CASC3,1778.0,0.370720542,295.0,-0.35939,0.096388997
CASP1,750.0,0.424742838,44.0,-0.823267,-0.443873186
CASP8,1794.0,0.376118708,303.0,-0.844976,-0.504610679
CAT,629.0,0.397270122,89.0,-0.760726,-0.779778424
CBL,8368.0,0.375957197,142.0,-0.102271,-0.265170468
CBLL1,3286.0,0.400851504,467.0,-0.19904,-0.196338629
CBR3,54.0,0.445176236,228.0,-1.550667,-0.843675208
CBS,4385.0,0.477784031,626.0,-0.089339,-1.255711675
CBX5,10815.0,0.390902295,318.0,0.350035,0.012416501
CBX8,2504.0,0.36735217,118.0,-0.120123,0.211363313
CCDC115,2169.0,0.385110507,452.0,-0.080602,-0.029393104
CCDC58,2462.0,0.421830022,75.0,0.072831,0.060734961
CCDC88C,1302.0,0.396031427,154.0,-0.265264,-0.296551386
CCL5,886.0,0.462166288,68.0,-0.757038,-0.571857241
CCNA2,1206.0,0.409154498,373.0,0.094568,-0.543837741
CCNDBP1,2336.0,0.44393643,231.0,-0.350822,-0.322944724
CCS,4244.0,0.460896681,43.0,-0.535656,-0.38395893
CCT3,238.0,0.457984718,231.0,0.897484,-0.256791167
CCT4,1361.0,0.393363555,164.0,0.630337,-0.218789522
CD14,128.0,0.416321757,392.0,0.094669,-0.491538703
CD209,3046.0,0.440000747,67.0,-0.296995,-0.399526924
