,3prime,tAI,max_5_UTR_length,TCGA-A2-A0EX,TCGA-A2-A0EX.1
AAK1,17874.0,0.380718848,505.0,-0.482245,0.156870903
AATF,207.0,0.367011205,251.0,0.158556,-0.044944946
ABCC1,1793.0,0.393368456,175.0,-0.506515,-0.012020175
ABCF3,5726.0,0.387768135,869.0,0.106004,0.026889439
ABHD12,654.0,0.374654709,279.0,-0.521092,-0.561455771
ABHD6,1639.0,0.384216096,505.0,-0.578006,0.272696945
ABR,2562.0,0.39474042,600.0,-0.326831,-0.049178284
ABT1,2092.0,0.423473096,40.0,0.07357,-0.062243539
ACADVL,176.0,0.46877374,457.0,-0.626891,-0.213200366
ACBD6,155.0,0.433964845,621.0,-0.356488,-0.010751244
ACIN1,584.0,0.404933544,328.0,-0.34301,0.04859161
ACO1,4661.0,0.37721508,227.0,0.098803,0.208439458
ACOT11,1220.0,0.392289045,176.0,-1.22313,-0.343110817
ACOT9,4514.0,0.358892202,225.0,-0.452882,0.081797928
ACP2,814.0,0.411581374,548.0,0.0177,-0.065143723
ACSF2,1484.0,0.405139059,501.0,0.866771,-0.083488116
ACSL1,1530.0,0.417966714,990.0,0.433841,-0.176698065
ACSL5,1022.0,0.380976548,307.0,0.311787,-0.138518335
ACTB,613.0,0.469768794,192.0,0.339042,0.109929025
ACTL6A,452.0,0.409046191,387.0,0.126936,-0.000129428
ACTR1A,3151.0,0.432463663,108.0,0.163146,0.246784218
ADA,312.0,0.444091501,440.0,-0.22078,0.024108577
ADD1,1928.0,0.439806775,863.0,0.196115,0.703133156
ADPRH,2067.0,0.380088169,541.0,-0.228057,0.013785633
ADSSL1,320.0,0.393141878,776.0,-0.013709,-0.328606613
AGAP3,508.0,0.436856677,1584.0,-0.153944,0.176690009
AHNAK,842.0,0.382138706,300.0,0.580157,0.555235616
AHSA1,225.0,0.374296292,431.0,0.231372,-0.021809615
AIF1,121.0,0.4069451,222.0,-0.064976,-0.091047175
AIFM2,1911.0,0.447982482,217.0,-0.491715,-0.226600939
AK1,1528.0,0.389481519,153.0,0.076575,0.437918116
AK2,2893.0,0.384271636,345.0,0.342579,-0.254471372
AKR1C2,3804.0,0.449591167,413.0,-1.507888,-1.02135781
AKR7A2,10996.0,0.385600504,22.0,0.535377,0.026714088
ALDH18A1,838.0,0.380333742,511.0,0.173608,-0.450774789
ALDH3A2,2525.0,0.42484639,221.0,0.624454,-0.102829281
ALDH6A1,4647.0,0.38708374,724.0,0.247629,-0.214439258
ALG1,2498.0,0.432230555,181.0,-0.02805,-0.263095963
ALG5,380.0,0.362014155,67.0,0.165605,-0.259358369
ALG9,4217.0,0.365461171,1107.0,-0.150968,-0.003934317
ALOX5AP,976.0,0.392577632,248.0,-0.103128,0.172913507
AMBRA1,1041.0,0.36170155,362.0,-0.042952,-0.169710147
AMPD2,903.0,0.389224108,566.0,0.11008,0.380534947
AMPD3,1695.0,0.423686063,472.0,-0.754305,0.038312644
ANAPC13,1361.0,0.393644021,731.0,0.437446,0.350648305
ANAPC5,235.0,0.390209877,197.0,-0.010711,0.057006282
ANKLE2,1737.0,0.418251419,90.0,-0.326842,-0.125359841
ANKRD16,135.0,0.465649334,543.0,-0.465716,0.027685438
ANKRD35,249.0,0.402949835,108.0,1.177376,0.4664668
ANXA2,496.0,0.429738522,160.0,-0.026762,0.320720984
ANXA5,1441.0,0.418050335,165.0,-0.094062,0.283925455
AP1B1,1153.0,0.424070668,187.0,0.099749,-0.109329044
AP1M1,914.0,0.463388599,173.0,0.071242,0.059463035
APBA1,3797.0,0.387421148,276.0,0.094166,0.073590678
APIP,427.0,0.433104693,127.0,0.018848,-0.303710767
APOBEC3B,339.0,0.43450554,55.0,-1.185278,-0.784907068
APOBEC3C,1979.0,0.381716897,103.0,0.052218,0.120730142
APOBEC3G,322.0,0.410940579,404.0,-0.81905,-0.180748114
APOL2,1195.0,0.42932248,477.0,-0.165503,-0.190321701
ARF6,2971.0,0.462806813,621.0,0.473341,0.087640981
ARFIP2,2430.0,0.403729309,291.0,0.263213,-0.302890455
ARHGAP17,2624.0,0.371011524,117.0,-0.496735,0.173759273
ARHGAP30,773.0,0.384451823,645.0,-0.150852,0.03813777
ARHGEF10,1378.0,0.370244255,202.0,-0.467513,0.065417819
ARID2,3145.0,0.362288628,128.0,-0.444084,-0.086194008
ARID3A,3881.0,0.411693449,290.0,-1.117104,-0.348709716
ARIH2,3112.0,0.397061561,878.0,-0.131637,0.179544929
ARL8A,1065.0,0.409602486,171.0,-0.545905,0.039041831
ARRB1,6041.0,0.39512759,224.0,0.368439,-0.233635801
ASF1B,950.0,0.395794233,172.0,-1.657042,-0.635033359
ASS1,1357.0,0.394201053,356.0,0.290435,0.07283368
ATPAF1,3039.0,0.439253133,510.0,0.01567,-0.527414164
AXL,1863.0,0.417061167,376.0,0.304699,0.056278291
B4GALT7,4483.0,0.433879574,93.0,0.247099,-0.484416497
BAG1,2764.0,0.431693656,501.0,0.13372,-0.011868957
BAG3,537.0,0.387438444,306.0,-0.394771,-0.182318828
BASP1,971.0,0.520859146,259.0,-0.174228,0.886041743
BBS7,1531.0,0.408023089,184.0,-0.120404,0.504176289
BCAT2,364.0,0.445598481,657.0,1.024696,-0.141883781
BCKDHB,3082.0,0.419736544,88.0,0.198521,-0.154688061
BCL2,5279.0,0.374049285,493.0,0.535334,0.033766498
BCL2L13,4109.0,0.411790332,769.0,0.161676,-0.332585051
BID,4193.0,0.428633517,498.0,0.147865,0.042085511
BLVRA,3376.0,0.414260839,177.0,-0.074471,-0.179820101
BOLA2,40.0,0.43059393,513.0,-0.317024,-0.05189812
BOLA3,383.0,0.406657227,38.0,0.034294,0.000729031
BRD2,787.0,0.377809737,2066.0,-0.466898,0.028776483
BRD3,3285.0,0.401150236,188.0,-0.119218,0.203435412
BSPRY,1091.0,0.380011644,48.0,1.194757,0.474108765
BST2,411.0,0.444557266,81.0,0.375733,-0.337409449
BUB3,1535.0,0.421992618,242.0,-0.272167,-0.108298926
C1QB,152.0,0.436596666,340.0,-1.082917,-0.109005101
C1QC,327.0,0.41150294,283.0,-0.894565,-0.04000852
C2CD3,671.0,0.360398895,227.0,-0.484815,0.676700668
C3,5088.0,0.430632158,93.0,0.822161,-0.149365385
CAP1,1134.0,0.406948565,416.0,0.123735,0.186318566
CAPN1,720.0,0.455130071,197.0,0.075815,0.162172747
CAPRIN1,5632.0,0.374918508,189.0,0.111772,-0.027559575
CAPZB,5180.0,0.446052528,622.0,0.391792,0.332411408
CARD16,437.0,0.41300235,27.0,-0.799763,-0.070622526
CARHSP1,4898.0,0.362100245,360.0,-0.637865,-0.222172165
CASC3,1778.0,0.370720542,295.0,0.114996,-0.21079795
CASP1,750.0,0.424742838,44.0,-0.665124,-0.009513374
CASP8,1794.0,0.376118708,303.0,-0.791478,-0.324504426
CAT,629.0,0.397270122,89.0,-0.264299,-0.646110974
CBL,8368.0,0.375957197,142.0,-0.417998,-0.027859698
CBLL1,3286.0,0.400851504,467.0,1.26657,0.337468064
CBR3,54.0,0.445176236,228.0,-0.609796,-0.550171806
