,3prime,tAI,max_5_UTR_length,TCGA-E2-A158,TCGA-E2-A158.1
AAK1,17874.0,0.380718848,505.0,0.526927,0.214308755
AATF,207.0,0.367011205,251.0,-0.513431,0.713807974
ABCC1,1793.0,0.393368456,175.0,1.404545,1.139516444
ABCF3,5726.0,0.387768135,869.0,-0.090572,-0.040896719
ABHD12,654.0,0.374654709,279.0,-0.230406,0.394378893
ABHD6,1639.0,0.384216096,505.0,-3.024412,-0.779787941
ABR,2562.0,0.39474042,600.0,-0.713039,-0.746318511
ABT1,2092.0,0.423473096,40.0,0.654064,0.933535229
ACADVL,176.0,0.46877374,457.0,-1.876042,-0.671363647
ACBD6,155.0,0.433964845,621.0,-0.127323,-0.244734143
ACIN1,584.0,0.404933544,328.0,-0.588007,0.0992066
ACO1,4661.0,0.37721508,227.0,0.911126,0.578235004
ACOT11,1220.0,0.392289045,176.0,-1.500466,-0.742243916
ACOT9,4514.0,0.358892202,225.0,-0.951982,0.037911055
ACP2,814.0,0.411581374,548.0,-1.380554,-0.095906973
ACSF2,1484.0,0.405139059,501.0,-1.719951,-1.248330399
ACSL1,1530.0,0.417966714,990.0,-0.003582,-0.139908412
ACSL5,1022.0,0.380976548,307.0,-0.180927,0.088161019
ACTB,613.0,0.469768794,192.0,-0.515446,-0.441141263
ACTL6A,452.0,0.409046191,387.0,0.816704,0.28586755
ACTR1A,3151.0,0.432463663,108.0,0.002848,-0.24951797
ADA,312.0,0.444091501,440.0,-1.17882,-0.287876776
ADAMDEC1,715.0,0.41564171,547.0,0.062974,-0.618098324
ADD1,1928.0,0.439806775,863.0,-0.816927,0.203643583
ADPRH,2067.0,0.380088169,541.0,0.136661,-0.118452753
ADSSL1,320.0,0.393141878,776.0,-1.343917,-1.228571727
AGAP3,508.0,0.436856677,1584.0,1.291545,0.574224811
AHNAK,842.0,0.382138706,300.0,-1.525394,-0.556678909
AHSA1,225.0,0.374296292,431.0,0.439558,0.23758913
AIF1,121.0,0.4069451,222.0,-2.444743,-0.089494785
AIFM2,1911.0,0.447982482,217.0,-0.562819,-0.489039615
AK1,1528.0,0.389481519,153.0,-1.481448,-0.993375611
AK2,2893.0,0.384271636,345.0,0.903728,0.40706253
AKR1C2,3804.0,0.449591167,413.0,1.805997,0.311867309
AKR7A2,10996.0,0.385600504,22.0,-1.1901,-0.537388734
ALDH18A1,838.0,0.380333742,511.0,1.089874,0.323760344
ALDH3A2,2525.0,0.42484639,221.0,-3.63573,-1.266331406
ALDH6A1,4647.0,0.38708374,724.0,-0.388287,0.23189034
ALG1,2498.0,0.432230555,181.0,-1.64283,-0.040445649
ALG5,380.0,0.362014155,67.0,-0.853082,0.203096627
ALOX5AP,976.0,0.392577632,248.0,-3.23908,0.418773535
AMBRA1,1041.0,0.36170155,362.0,-0.566005,0.060130455
AMPD2,903.0,0.389224108,566.0,1.368268,0.635230356
AMPD3,1695.0,0.423686063,472.0,-1.235042,-0.225846969
ANAPC13,1361.0,0.393644021,731.0,-0.143175,-0.637017038
ANAPC5,235.0,0.390209877,197.0,0.595929,0.155300383
ANKLE2,1737.0,0.418251419,90.0,0.523569,0.252994963
ANKRD16,135.0,0.465649334,543.0,1.213778,0.312903093
ANKRD35,249.0,0.402949835,108.0,4.353702,0.984260968
ANXA2,496.0,0.429738522,160.0,-3.16459,-1.091152172
ANXA5,1441.0,0.418050335,165.0,0.030746,-0.16454041
AP1B1,1153.0,0.424070668,187.0,0.103442,-0.01259879
AP1M1,914.0,0.463388599,173.0,-0.925134,-0.304871048
APBA1,3797.0,0.387421148,276.0,3.126608,0.987881543
APIP,427.0,0.433104693,127.0,-0.2731,-0.141395772
APOBEC3C,1979.0,0.381716897,103.0,1.01452,0.563944342
APOBEC3G,322.0,0.410940579,404.0,-1.473004,-0.313825128
APOL2,1195.0,0.42932248,477.0,-1.857284,-0.274446978
ARF6,2971.0,0.462806813,621.0,0.144437,-0.524505174
ARFIP2,2430.0,0.403729309,291.0,-0.57113,-0.507102041
ARHGAP17,2624.0,0.371011524,117.0,-0.009609,0.119571873
ARHGAP30,773.0,0.384451823,645.0,0.604856,-0.210325072
ARHGEF10,1378.0,0.370244255,202.0,0.366041,-0.269805546
ARID2,3145.0,0.362288628,128.0,0.236302,0.301023953
ARID3A,3881.0,0.411693449,290.0,-0.336094,0.118928485
ARIH2,3112.0,0.397061561,878.0,-0.002433,-0.033405102
ARL8A,1065.0,0.409602486,171.0,0.03185,0.39391058
ARRB1,6041.0,0.39512759,224.0,-4.224129,-1.127891528
ASF1B,950.0,0.395794233,172.0,-0.187605,-0.543715684
ASS1,1357.0,0.394201053,356.0,-0.611097,-0.854421268
ATPAF1,3039.0,0.439253133,510.0,-0.401807,-0.411972675
ATRIP,162.0,0.417082642,462.0,-0.668552,-0.293965809
AXL,1863.0,0.417061167,376.0,-2.920439,-0.22384036
B4GALT7,4483.0,0.433879574,93.0,-1.160199,-0.191461693
BAG1,2764.0,0.431693656,501.0,0.460034,0.332837207
BAG3,537.0,0.387438444,306.0,-0.800154,-0.75829833
BASP1,971.0,0.520859146,259.0,1.480813,1.30232102
BBS7,1531.0,0.408023089,184.0,0.468889,-0.043994473
BCAT2,364.0,0.445598481,657.0,-0.882751,-0.827298967
BCKDHB,3082.0,0.419736544,88.0,0.412338,0.833351047
BCL2,5279.0,0.374049285,493.0,-0.085866,0.021427831
BCL2L13,4109.0,0.411790332,769.0,0.051337,0.166973936
BID,4193.0,0.428633517,498.0,1.461388,0.793983515
BLVRA,3376.0,0.414260839,177.0,-2.229235,-1.11313102
BOLA2,40.0,0.43059393,513.0,0.380159,0.295102381
BOLA3,383.0,0.406657227,38.0,0.885159,0.521040661
BRD2,787.0,0.377809737,2066.0,0.407256,0.405990369
BRD3,3285.0,0.401150236,188.0,0.401616,0.300267015
BSPRY,1091.0,0.380011644,48.0,1.279403,0.130302334
BST2,411.0,0.444557266,81.0,0.225443,0.331567432
BUB3,1535.0,0.421992618,242.0,-1.044352,0.093113248
C1QB,152.0,0.436596666,340.0,-1.865085,-0.50265462
C1QC,327.0,0.41150294,283.0,-1.920073,-0.651276012
C2CD3,671.0,0.360398895,227.0,1.072624,-0.211105089
C3,5088.0,0.430632158,93.0,-0.805236,-1.042762332
CAP1,1134.0,0.406948565,416.0,-0.194705,-0.363739779
CAPN1,720.0,0.455130071,197.0,-0.571839,-0.554800433
CAPRIN1,5632.0,0.374918508,189.0,-0.631911,-0.192071628
CAPZB,5180.0,0.446052528,622.0,-0.605429,-0.06036204
CARD16,437.0,0.41300235,27.0,-2.17475,-0.19736903
CARHSP1,4898.0,0.362100245,360.0,-1.123812,-1.158062358
CASC3,1778.0,0.370720542,295.0,-0.479265,0.052503893
CASP1,750.0,0.424742838,44.0,-1.944416,-0.401390123
CASP8,1794.0,0.376118708,303.0,0.441505,0.125890976
CAT,629.0,0.397270122,89.0,-1.483343,-0.909209542
CBL,8368.0,0.375957197,142.0,0.287807,-0.097722483
CBLL1,3286.0,0.400851504,467.0,0.600538,0.105515263
CBR3,54.0,0.445176236,228.0,0.906413,0.38210678
CBS,4385.0,0.477784031,626.0,1.302384,-1.553723826
CBX5,10815.0,0.390902295,318.0,-0.71002,-0.164668822
CBX8,2504.0,0.36735217,118.0,0.53094,0.398311276
CCDC115,2169.0,0.385110507,452.0,0.303,-0.498880523
CCDC58,2462.0,0.421830022,75.0,0.22948,0.299883864
CCDC88C,1302.0,0.396031427,154.0,-0.143226,-0.251124975
CCL5,886.0,0.462166288,68.0,-1.817148,0.032655869
CCNA2,1206.0,0.409154498,373.0,0.383058,-0.007132245
CCNDBP1,2336.0,0.44393643,231.0,-1.09303,-0.517126433
CCS,4244.0,0.460896681,43.0,-0.357897,-0.393474544
CCT3,238.0,0.457984718,231.0,0.867118,-0.277171391
CCT4,1361.0,0.393363555,164.0,1.258316,-0.210821214
CD14,128.0,0.416321757,392.0,-2.435288,-0.473445847
CD209,3046.0,0.440000747,67.0,-1.22832,-0.115953083
CD36,2894.0,0.410517795,414.0,-2.02063,-0.608494436
CD40,982.0,0.429065654,90.0,0.369836,0.63083499
CD44,3115.0,0.39995987,434.0,-0.900395,0.038794858
CD63,923.0,0.512738356,403.0,-1.205399,-0.321861216
CD74,635.0,0.427357309,187.0,-1.835,0.187953429
CDC25C,437.0,0.364786128,387.0,0.178722,-0.263805447
CDC26,271.0,0.395637029,359.0,0.034067,-0.043206069
CDC34,560.0,0.46431386,199.0,-0.07105,-0.063046076
CDC42EP3,3941.0,0.420378821,1009.0,-2.3345,-0.6007498
CDCA3,816.0,0.351209268,820.0,0.339842,-0.127474488
CDCA8,1353.0,0.384295288,290.0,1.601642,0.149462389
CDIPT,1864.0,0.442654716,541.0,1.285886,0.582861826
CDK1,2313.0,0.398329505,154.0,0.371139,0.224800767
