,3prime,tAI,max_5_UTR_length,TCGA-AO-A0JE,TCGA-AO-A0JE.1
AAK1,17874.0,0.380718848,505.0,-0.162155,0.061397405
AATF,207.0,0.367011205,251.0,1.061919,0.126452331
ABCC1,1793.0,0.393368456,175.0,1.692372,0.531415548
ABCF3,5726.0,0.387768135,869.0,0.108739,-0.047943942
ABHD12,654.0,0.374654709,279.0,-0.770905,-0.344878207
ABR,2562.0,0.39474042,600.0,-0.456422,0.091911218
ABT1,2092.0,0.423473096,40.0,0.184584,0.245323851
ACADVL,176.0,0.46877374,457.0,-0.501733,0.1212088
ACBD6,155.0,0.433964845,621.0,-0.204981,0.146024532
ACIN1,584.0,0.404933544,328.0,0.133844,-0.160031225
ACO1,4661.0,0.37721508,227.0,-0.524074,-0.135413199
ACOT11,1220.0,0.392289045,176.0,-0.099661,-0.205806097
ACOT9,4514.0,0.358892202,225.0,0.917633,0.612769172
ACP2,814.0,0.411581374,548.0,0.28105,-0.304593124
ACSF2,1484.0,0.405139059,501.0,-0.310303,-0.282201703
ACSL1,1530.0,0.417966714,990.0,0.453894,-0.078991538
ACSL5,1022.0,0.380976548,307.0,1.638043,0.992467766
ACTB,613.0,0.469768794,192.0,0.250991,-0.175357542
ACTL6A,452.0,0.409046191,387.0,0.231187,-0.24906657
ACTR1A,3151.0,0.432463663,108.0,0.375956,-0.064823016
ADA,312.0,0.444091501,440.0,0.691476,0.575085931
ADAMDEC1,715.0,0.41564171,547.0,2.445566,-0.827148857
ADD1,1928.0,0.439806775,863.0,-0.596354,0.011717152
ADPRH,2067.0,0.380088169,541.0,0.289623,-0.044133773
ADSSL1,320.0,0.393141878,776.0,0.804713,-0.816195801
AGAP3,508.0,0.436856677,1584.0,-0.878009,-0.176584405
AHNAK,842.0,0.382138706,300.0,0.362198,0.419378271
AHSA1,225.0,0.374296292,431.0,0.901876,-0.276791235
AIF1,121.0,0.4069451,222.0,0.890921,0.458584635
AIFM2,1911.0,0.447982482,217.0,1.013596,0.794683577
AK1,1528.0,0.389481519,153.0,-0.256731,-0.332223354
AK2,2893.0,0.384271636,345.0,0.936137,0.249782182
AKR1C2,3804.0,0.449591167,413.0,5.66612,0.751333793
AKR7A2,10996.0,0.385600504,22.0,-0.643331,-0.54222881
ALDH18A1,838.0,0.380333742,511.0,0.912943,0.220840827
ALDH3A2,2525.0,0.42484639,221.0,-0.935147,-0.60307528
ALDH6A1,4647.0,0.38708374,724.0,0.84779,0.000729884
ALG1,2498.0,0.432230555,181.0,1.481228,0.713117388
ALG5,380.0,0.362014155,67.0,-0.092789,0.399478237
ALG9,4217.0,0.365461171,1107.0,-0.359847,-0.531604835
