,3prime,tAI,max_5_UTR_length,TCGA-C8-A135,TCGA-C8-A135.1
AAK1,17874.0,0.380718848,505.0,-0.029793,0.128579631
AATF,207.0,0.367011205,251.0,-0.278028,0.410811984
ABCC1,1793.0,0.393368456,175.0,0.168067,-0.056041516
ABCF3,5726.0,0.387768135,869.0,-0.630731,-0.099018125
ABHD12,654.0,0.374654709,279.0,0.890286,0.056582969
ABR,2562.0,0.39474042,600.0,-0.81239,-0.382635604
ABT1,2092.0,0.423473096,40.0,0.22128,0.484306666
ACADVL,176.0,0.46877374,457.0,-1.108579,-0.102246024
ACBD6,155.0,0.433964845,621.0,-0.350235,-0.040913901
ACIN1,584.0,0.404933544,328.0,-0.004409,-0.421341959
ACO1,4661.0,0.37721508,227.0,-0.164732,0.04706289
ACOT11,1220.0,0.392289045,176.0,-1.835146,-0.245933263
ACOT9,4514.0,0.358892202,225.0,1.383595,0.635814632
ACP2,814.0,0.411581374,548.0,-0.423386,-0.00194277
ACSF2,1484.0,0.405139059,501.0,2.276327,1.033922494
ACSL1,1530.0,0.417966714,990.0,2.010047,1.051282146
ACSL5,1022.0,0.380976548,307.0,0.255436,0.126847733
ACTB,613.0,0.469768794,192.0,0.47903,-0.150960299
ACTL6A,452.0,0.409046191,387.0,-0.169672,0.111792158
ACTR1A,3151.0,0.432463663,108.0,0.638651,-0.082359591
ADA,312.0,0.444091501,440.0,-0.338756,0.342448625
ADAMDEC1,715.0,0.41564171,547.0,-0.893196,-0.210753932
ADD1,1928.0,0.439806775,863.0,-0.688095,0.223776797
ADPRH,2067.0,0.380088169,541.0,-0.173704,-0.021534159
ADSSL1,320.0,0.393141878,776.0,-0.048547,-0.334185295
AGAP3,508.0,0.436856677,1584.0,-1.085732,-0.376914117
AHNAK,842.0,0.382138706,300.0,0.373898,0.655189248
AHSA1,225.0,0.374296292,431.0,0.86612,0.276609692
AIF1,121.0,0.4069451,222.0,0.257805,-0.03573617
AIFM2,1911.0,0.447982482,217.0,-0.574844,0.358649716
AK1,1528.0,0.389481519,153.0,-0.300219,-0.00166879
AK2,2893.0,0.384271636,345.0,-0.00187,-0.084792998
AKR1C2,3804.0,0.449591167,413.0,2.492332,0.436909966
AKR7A2,10996.0,0.385600504,22.0,-0.669238,-0.528844018
ALDH18A1,838.0,0.380333742,511.0,0.347201,0.287004443
ALDH3A2,2525.0,0.42484639,221.0,-1.01556,-0.329479464
ALDH6A1,4647.0,0.38708374,724.0,-0.077308,-0.039966967
ALG1,2498.0,0.432230555,181.0,-1.033079,-0.593568039
ALG5,380.0,0.362014155,67.0,-0.519799,0.0496936
ALOX5AP,976.0,0.392577632,248.0,-0.862799,0.12584179
AMBRA1,1041.0,0.36170155,362.0,-0.381477,1.119816283
AMPD2,903.0,0.389224108,566.0,-0.120602,0.011371231
AMPD3,1695.0,0.423686063,472.0,-0.753774,-0.406259457
ANAPC13,1361.0,0.393644021,731.0,0.371541,0.213830556
ANAPC5,235.0,0.390209877,197.0,-0.408626,0.144178951
ANKLE2,1737.0,0.418251419,90.0,-0.676905,-0.107614831
ANKRD16,135.0,0.465649334,543.0,-0.238717,0.02783069
ANXA2,496.0,0.429738522,160.0,0.133758,0.231682647
ANXA5,1441.0,0.418050335,165.0,0.710874,0.351621787
AP1B1,1153.0,0.424070668,187.0,1.338102,0.317378617
AP1M1,914.0,0.463388599,173.0,-0.17064,0.081317036
APIP,427.0,0.433104693,127.0,-0.790525,-0.654840711
APOBEC3C,1979.0,0.381716897,103.0,0.133089,0.211570443
APOBEC3G,322.0,0.410940579,404.0,0.517454,0.010302599
APOL2,1195.0,0.42932248,477.0,-0.526688,-0.653615239
ARF6,2971.0,0.462806813,621.0,0.094838,-0.206997325
ARFIP2,2430.0,0.403729309,291.0,0.32841,0.3465027
ARHGAP17,2624.0,0.371011524,117.0,0.065608,0.135685215
ARHGAP30,773.0,0.384451823,645.0,0.109837,0.024518952
ARHGEF10,1378.0,0.370244255,202.0,-0.537868,0.166289987
ARID2,3145.0,0.362288628,128.0,-0.15972,-0.092446295
ARID3A,3881.0,0.411693449,290.0,-0.162381,-0.257021378
ARIH2,3112.0,0.397061561,878.0,-0.241281,0.305655045
ARL8A,1065.0,0.409602486,171.0,-0.403515,-0.28254706
ARRB1,6041.0,0.39512759,224.0,-0.274831,-0.222093492
ASF1B,950.0,0.395794233,172.0,0.303132,0.535910895
ASS1,1357.0,0.394201053,356.0,1.290409,0.621678705
ATPAF1,3039.0,0.439253133,510.0,-0.021482,0.587168381
ATRIP,162.0,0.417082642,462.0,-0.55238,0.223816312
AXL,1863.0,0.417061167,376.0,0.35561,0.554137723
B4GALT7,4483.0,0.433879574,93.0,-0.068185,0.574602505
BAG1,2764.0,0.431693656,501.0,-0.61918,-0.28187052
BAG3,537.0,0.387438444,306.0,0.526335,-0.228499791
BASP1,971.0,0.520859146,259.0,0.09723,-0.73129355
BBS7,1531.0,0.408023089,184.0,-0.067423,0.223554903
BCAT2,364.0,0.445598481,657.0,-0.605017,-0.363199576
BCKDHB,3082.0,0.419736544,88.0,-0.796461,-0.246356834
BCL2,5279.0,0.374049285,493.0,-2.553261,-1.062779208
BCL2L13,4109.0,0.411790332,769.0,0.40857,-0.002955717
BID,4193.0,0.428633517,498.0,0.631956,0.366344036
BLVRA,3376.0,0.414260839,177.0,0.721573,0.174515407
BOLA2,40.0,0.43059393,513.0,1.494242,1.050667329
BOLA3,383.0,0.406657227,38.0,0.80982,0.395890322
BRD2,787.0,0.377809737,2066.0,-0.003641,0.096895106
BRD3,3285.0,0.401150236,188.0,0.690264,0.18372689
BSPRY,1091.0,0.380011644,48.0,-0.536992,-0.399322361
BST2,411.0,0.444557266,81.0,-2.026472,-0.87163712
BUB3,1535.0,0.421992618,242.0,1.106005,0.025272252
C1QB,152.0,0.436596666,340.0,0.294126,0.3737389
C1QC,327.0,0.41150294,283.0,-0.000819,0.43915244
C2CD3,671.0,0.360398895,227.0,0.460413,-1.477704883
C3,5088.0,0.430632158,93.0,0.008527,0.380925366
CAP1,1134.0,0.406948565,416.0,0.433046,-0.165192075
CAPN1,720.0,0.455130071,197.0,1.184563,0.548289026
CAPRIN1,5632.0,0.374918508,189.0,-0.226089,-0.352662004
CAPZB,5180.0,0.446052528,622.0,0.750879,0.003076987
CARD16,437.0,0.41300235,27.0,0.021796,0.025520637
CARHSP1,4898.0,0.362100245,360.0,1.087715,0.310676891
CASC3,1778.0,0.370720542,295.0,0.50372,-0.694406597
CASP1,750.0,0.424742838,44.0,-0.152683,0.06510051
CASP8,1794.0,0.376118708,303.0,0.235314,0.094788894
CAT,629.0,0.397270122,89.0,-0.866925,-0.219670116
CBL,8368.0,0.375957197,142.0,-0.913331,0.060818175
CBLL1,3286.0,0.400851504,467.0,0.107251,-0.345169689
CBR3,54.0,0.445176236,228.0,3.632243,1.690415122
CBS,4385.0,0.477784031,626.0,1.753187,-0.182717846
CBX5,10815.0,0.390902295,318.0,-0.610974,0.527818993
CBX8,2504.0,0.36735217,118.0,1.174298,0.145748785
CCDC115,2169.0,0.385110507,452.0,-0.31364,-1.237384258
CCDC125,2554.0,0.359965106,322.0,0.562745,0.736873717
CCDC58,2462.0,0.421830022,75.0,-0.07539,-0.275226103
CCDC88C,1302.0,0.396031427,154.0,0.176181,-0.314513601
CCL5,886.0,0.462166288,68.0,1.114557,-0.157093341
CCNA2,1206.0,0.409154498,373.0,1.296074,-0.346462653
CCNB2,168.0,0.374401461,184.0,0.464157,0.14136888
CCNDBP1,2336.0,0.44393643,231.0,-0.565564,-0.24770705
CCS,4244.0,0.460896681,43.0,1.177767,0.36805828
CCT3,238.0,0.457984718,231.0,0.642099,0.123094186
CCT4,1361.0,0.393363555,164.0,0.429703,0.135345247
CD14,128.0,0.416321757,392.0,-0.671196,0.076558001
CD209,3046.0,0.440000747,67.0,-0.599527,0.966052599
CD36,2894.0,0.410517795,414.0,1.117099,1.305222057
CD40,982.0,0.429065654,90.0,-0.298696,-0.130169611
CD44,3115.0,0.39995987,434.0,-1.067768,-0.826570339
CD63,923.0,0.512738356,403.0,-0.055645,-0.756514987
CD74,635.0,0.427357309,187.0,0.225789,-0.510014218
CDC25C,437.0,0.364786128,387.0,0.896557,0.378125747
CDC26,271.0,0.395637029,359.0,0.501526,-0.732010987
CDC34,560.0,0.46431386,199.0,0.172581,-0.320182519
CDC42EP3,3941.0,0.420378821,1009.0,0.971655,0.242364836
CDCA8,1353.0,0.384295288,290.0,0.903912,0.260232659
CDIPT,1864.0,0.442654716,541.0,0.440096,-0.821539077
CDK1,2313.0,0.398329505,154.0,0.969639,0.617517744
CDK19,4557.0,0.421511824,180.0,-0.68356,-0.126757792
CDK5RAP2,367.0,0.371069462,192.0,0.369284,0.219436217
CDK5RAP3,284.0,0.469750898,1791.0,-0.976973,-0.052956702
CDKAL1,1365.0,0.417875209,167.0,-0.342974,0.027313853
CDKN2AIPNL,3639.0,0.409801696,53.0,0.665296,0.430360685
CDKN2C,2247.0,0.381912025,1216.0,0.123912,0.443323866
CEBPD,1714.0,0.430497143,44.0,0.734803,-0.316098886
