,3prime,tAI,max_5_UTR_length,TCGA-A2-A0YC,TCGA-A2-A0YC.1
AAK1,17874.0,0.380718848,505.0,0.185024,-0.012627987
AATF,207.0,0.367011205,251.0,-0.060022,-0.319047508
ABCC1,1793.0,0.393368456,175.0,0.260815,-0.01958761
ABCF3,5726.0,0.387768135,869.0,0.010549,0.035506586
ABHD12,654.0,0.374654709,279.0,1.295175,0.529333875
ABHD6,1639.0,0.384216096,505.0,1.072728,0.176515099
ABR,2562.0,0.39474042,600.0,-0.49637,-0.083391806
ABT1,2092.0,0.423473096,40.0,-0.394526,-0.583294004
ACADVL,176.0,0.46877374,457.0,0.008382,0.159217551
ACBD6,155.0,0.433964845,621.0,-0.169649,-0.023668069
ACIN1,584.0,0.404933544,328.0,0.168857,0.111269245
ACO1,4661.0,0.37721508,227.0,-0.398514,-0.039805008
ACOT11,1220.0,0.392289045,176.0,-0.147984,0.137284364
ACOT9,4514.0,0.358892202,225.0,-0.659092,0.112696303
ACP2,814.0,0.411581374,548.0,0.719432,0.387475736
ACSF2,1484.0,0.405139059,501.0,0.678816,0.419593252
ACSL1,1530.0,0.417966714,990.0,-0.839861,-0.418496994
ACSL5,1022.0,0.380976548,307.0,-1.221833,-0.872761416
ACTB,613.0,0.469768794,192.0,-0.516272,-0.417886992
ACTL6A,452.0,0.409046191,387.0,-0.230272,-0.205386089
ACTR1A,3151.0,0.432463663,108.0,-0.00518,0.232506497
ADA,312.0,0.444091501,440.0,-0.391807,-0.023830156
ADAMDEC1,715.0,0.41564171,547.0,0.884884,-0.374159122
ADD1,1928.0,0.439806775,863.0,0.219401,-0.16690611
ADPRH,2067.0,0.380088169,541.0,-0.4186,0.109714473
ADSSL1,320.0,0.393141878,776.0,0.362649,0.031137106
AGAP3,508.0,0.436856677,1584.0,-0.306036,-0.038764072
AHNAK,842.0,0.382138706,300.0,0.746571,0.229421157
AHSA1,225.0,0.374296292,431.0,-0.271094,-0.172344021
AIF1,121.0,0.4069451,222.0,0.13709,0.102809333
AIFM2,1911.0,0.447982482,217.0,-0.115991,0.256205779
AK1,1528.0,0.389481519,153.0,-0.149251,0.183302551
AK2,2893.0,0.384271636,345.0,-0.111302,0.15233362
AKR1C2,3804.0,0.449591167,413.0,1.584101,0.175425596
AKR7A2,10996.0,0.385600504,22.0,0.032093,0.008731758
ALDH18A1,838.0,0.380333742,511.0,-0.171755,-0.452881855
ALDH3A2,2525.0,0.42484639,221.0,2.050091,0.971560195
ALDH6A1,4647.0,0.38708374,724.0,0.962182,0.498721671
ALG1,2498.0,0.432230555,181.0,0.541049,0.405405663
ALG5,380.0,0.362014155,67.0,0.028091,0.174587578
AMBRA1,1041.0,0.36170155,362.0,0.071562,-0.05984883
AMPD2,903.0,0.389224108,566.0,-0.093671,0.111900596
AMPD3,1695.0,0.423686063,472.0,0.910259,0.089420279
ANAPC13,1361.0,0.393644021,731.0,0.036158,-0.019964866
ANAPC5,235.0,0.390209877,197.0,-0.151555,0.090666933
ANKLE2,1737.0,0.418251419,90.0,0.1003,-0.008494171
ANKRD16,135.0,0.465649334,543.0,-0.523546,-0.401563647
ANKRD35,249.0,0.402949835,108.0,-0.812588,0.084860782
ANXA2,496.0,0.429738522,160.0,-0.156417,0.01797249
ANXA5,1441.0,0.418050335,165.0,-0.035073,0.315366354
AP1B1,1153.0,0.424070668,187.0,0.400409,0.162909101
AP1M1,914.0,0.463388599,173.0,-0.13244,0.066865696
APBA1,3797.0,0.387421148,276.0,-0.429151,-0.437040808
APIP,427.0,0.433104693,127.0,0.079931,-0.085989428
APOBEC3B,339.0,0.43450554,55.0,0.220914,-0.967619512
APOBEC3C,1979.0,0.381716897,103.0,-0.28861,-0.211084056
APOBEC3G,322.0,0.410940579,404.0,-0.73751,-0.010865294
APOL2,1195.0,0.42932248,477.0,0.622561,0.329431592
ARF6,2971.0,0.462806813,621.0,0.113554,-0.201027579
ARFIP2,2430.0,0.403729309,291.0,0.145401,0.432613835
ARHGAP17,2624.0,0.371011524,117.0,-0.291697,-0.001778784
ARHGAP30,773.0,0.384451823,645.0,-0.043945,0.052349089
ARHGEF10,1378.0,0.370244255,202.0,-0.048111,0.095188177
ARID2,3145.0,0.362288628,128.0,0.885696,-0.070122731
ARID3A,3881.0,0.411693449,290.0,0.253343,-0.237509318
ARIH2,3112.0,0.397061561,878.0,0.004193,0.084617079
ARL8A,1065.0,0.409602486,171.0,0.178373,0.04766749
ARRB1,6041.0,0.39512759,224.0,-0.748872,-0.582867325
ASF1B,950.0,0.395794233,172.0,0.021436,-0.269631732
ASS1,1357.0,0.394201053,356.0,-2.158501,-0.937457213
ATPAF1,3039.0,0.439253133,510.0,0.674772,0.159572013
ATRIP,162.0,0.417082642,462.0,0.464414,-0.444504463
AXL,1863.0,0.417061167,376.0,0.083816,0.285186275
BAG1,2764.0,0.431693656,501.0,0.156968,0.07585768
BAG3,537.0,0.387438444,306.0,0.036966,0.51673487
BASP1,971.0,0.520859146,259.0,-0.284974,0.323206879
BBS7,1531.0,0.408023089,184.0,-0.337995,0.614386685
BCAT2,364.0,0.445598481,657.0,0.790606,0.648082366
BCKDHB,3082.0,0.419736544,88.0,0.82321,0.676938151
BCL2,5279.0,0.374049285,493.0,1.140923,0.535426054
BCL2L13,4109.0,0.411790332,769.0,0.480304,0.286707769
BID,4193.0,0.428633517,498.0,-0.403248,-0.131533313
BLVRA,3376.0,0.414260839,177.0,0.475161,0.230613607
BOLA2,40.0,0.43059393,513.0,-0.5668,-0.235405022
BOLA3,383.0,0.406657227,38.0,-0.651287,-0.15554183
BRD2,787.0,0.377809737,2066.0,0.051373,0.122626577
BRD3,3285.0,0.401150236,188.0,0.102344,0.050310649
BSPRY,1091.0,0.380011644,48.0,0.652794,0.482373387
BST2,411.0,0.444557266,81.0,1.148321,0.294711605
BUB3,1535.0,0.421992618,242.0,-0.138855,0.202295064
