,3prime,tAI,max_5_UTR_length,TCGA-BH-A0DG,TCGA-BH-A0DG.1
AAK1,17874.0,0.380718848,505.0,0.438557,0.241535303
AATF,207.0,0.367011205,251.0,-0.200658,-0.184009696
ABCC1,1793.0,0.393368456,175.0,0.359181,-0.224871494
ABCF3,5726.0,0.387768135,869.0,-0.262768,-0.406750783
ABHD12,654.0,0.374654709,279.0,0.930615,0.577248787
ABR,2562.0,0.39474042,600.0,0.63426,0.262026011
ABT1,2092.0,0.423473096,40.0,-0.044139,-0.430607982
ACADVL,176.0,0.46877374,457.0,-0.502348,-0.481582802
ACBD6,155.0,0.433964845,621.0,-0.424136,-0.200463141
ACIN1,584.0,0.404933544,328.0,0.169734,0.05016438
ACO1,4661.0,0.37721508,227.0,0.634746,0.095522744
ACOT11,1220.0,0.392289045,176.0,1.42295,-0.321174576
ACOT9,4514.0,0.358892202,225.0,0.251834,0.039255156
ACP2,814.0,0.411581374,548.0,0.294671,-0.246193982
ACSF2,1484.0,0.405139059,501.0,2.232424,0.506987029
ACSL1,1530.0,0.417966714,990.0,0.854517,0.239437106
ACSL5,1022.0,0.380976548,307.0,-0.123313,-0.345493524
ACTB,613.0,0.469768794,192.0,0.362984,-0.163333968
ACTL6A,452.0,0.409046191,387.0,-0.032335,-0.093338797
ACTR1A,3151.0,0.432463663,108.0,0.630404,0.210629462
ADA,312.0,0.444091501,440.0,0.2147,-0.332732919
ADAMDEC1,715.0,0.41564171,547.0,2.23747,0.125134134
ADD1,1928.0,0.439806775,863.0,0.346873,0.031075523
ADPRH,2067.0,0.380088169,541.0,0.281635,-0.128971399
ADSSL1,320.0,0.393141878,776.0,-0.951091,-0.424077922
AGAP3,508.0,0.436856677,1584.0,-0.208315,0.080186469
AHNAK,842.0,0.382138706,300.0,0.360843,0.094208848
AHSA1,225.0,0.374296292,431.0,0.20171,0.297614108
AIF1,121.0,0.4069451,222.0,0.000175,-0.405892917
AIFM2,1911.0,0.447982482,217.0,0.195233,0.059617046
AK1,1528.0,0.389481519,153.0,0.279056,0.258761102
AK2,2893.0,0.384271636,345.0,-0.915988,-0.477494081
AKR1C2,3804.0,0.449591167,413.0,1.40467,-0.045243071
AKR7A2,10996.0,0.385600504,22.0,-0.490052,-0.534898788
ALDH18A1,838.0,0.380333742,511.0,0.387175,0.12346287
ALDH3A2,2525.0,0.42484639,221.0,-0.606841,-0.239920213
ALDH6A1,4647.0,0.38708374,724.0,0.70103,0.208392549
ALG1,2498.0,0.432230555,181.0,0.28788,-0.444978005
ALG5,380.0,0.362014155,67.0,0.176307,0.508507666
ALG9,4217.0,0.365461171,1107.0,-0.203981,-0.144320596
AMBRA1,1041.0,0.36170155,362.0,0.165885,-0.038274997
AMPD2,903.0,0.389224108,566.0,-0.302929,-0.148277423
AMPD3,1695.0,0.423686063,472.0,0.147445,-0.231786725
ANAPC13,1361.0,0.393644021,731.0,0.441045,-0.053067759
ANAPC5,235.0,0.390209877,197.0,-0.380486,-0.067615749
ANKLE2,1737.0,0.418251419,90.0,-0.128197,0.036030575
ANKRD16,135.0,0.465649334,543.0,0.169535,-0.228356427
ANXA2,496.0,0.429738522,160.0,0.257905,-0.093069295
ANXA5,1441.0,0.418050335,165.0,0.789867,0.328051374
AP1B1,1153.0,0.424070668,187.0,0.515476,0.126212864
AP1M1,914.0,0.463388599,173.0,0.293755,-0.038635351
APBA1,3797.0,0.387421148,276.0,0.212179,-0.070453714
APIP,427.0,0.433104693,127.0,-0.760232,-0.233395429
APOBEC3B,339.0,0.43450554,55.0,1.249479,0.371039031
APOBEC3C,1979.0,0.381716897,103.0,0.307004,-0.297288202
APOBEC3G,322.0,0.410940579,404.0,-0.164206,-0.340227009
APOL2,1195.0,0.42932248,477.0,0.812418,0.395172554
ARF6,2971.0,0.462806813,621.0,-0.403019,-0.171396743
ARFIP2,2430.0,0.403729309,291.0,0.260704,0.348496835
ARHGAP17,2624.0,0.371011524,117.0,0.3433,0.035232632
ARHGAP30,773.0,0.384451823,645.0,0.350406,-0.063328107
ARHGEF10,1378.0,0.370244255,202.0,-0.286878,-0.223321063
ARID2,3145.0,0.362288628,128.0,0.029987,-0.020883918
ARID3A,3881.0,0.411693449,290.0,0.229484,0.007863759
ARIH2,3112.0,0.397061561,878.0,-0.656539,-0.04551955
ARL8A,1065.0,0.409602486,171.0,0.190622,0.101573267
ARRB1,6041.0,0.39512759,224.0,1.069745,1.218276296
ASF1B,950.0,0.395794233,172.0,-0.034203,-0.202483896
ASS1,1357.0,0.394201053,356.0,-1.353776,-1.022406651
ATPAF1,3039.0,0.439253133,510.0,-0.011194,-0.172081996
BAG1,2764.0,0.431693656,501.0,-0.411169,-0.011561735
BAG3,537.0,0.387438444,306.0,0.773204,0.397440409
BASP1,971.0,0.520859146,259.0,-0.177143,0.252548193
BBS7,1531.0,0.408023089,184.0,0.013027,0.029605646
BCAT2,364.0,0.445598481,657.0,-0.32281,-0.282591645
BCKDHB,3082.0,0.419736544,88.0,-0.41295,-0.128942988
BCL2L13,4109.0,0.411790332,769.0,0.301142,0.247676406
BID,4193.0,0.428633517,498.0,-0.163501,0.026636636
BLVRA,3376.0,0.414260839,177.0,0.682075,0.464570859
BOLA2,40.0,0.43059393,513.0,0.625491,0.192709433
BOLA3,383.0,0.406657227,38.0,-0.087452,0.344600636
BRD2,787.0,0.377809737,2066.0,-0.225823,0.024233914
BRD3,3285.0,0.401150236,188.0,0.506343,0.199772854
BSPRY,1091.0,0.380011644,48.0,-1.181155,-0.340183726
BST2,411.0,0.444557266,81.0,-1.200512,-1.625712758
BUB3,1535.0,0.421992618,242.0,-0.030097,0.075409724
C1QB,152.0,0.436596666,340.0,1.230357,-0.034455063
C1QC,327.0,0.41150294,283.0,1.231143,-0.230175207
C2CD3,671.0,0.360398895,227.0,0.969379,0.146165018
C3,5088.0,0.430632158,93.0,0.918832,-0.02589279
CAP1,1134.0,0.406948565,416.0,0.29181,0.079616877
CAPN1,720.0,0.455130071,197.0,0.392945,0.09687378
CAPRIN1,5632.0,0.374918508,189.0,-0.040584,-0.072361827
CAPZB,5180.0,0.446052528,622.0,0.186148,-0.136487578
CARD16,437.0,0.41300235,27.0,0.681885,0.262976492
CARHSP1,4898.0,0.362100245,360.0,0.561093,0.214805125
CASC3,1778.0,0.370720542,295.0,-0.5316,-0.073064803
CASP1,750.0,0.424742838,44.0,-0.066824,-0.129130606
CASP8,1794.0,0.376118708,303.0,0.006958,-0.368131786
CAT,629.0,0.397270122,89.0,0.255114,-0.477739382
CBL,8368.0,0.375957197,142.0,0.078829,-0.19681781
CBLL1,3286.0,0.400851504,467.0,-0.323079,0.079924639
CBR3,54.0,0.445176236,228.0,-0.804772,-0.640416395
CBS,4385.0,0.477784031,626.0,-1.628191,-1.343906925
CBX5,10815.0,0.390902295,318.0,-0.772141,-0.678715278
CBX8,2504.0,0.36735217,118.0,-0.757022,0.169636499
CCDC115,2169.0,0.385110507,452.0,-0.190237,-0.134298324
CCDC58,2462.0,0.421830022,75.0,-0.40353,-0.075783708
CCDC88C,1302.0,0.396031427,154.0,0.982562,0.113538999
CCL5,886.0,0.462166288,68.0,0.319277,-0.208954949
CCNDBP1,2336.0,0.44393643,231.0,-0.016096,0.108052952
CCS,4244.0,0.460896681,43.0,-0.146679,-0.307825925
CCT3,238.0,0.457984718,231.0,0.369989,-0.036185116
CCT4,1361.0,0.393363555,164.0,-0.552108,-0.081534853
CD14,128.0,0.416321757,392.0,0.51455,-0.521993891
CD209,3046.0,0.440000747,67.0,1.573699,0.247103687
CD36,2894.0,0.410517795,414.0,2.191027,0.016848372
CD40,982.0,0.429065654,90.0,0.454295,-0.235387467
CD44,3115.0,0.39995987,434.0,-1.126144,-0.588228516
CD63,923.0,0.512738356,403.0,0.320437,0.231252452
CD74,635.0,0.427357309,187.0,0.556563,-0.540373376
CDC25C,437.0,0.364786128,387.0,0.000589,-0.177950693
CDC26,271.0,0.395637029,359.0,-0.69217,0.076158242
CDC34,560.0,0.46431386,199.0,-0.126217,0.1457309
CDC42EP3,3941.0,0.420378821,1009.0,-0.459913,-0.267711935
