,3prime,tAI,max_5_UTR_length,TCGA-AR-A0TR,TCGA-AR-A0TR.1
AAK1,17874.0,0.380718848,505.0,0.58859,0.043817893
AATF,207.0,0.367011205,251.0,0.033769,-0.027795289
ABCC1,1793.0,0.393368456,175.0,-1.293059,0.015565757
ABCF3,5726.0,0.387768135,869.0,-0.053415,0.00358343
ABHD12,654.0,0.374654709,279.0,-0.456256,0.626238265
ABHD6,1639.0,0.384216096,505.0,-0.509284,-0.340686326
ABR,2562.0,0.39474042,600.0,0.25348,0.009448625
ABT1,2092.0,0.423473096,40.0,0.245425,0.098061949
ACADVL,176.0,0.46877374,457.0,-0.478252,-0.286124656
ACBD6,155.0,0.433964845,621.0,0.0694,-0.068758286
ACIN1,584.0,0.404933544,328.0,1.009072,0.239355917
ACO1,4661.0,0.37721508,227.0,-0.227971,0.131084068
ACOT11,1220.0,0.392289045,176.0,-1.630895,-0.94624459
ACOT9,4514.0,0.358892202,225.0,-3.548276,-1.09476897
ACP2,814.0,0.411581374,548.0,-0.211753,0.530800981
ACSF2,1484.0,0.405139059,501.0,0.352448,-0.478610921
ACSL1,1530.0,0.417966714,990.0,-2.722478,-1.314429069
ACSL5,1022.0,0.380976548,307.0,-1.659139,-0.708003092
ACTB,613.0,0.469768794,192.0,-1.067065,-0.869973825
ACTL6A,452.0,0.409046191,387.0,0.544121,-0.031782963
ACTR1A,3151.0,0.432463663,108.0,-0.426502,-0.278095919
ADA,312.0,0.444091501,440.0,-2.041172,-0.924406554
ADAMDEC1,715.0,0.41564171,547.0,-0.232634,-1.66740565
ADD1,1928.0,0.439806775,863.0,-0.606705,-0.757595779
ADPRH,2067.0,0.380088169,541.0,-1.402381,-0.345347454
ADSSL1,320.0,0.393141878,776.0,-0.640651,-1.081599108
AGAP3,508.0,0.436856677,1584.0,0.104232,0.283019924
AHNAK,842.0,0.382138706,300.0,0.617803,0.486009767
AHSA1,225.0,0.374296292,431.0,-0.728131,-0.630970507
AIF1,121.0,0.4069451,222.0,-1.16153,-0.731050208
AIFM2,1911.0,0.447982482,217.0,-1.927637,-1.097068785
AK1,1528.0,0.389481519,153.0,0.435989,0.835448389
AK2,2893.0,0.384271636,345.0,0.108106,-0.182113504
AKR1C2,3804.0,0.449591167,413.0,-3.350561,-2.647311805
AKR7A2,10996.0,0.385600504,22.0,0.552494,0.409929024
ALDH18A1,838.0,0.380333742,511.0,0.2467,-0.622575486
ALDH3A2,2525.0,0.42484639,221.0,0.167437,-0.009495557
ALDH6A1,4647.0,0.38708374,724.0,1.202528,0.500666685
ALG1,2498.0,0.432230555,181.0,0.252407,0.84515716
ALG5,380.0,0.362014155,67.0,-0.007105,0.418926947
ALG9,4217.0,0.365461171,1107.0,0.691813,1.213528966
ALOX5AP,976.0,0.392577632,248.0,-1.228059,0.950690419
AMBRA1,1041.0,0.36170155,362.0,0.31734,-0.023941181
AMPD2,903.0,0.389224108,566.0,0.216667,-0.170679202
AMPD3,1695.0,0.423686063,472.0,-1.563713,-0.586831671
ANAPC13,1361.0,0.393644021,731.0,0.222404,0.802894599
ANAPC5,235.0,0.390209877,197.0,0.34568,-0.003738078
ANKLE2,1737.0,0.418251419,90.0,0.217777,0.141143432
ANKRD16,135.0,0.465649334,543.0,-0.591887,-0.072248969
ANKRD35,249.0,0.402949835,108.0,-2.934992,-1.369541608
ANXA2,496.0,0.429738522,160.0,-1.950912,-1.478855926
ANXA5,1441.0,0.418050335,165.0,-0.569215,-0.454042922
AP1B1,1153.0,0.424070668,187.0,-0.60113,-0.076262311
AP1M1,914.0,0.463388599,173.0,-0.356121,-0.24555875
APBA1,3797.0,0.387421148,276.0,-2.081078,-0.324363931
APIP,427.0,0.433104693,127.0,0.429162,1.24559541
