,3prime,tAI,max_5_UTR_length,TCGA-A8-A076,TCGA-A8-A076.1
AAK1,17874.0,0.380718848,505.0,0.175993,-0.077728876
AATF,207.0,0.367011205,251.0,-0.45459,-0.212591079
ABCC1,1793.0,0.393368456,175.0,-0.853391,-0.115689704
ABCF3,5726.0,0.387768135,869.0,0.083069,-0.131226259
ABHD12,654.0,0.374654709,279.0,0.867146,0.735787521
ABR,2562.0,0.39474042,600.0,-0.567626,-0.182101044
ABT1,2092.0,0.423473096,40.0,0.288039,0.041067023
ACADVL,176.0,0.46877374,457.0,-0.837675,-0.33417424
ACBD6,155.0,0.433964845,621.0,0.252542,0.07943121
ACIN1,584.0,0.404933544,328.0,0.035948,-0.030881893
ACO1,4661.0,0.37721508,227.0,-0.070698,-0.008616234
ACOT11,1220.0,0.392289045,176.0,-0.087774,-0.033234027
ACOT9,4514.0,0.358892202,225.0,0.598533,0.307554011
ACP2,814.0,0.411581374,548.0,0.76346,0.265202423
ACSF2,1484.0,0.405139059,501.0,0.498633,0.38709986
ACSL1,1530.0,0.417966714,990.0,0.604661,0.015816995
ACSL5,1022.0,0.380976548,307.0,-1.160159,-0.654794414
ACTB,613.0,0.469768794,192.0,0.161996,-0.256394945
ACTL6A,452.0,0.409046191,387.0,0.071184,-0.211135738
ACTR1A,3151.0,0.432463663,108.0,-0.207349,-0.147118733
ADA,312.0,0.444091501,440.0,-0.10046,-0.069761402
ADD1,1928.0,0.439806775,863.0,0.078518,-0.021219131
ADPRH,2067.0,0.380088169,541.0,0.040712,0.155083796
ADSSL1,320.0,0.393141878,776.0,-0.006165,-0.083834397
AGAP3,508.0,0.436856677,1584.0,-0.189157,0.105617742
AHNAK,842.0,0.382138706,300.0,0.650363,0.324405134
AHSA1,225.0,0.374296292,431.0,0.541363,0.17301035
AIF1,121.0,0.4069451,222.0,-0.164784,0.196322327
AIFM2,1911.0,0.447982482,217.0,-1.660132,-0.053367513
AK1,1528.0,0.389481519,153.0,-0.772096,-0.350779017
AK2,2893.0,0.384271636,345.0,-0.013764,-0.30994136
AKR1C2,3804.0,0.449591167,413.0,-0.411906,-0.437435324
AKR7A2,10996.0,0.385600504,22.0,-0.560498,-0.418641048
ALDH18A1,838.0,0.380333742,511.0,0.267197,-0.277152318
ALDH3A2,2525.0,0.42484639,221.0,-1.1338,-0.65079624
ALDH6A1,4647.0,0.38708374,724.0,-0.032694,-0.414610646
ALG1,2498.0,0.432230555,181.0,-0.127935,0.464710194
ALG5,380.0,0.362014155,67.0,-0.4391,0.192516148
ALG9,4217.0,0.365461171,1107.0,0.256075,0.585062339
ALOX5AP,976.0,0.392577632,248.0,0.362345,0.512621496
AMBRA1,1041.0,0.36170155,362.0,-0.070208,-0.043065781
AMPD2,903.0,0.389224108,566.0,-0.328645,0.070576301
AMPD3,1695.0,0.423686063,472.0,0.269386,0.214020629
ANAPC13,1361.0,0.393644021,731.0,0.175874,-0.012955896
ANAPC5,235.0,0.390209877,197.0,0.082111,0.133645482
ANKLE2,1737.0,0.418251419,90.0,0.340511,0.357030021
ANKRD16,135.0,0.465649334,543.0,-0.401875,-0.083046124
ANXA2,496.0,0.429738522,160.0,-0.873827,-0.16700031
ANXA5,1441.0,0.418050335,165.0,0.446908,0.088825413
AP1B1,1153.0,0.424070668,187.0,0.238989,0.145243323
AP1M1,914.0,0.463388599,173.0,-0.331729,0.064329334
APIP,427.0,0.433104693,127.0,0.192758,-0.228004607
APOBEC3B,339.0,0.43450554,55.0,0.738266,0.160856702
APOBEC3C,1979.0,0.381716897,103.0,-0.580876,0.093964754
APOBEC3G,322.0,0.410940579,404.0,-0.082806,0.322639168
APOL2,1195.0,0.42932248,477.0,-0.3007,-0.149217531
ARF6,2971.0,0.462806813,621.0,0.447526,-0.347496199
ARFIP2,2430.0,0.403729309,291.0,0.238601,-0.084151448
ARHGAP17,2624.0,0.371011524,117.0,-0.124332,-0.005416507
ARHGAP30,773.0,0.384451823,645.0,0.277224,0.230957678
ARHGEF10,1378.0,0.370244255,202.0,-0.720061,0.037123553
ARID2,3145.0,0.362288628,128.0,0.303821,-0.025773265
ARID3A,3881.0,0.411693449,290.0,-0.160481,0.321680893
ARIH2,3112.0,0.397061561,878.0,-0.12162,-0.201903404
ARL8A,1065.0,0.409602486,171.0,-0.695973,-0.300346295
ARRB1,6041.0,0.39512759,224.0,0.710309,-0.1772606
ASF1B,950.0,0.395794233,172.0,0.353661,-0.228981916
ASS1,1357.0,0.394201053,356.0,-3.294326,-1.399500795
ATPAF1,3039.0,0.439253133,510.0,-0.200128,-0.22153444
ATRIP,162.0,0.417082642,462.0,-0.030433,-0.048868707
B4GALT7,4483.0,0.433879574,93.0,-0.138632,0.041763773
BAG1,2764.0,0.431693656,501.0,0.130659,0.067402198
BAG3,537.0,0.387438444,306.0,0.171218,0.128602497
BASP1,971.0,0.520859146,259.0,0.410446,0.371027856
BBS7,1531.0,0.408023089,184.0,-0.500162,-0.055044314
BCAT2,364.0,0.445598481,657.0,-0.320291,-0.511594972
BCKDHB,3082.0,0.419736544,88.0,-0.287117,-0.448509209
BCL2,5279.0,0.374049285,493.0,-1.172363,-0.426234156
BCL2L13,4109.0,0.411790332,769.0,-0.269772,-0.271632093
BID,4193.0,0.428633517,498.0,-0.490875,-0.33798425
BLVRA,3376.0,0.414260839,177.0,0.621936,-0.036156686
BOLA2,40.0,0.43059393,513.0,-0.060839,-0.068063991
BOLA3,383.0,0.406657227,38.0,-0.118627,-0.196644046
BRD2,787.0,0.377809737,2066.0,0.753163,-0.060369796
BRD3,3285.0,0.401150236,188.0,0.742003,-0.017613429
BSPRY,1091.0,0.380011644,48.0,0.006471,-0.277684229
BST2,411.0,0.444557266,81.0,1.192603,0.141493366
BUB3,1535.0,0.421992618,242.0,-0.064801,-0.122735267
C1QB,152.0,0.436596666,340.0,0.230599,-0.031192881
C1QC,327.0,0.41150294,283.0,0.726768,0.174414095
C2CD3,671.0,0.360398895,227.0,0.571567,0.135176864
C3,5088.0,0.430632158,93.0,-0.73804,-0.304387874
CAP1,1134.0,0.406948565,416.0,1.00486,0.344776275
CAPN1,720.0,0.455130071,197.0,0.168871,0.138296227
CAPRIN1,5632.0,0.374918508,189.0,0.283961,0.090293612
CAPZB,5180.0,0.446052528,622.0,-0.076716,-0.031048533
CARD16,437.0,0.41300235,27.0,-1.084949,-0.294048662
CARHSP1,4898.0,0.362100245,360.0,0.199965,0.075619312
CASC3,1778.0,0.370720542,295.0,2.1237,1.083124748
CASP1,750.0,0.424742838,44.0,-0.48007,-0.216216807
CASP8,1794.0,0.376118708,303.0,0.578481,0.14815233
CAT,629.0,0.397270122,89.0,0.004343,0.026511805
CBL,8368.0,0.375957197,142.0,0.000985,0.121237634
CBLL1,3286.0,0.400851504,467.0,-0.022164,-0.028309211
CBR3,54.0,0.445176236,228.0,1.209613,0.230915791
CBS,4385.0,0.477784031,626.0,0.023056,-1.190149365
CBX5,10815.0,0.390902295,318.0,-0.2544,-0.383601879
CBX8,2504.0,0.36735217,118.0,0.149797,0.099782598
CCDC115,2169.0,0.385110507,452.0,-0.482785,0.154439936
CCDC58,2462.0,0.421830022,75.0,0.030641,-0.091305665
CCDC88C,1302.0,0.396031427,154.0,0.320898,0.044124447
CCL5,886.0,0.462166288,68.0,-1.340147,0.174460094
CCNA2,1206.0,0.409154498,373.0,0.944336,-0.74095083
CCNB2,168.0,0.374401461,184.0,0.596777,0.207389648
CCNDBP1,2336.0,0.44393643,231.0,-0.949725,0.07575561
CCS,4244.0,0.460896681,43.0,-0.052551,-0.239672378
CCT3,238.0,0.457984718,231.0,0.294588,-0.127766849
CCT4,1361.0,0.393363555,164.0,0.026198,-0.039241143
CD14,128.0,0.416321757,392.0,-0.689042,0.250788765
CD209,3046.0,0.440000747,67.0,-0.659504,0.172937258
CD36,2894.0,0.410517795,414.0,0.675995,0.850862687
CD44,3115.0,0.39995987,434.0,-1.382264,-0.206288874
CD63,923.0,0.512738356,403.0,0.240552,0.146508803
CD74,635.0,0.427357309,187.0,-0.473037,0.003013768
CDC25C,437.0,0.364786128,387.0,0.228774,-0.255053061
CDC26,271.0,0.395637029,359.0,-0.17602,0.093335973
CDC34,560.0,0.46431386,199.0,0.354991,0.352906309
CDC42EP3,3941.0,0.420378821,1009.0,-1.204053,0.030904056
CDCA8,1353.0,0.384295288,290.0,0.923011,-0.235162819
CDIPT,1864.0,0.442654716,541.0,-0.472938,0.454988491
CDK1,2313.0,0.398329505,154.0,0.489117,-0.117588952
CDK19,4557.0,0.421511824,180.0,-0.328305,0.133969951
CDK2AP1,766.0,0.439144625,522.0,-0.38252,-0.37804109
CDK5RAP2,367.0,0.371069462,192.0,-0.128515,-0.064787735
CDK5RAP3,284.0,0.469750898,1791.0,-0.889155,0.263083318
CDKAL1,1365.0,0.417875209,167.0,0.27808,0.163233497
CDKN2AIPNL,3639.0,0.409801696,53.0,-0.374416,0.374693043
CDKN2C,2247.0,0.381912025,1216.0,-0.152592,-0.109124695
CENPH,1478.0,0.418392258,87.0,-1.139472,-0.273946678
CENPV,301.0,0.385948267,62.0,0.349851,0.16865179
CETN2,868.0,0.433727498,47.0,0.350258,0.064785561
CFL1,677.0,0.502791,234.0,0.424151,-0.148333873
CHCHD4,3528.0,0.445497334,326.0,-0.333384,0.046983464
CHMP4A,296.0,0.447100154,262.0,0.533455,0.182986963
CHMP5,1241.0,0.442987983,200.0,0.398204,-0.047613253
CHMP6,980.0,0.489861105,78.0,0.186673,0.210462083
CHTF8,2425.0,0.424551152,142.0,-0.182197,-0.27578576
CIAPIN1,1024.0,0.451663323,242.0,0.542402,-0.001291041
CISD2,5376.0,0.433298698,107.0,0.659063,0.370988948
CKAP4,2872.0,0.386259817,84.0,0.463677,0.650184674
CKS2,300.0,0.317949998,98.0,0.301448,0.096758526
CLCC1,5185.0,0.369704467,150.0,0.078537,0.510805635
CLCN7,1698.0,0.459147749,110.0,0.76791,0.644769689
CLIC1,290.0,0.4571302,573.0,0.441601,0.000721484
CLK3,1233.0,0.4268607,461.0,-0.542757,-0.019900235
CLPTM1,458.0,0.383990827,351.0,0.101036,0.503697236
