,3prime,tAI,max_5_UTR_length,TCGA-A2-A0SW,TCGA-A2-A0SW.1
AAK1,17874.0,0.380718848,505.0,-0.124209,-0.044978317
AATF,207.0,0.367011205,251.0,-0.210338,0.022702485
ABCC1,1793.0,0.393368456,175.0,0.052808,-0.656965441
ABCF3,5726.0,0.387768135,869.0,0.06737,-0.0145745
ABHD12,654.0,0.374654709,279.0,0.930208,-0.147546748
ABHD6,1639.0,0.384216096,505.0,-0.372108,-0.135114027
ABR,2562.0,0.39474042,600.0,-0.582034,0.012189663
ABT1,2092.0,0.423473096,40.0,0.332353,0.112220892
ACADVL,176.0,0.46877374,457.0,-0.506499,0.156252195
ACBD6,155.0,0.433964845,621.0,0.153819,0.250672594
ACIN1,584.0,0.404933544,328.0,0.392145,-0.099155677
ACO1,4661.0,0.37721508,227.0,0.334542,0.560320304
ACOT11,1220.0,0.392289045,176.0,-1.416157,-0.477381191
ACOT9,4514.0,0.358892202,225.0,-0.14507,0.142534482
ACP2,814.0,0.411581374,548.0,-0.134014,-0.028860258
ACSF2,1484.0,0.405139059,501.0,0.219136,0.301729866
ACSL1,1530.0,0.417966714,990.0,-0.239219,0.418155396
ACSL5,1022.0,0.380976548,307.0,0.160745,-0.417010243
ACTB,613.0,0.469768794,192.0,0.710441,0.232655341
ACTL6A,452.0,0.409046191,387.0,0.070572,0.059892062
ACTR1A,3151.0,0.432463663,108.0,0.382156,0.519262644
ADA,312.0,0.444091501,440.0,0.402262,0.529683206
ADD1,1928.0,0.439806775,863.0,-0.059115,-0.007469115
ADPRH,2067.0,0.380088169,541.0,-0.21132,0.262649406
ADSSL1,320.0,0.393141878,776.0,-0.064081,-0.258685454
AGAP3,508.0,0.436856677,1584.0,0.617136,0.625511179
AHNAK,842.0,0.382138706,300.0,-0.876856,0.195710503
AHSA1,225.0,0.374296292,431.0,-0.595909,-0.335362542
AIF1,121.0,0.4069451,222.0,0.721044,0.882973025
AIFM2,1911.0,0.447982482,217.0,-0.630044,0.527756181
AK1,1528.0,0.389481519,153.0,0.406357,0.203784046
AK2,2893.0,0.384271636,345.0,0.046451,-0.264366094
AKR1C2,3804.0,0.449591167,413.0,0.762552,1.906426875
AKR7A2,10996.0,0.385600504,22.0,0.432951,-0.119094704
ALDH18A1,838.0,0.380333742,511.0,0.588366,0.30650319
ALDH3A2,2525.0,0.42484639,221.0,-0.56066,-0.188719759
ALDH6A1,4647.0,0.38708374,724.0,-0.991017,-0.33824388
ALG1,2498.0,0.432230555,181.0,0.659724,-0.248044755
ALG5,380.0,0.362014155,67.0,-0.075674,-0.054922366
ALG9,4217.0,0.365461171,1107.0,-0.031379,-0.195879289
ALOX5AP,976.0,0.392577632,248.0,0.323146,-0.819202653
AMBRA1,1041.0,0.36170155,362.0,-0.20901,-0.083576985
AMPD2,903.0,0.389224108,566.0,0.048593,-0.073240815
AMPD3,1695.0,0.423686063,472.0,0.093374,0.254798911
ANAPC13,1361.0,0.393644021,731.0,-0.133977,0.25081688
ANAPC5,235.0,0.390209877,197.0,0.420129,-0.114738981
ANKLE2,1737.0,0.418251419,90.0,-0.946725,-0.636500827
ANKRD16,135.0,0.465649334,543.0,-0.367496,0.184744209
ANKRD35,249.0,0.402949835,108.0,-1.15495,0.380742014
ANXA2,496.0,0.429738522,160.0,-0.205538,0.066435091
ANXA5,1441.0,0.418050335,165.0,-0.126333,0.353695536
AP1B1,1153.0,0.424070668,187.0,0.561592,0.135777361
AP1M1,914.0,0.463388599,173.0,0.469286,-0.192431488
APBA1,3797.0,0.387421148,276.0,-0.101596,-0.098221453
APIP,427.0,0.433104693,127.0,-0.07803,0.341082176
APOBEC3B,339.0,0.43450554,55.0,2.157286,-0.360725135
APOBEC3C,1979.0,0.381716897,103.0,1.041066,-0.040539858
APOBEC3G,322.0,0.410940579,404.0,1.687247,0.371079635
APOL2,1195.0,0.42932248,477.0,1.315616,0.612025118
ARF6,2971.0,0.462806813,621.0,0.332633,-0.630508406
ARFIP2,2430.0,0.403729309,291.0,0.278774,0.016929024
ARHGAP17,2624.0,0.371011524,117.0,0.32214,0.299343177
ARHGAP30,773.0,0.384451823,645.0,1.227036,0.297585798
ARHGEF10,1378.0,0.370244255,202.0,0.330895,0.028729026
ARID2,3145.0,0.362288628,128.0,0.26127,0.162736478
ARID3A,3881.0,0.411693449,290.0,0.747472,1.259906181
ARIH2,3112.0,0.397061561,878.0,-0.71943,-0.12112694
ARL8A,1065.0,0.409602486,171.0,0.25916,-0.021089916
ARRB1,6041.0,0.39512759,224.0,-0.030392,0.072982787
ASS1,1357.0,0.394201053,356.0,-2.760796,-0.345021438
ATPAF1,3039.0,0.439253133,510.0,0.178133,0.472201583
ATRIP,162.0,0.417082642,462.0,-0.625149,0.059841787
AXL,1863.0,0.417061167,376.0,-0.031455,0.138804834
B4GALT7,4483.0,0.433879574,93.0,0.789761,-0.056950897
BAG1,2764.0,0.431693656,501.0,-0.233855,0.094436999
BAG3,537.0,0.387438444,306.0,-0.083364,0.097718702
BASP1,971.0,0.520859146,259.0,0.076201,-0.293694418
BBS7,1531.0,0.408023089,184.0,0.0633,0.156316648
BCAT2,364.0,0.445598481,657.0,-0.016711,-0.288792095
BCKDHB,3082.0,0.419736544,88.0,-0.619598,-0.080458088
BCL2,5279.0,0.374049285,493.0,-1.46251,-0.069068769
BCL2L13,4109.0,0.411790332,769.0,-0.734202,-0.622947163
BID,4193.0,0.428633517,498.0,-0.204206,0.126042294
BLVRA,3376.0,0.414260839,177.0,1.413472,0.422752827
BOLA2,40.0,0.43059393,513.0,0.422072,0.02299818
BOLA3,383.0,0.406657227,38.0,0.691009,0.936359648
BRD2,787.0,0.377809737,2066.0,-0.113044,-0.175800592
BRD3,3285.0,0.401150236,188.0,0.216436,0.032371761
BSPRY,1091.0,0.380011644,48.0,1.075686,0.647891334
BST2,411.0,0.444557266,81.0,1.318173,-0.216367108
BUB3,1535.0,0.421992618,242.0,0.181363,0.016229022
C1QB,152.0,0.436596666,340.0,1.2608,0.027099271
C1QC,327.0,0.41150294,283.0,1.20129,-0.08507989
C2CD3,671.0,0.360398895,227.0,0.0629,-0.518598498
C3,5088.0,0.430632158,93.0,0.783702,0.339052659
CAP1,1134.0,0.406948565,416.0,0.353308,0.253017661
CAPN1,720.0,0.455130071,197.0,0.401999,-0.346635059
CAPRIN1,5632.0,0.374918508,189.0,-0.400982,-0.104185064
CAPZB,5180.0,0.446052528,622.0,0.669594,0.067935665
CARD16,437.0,0.41300235,27.0,1.660667,1.050204858
CARHSP1,4898.0,0.362100245,360.0,0.942142,0.659932874
CASC3,1778.0,0.370720542,295.0,-1.366759,-0.244750264
CASP1,750.0,0.424742838,44.0,0.952027,0.533918884
CASP8,1794.0,0.376118708,303.0,0.366436,-0.049973195
CAT,629.0,0.397270122,89.0,-0.521685,0.408935022
CBL,8368.0,0.375957197,142.0,-0.251834,0.010625296
CBLL1,3286.0,0.400851504,467.0,0.28329,-0.017251414
CBR3,54.0,0.445176236,228.0,1.752542,0.535481044
CBS,4385.0,0.477784031,626.0,-2.099391,-1.020518205
CBX5,10815.0,0.390902295,318.0,0.092459,0.068950009
CBX8,2504.0,0.36735217,118.0,0.663997,0.218195215
CCDC115,2169.0,0.385110507,452.0,0.011913,0.402444445
CCDC58,2462.0,0.421830022,75.0,0.084113,-0.190458047
CCDC88C,1302.0,0.396031427,154.0,-0.398975,-0.481258125
CCL5,886.0,0.462166288,68.0,2.231229,1.116986027
CCNA2,1206.0,0.409154498,373.0,0.800361,0.009130948
CCNDBP1,2336.0,0.44393643,231.0,-0.815851,0.033416035
CCS,4244.0,0.460896681,43.0,0.665449,0.604788025
CCT3,238.0,0.457984718,231.0,0.525148,0.076025383
CCT4,1361.0,0.393363555,164.0,-0.186154,0.119628733
CD14,128.0,0.416321757,392.0,0.429807,0.364283155
CD209,3046.0,0.440000747,67.0,0.752422,1.394591558
CD36,2894.0,0.410517795,414.0,1.412416,1.755055902
CD40,982.0,0.429065654,90.0,0.790291,0.312774836
CD44,3115.0,0.39995987,434.0,0.270519,0.173914042
CD63,923.0,0.512738356,403.0,0.563499,-0.105208853
CD74,635.0,0.427357309,187.0,0.79197,0.502298085
CDC25C,437.0,0.364786128,387.0,1.248554,0.493470384
CDC26,271.0,0.395637029,359.0,0.188415,-0.058234762
CDC34,560.0,0.46431386,199.0,0.917522,0.248939174
