,3prime,tAI,max_5_UTR_length,TCGA-AN-A0AM,TCGA-AN-A0AM.1
AAK1,17874.0,0.380718848,505.0,0.225302,0.061829453
AATF,207.0,0.367011205,251.0,0.081366,0.102877182
ABCC1,1793.0,0.393368456,175.0,0.696444,-0.026417055
ABCF3,5726.0,0.387768135,869.0,0.293767,-0.007472181
ABHD12,654.0,0.374654709,279.0,-0.11272,-0.272410857
ABHD6,1639.0,0.384216096,505.0,-0.652233,-0.377172761
ABR,2562.0,0.39474042,600.0,0.331304,-0.091190472
ABT1,2092.0,0.423473096,40.0,0.228722,0.040332963
ACADVL,176.0,0.46877374,457.0,0.243353,0.00595671
ACBD6,155.0,0.433964845,621.0,-0.205333,-0.168211865
ACIN1,584.0,0.404933544,328.0,-0.060426,0.049035648
ACO1,4661.0,0.37721508,227.0,0.249763,0.063724186
ACOT11,1220.0,0.392289045,176.0,3.419644,0.099072062
ACOT9,4514.0,0.358892202,225.0,0.899047,0.262493077
ACP2,814.0,0.411581374,548.0,-0.441887,-0.263863721
ACSF2,1484.0,0.405139059,501.0,-0.543018,-0.502244309
ACSL1,1530.0,0.417966714,990.0,0.80135,0.003582945
ACSL5,1022.0,0.380976548,307.0,3.721121,1.189696836
ACTB,613.0,0.469768794,192.0,0.390093,-0.113608387
ACTL6A,452.0,0.409046191,387.0,0.341139,-0.085066154
ACTR1A,3151.0,0.432463663,108.0,-0.117732,0.001843894
ADA,312.0,0.444091501,440.0,1.84066,0.148560358
ADAMDEC1,715.0,0.41564171,547.0,-0.156128,-0.358286025
ADD1,1928.0,0.439806775,863.0,-0.608348,0.10283562
ADPRH,2067.0,0.380088169,541.0,0.728947,0.215629158
ADSSL1,320.0,0.393141878,776.0,0.932444,0.090138231
AGAP3,508.0,0.436856677,1584.0,-0.255191,-0.005284652
AHNAK,842.0,0.382138706,300.0,-1.051438,0.372841119
AHSA1,225.0,0.374296292,431.0,1.197747,0.270666109
AIF1,121.0,0.4069451,222.0,-0.121073,0.257572189
AIFM2,1911.0,0.447982482,217.0,0.904926,-0.091051548
AK1,1528.0,0.389481519,153.0,0.457947,-0.349295686
AK2,2893.0,0.384271636,345.0,0.106819,-0.426280942
AKR1C2,3804.0,0.449591167,413.0,5.277579,0.646127067
AKR7A2,10996.0,0.385600504,22.0,0.433649,-0.037016489
ALDH18A1,838.0,0.380333742,511.0,0.266792,0.021235677
ALDH3A2,2525.0,0.42484639,221.0,-0.02562,-0.180533261
ALDH6A1,4647.0,0.38708374,724.0,-0.393852,-0.23103998
ALG1,2498.0,0.432230555,181.0,0.72574,0.392890792
ALG5,380.0,0.362014155,67.0,0.386489,0.276791648
ALG9,4217.0,0.365461171,1107.0,-0.217997,0.372915231
ALOX5AP,976.0,0.392577632,248.0,0.083183,-0.092820883
AMBRA1,1041.0,0.36170155,362.0,-0.28287,0.156459814
AMPD2,903.0,0.389224108,566.0,0.060245,0.087425616
AMPD3,1695.0,0.423686063,472.0,0.538188,0.216264164
ANAPC13,1361.0,0.393644021,731.0,0.344335,-0.427913703
ANAPC5,235.0,0.390209877,197.0,-0.104058,-0.117469005
ANKLE2,1737.0,0.418251419,90.0,-0.091411,0.165360199
ANKRD16,135.0,0.465649334,543.0,0.389417,0.065075995
ANKRD35,249.0,0.402949835,108.0,0.32576,0.131964615
ANXA2,496.0,0.429738522,160.0,0.414967,0.168353976
ANXA5,1441.0,0.418050335,165.0,0.192832,0.020987955
AP1B1,1153.0,0.424070668,187.0,0.830172,0.114011349
AP1M1,914.0,0.463388599,173.0,0.092419,-0.071183604
APBA1,3797.0,0.387421148,276.0,-2.151843,-0.293715569
APIP,427.0,0.433104693,127.0,0.08467,-0.202558615
