,3prime,tAI,max_5_UTR_length,TCGA-A8-A09G,TCGA-A8-A09G.1
AAK1,17874.0,0.380718848,505.0,0.549537,0.242492467
AATF,207.0,0.367011205,251.0,-0.003604,0.205808502
ABCC1,1793.0,0.393368456,175.0,-0.117372,-0.214545905
ABCF3,5726.0,0.387768135,869.0,0.148379,-0.294585232
ABHD12,654.0,0.374654709,279.0,-0.438416,-0.624777924
ABHD6,1639.0,0.384216096,505.0,-0.13634,0.640427521
ABR,2562.0,0.39474042,600.0,-0.293655,-0.181042643
ABT1,2092.0,0.423473096,40.0,-0.279824,0.066034628
ACADVL,176.0,0.46877374,457.0,-0.337199,0.207799564
ACBD6,155.0,0.433964845,621.0,-0.607607,-0.427531422
ACIN1,584.0,0.404933544,328.0,0.145547,-0.467559207
ACO1,4661.0,0.37721508,227.0,-1.188605,-0.053707612
ACOT11,1220.0,0.392289045,176.0,-0.981811,-0.993217522
ACOT9,4514.0,0.358892202,225.0,0.082553,0.043025678
ACP2,814.0,0.411581374,548.0,0.288473,0.676712976
ACSF2,1484.0,0.405139059,501.0,-0.464575,0.120187248
ACSL1,1530.0,0.417966714,990.0,1.192538,0.49489684
ACSL5,1022.0,0.380976548,307.0,0.669744,0.606019021
ACTB,613.0,0.469768794,192.0,-0.264328,0.2346015
ACTL6A,452.0,0.409046191,387.0,-0.128388,0.297383584
ACTR1A,3151.0,0.432463663,108.0,0.497113,0.672906942
ADA,312.0,0.444091501,440.0,-0.634283,0.518399573
ADAMDEC1,715.0,0.41564171,547.0,1.670104,-0.002004329
ADD1,1928.0,0.439806775,863.0,-0.597782,-0.253561232
ADPRH,2067.0,0.380088169,541.0,-0.584725,-0.081273568
ADSSL1,320.0,0.393141878,776.0,0.862205,0.633219171
AGAP3,508.0,0.436856677,1584.0,-0.383615,-0.119954996
AHNAK,842.0,0.382138706,300.0,0.397376,0.15751833
AHSA1,225.0,0.374296292,431.0,0.030218,-0.00390902
AIF1,121.0,0.4069451,222.0,-0.027987,0.500970385
AIFM2,1911.0,0.447982482,217.0,-1.183663,0.421484093
AK1,1528.0,0.389481519,153.0,-0.577332,-0.506051285
AK2,2893.0,0.384271636,345.0,0.094039,0.127539096
AKR1C2,3804.0,0.449591167,413.0,-1.649894,-0.579493112
AKR7A2,10996.0,0.385600504,22.0,-1.443307,-0.740653351
ALDH18A1,838.0,0.380333742,511.0,1.87006,1.789930298
ALDH3A2,2525.0,0.42484639,221.0,-0.720991,-0.474483196
ALDH6A1,4647.0,0.38708374,724.0,1.315581,0.457959272
ALG1,2498.0,0.432230555,181.0,0.28219,-0.924088728
ALG5,380.0,0.362014155,67.0,-0.423555,0.68371228
ALG9,4217.0,0.365461171,1107.0,0.646618,0.098402246
ALOX5AP,976.0,0.392577632,248.0,-0.696267,-0.755482752
AMBRA1,1041.0,0.36170155,362.0,-0.038905,0.014108911
AMPD2,903.0,0.389224108,566.0,-0.733442,-0.32272381
AMPD3,1695.0,0.423686063,472.0,-0.117234,-0.238235859
ANAPC5,235.0,0.390209877,197.0,0.238435,0.208419237
ANKLE2,1737.0,0.418251419,90.0,-0.109496,-0.347143615
ANKRD16,135.0,0.465649334,543.0,-0.512074,0.220099602
ANKRD35,249.0,0.402949835,108.0,-1.641149,-0.268430879
ANXA2,496.0,0.429738522,160.0,0.220216,-0.075884541
ANXA5,1441.0,0.418050335,165.0,-0.079586,-0.093422835
AP1B1,1153.0,0.424070668,187.0,0.811969,0.376653598
AP1M1,914.0,0.463388599,173.0,-0.530614,-0.071916898
APBA1,3797.0,0.387421148,276.0,0.796361,0.314446012
APIP,427.0,0.433104693,127.0,-0.648982,-0.906598283
APOBEC3C,1979.0,0.381716897,103.0,-0.002522,0.058717503
APOBEC3G,322.0,0.410940579,404.0,0.191209,-0.209192338
APOL2,1195.0,0.42932248,477.0,1.447809,0.019042485
ARF6,2971.0,0.462806813,621.0,0.66224,0.314604591
ARFIP2,2430.0,0.403729309,291.0,0.799106,0.846049489
ARHGAP17,2624.0,0.371011524,117.0,0.649327,0.432221545
ARHGAP30,773.0,0.384451823,645.0,0.854348,0.005969231
ARHGEF10,1378.0,0.370244255,202.0,-0.529136,-0.086885426
ARID2,3145.0,0.362288628,128.0,0.441455,0.375331279
ARID3A,3881.0,0.411693449,290.0,-0.019515,-0.302096143
ARIH2,3112.0,0.397061561,878.0,0.111597,0.263337343
ARL8A,1065.0,0.409602486,171.0,-0.168543,0.586645146
ARRB1,6041.0,0.39512759,224.0,0.032914,-0.104331035
ASF1B,950.0,0.395794233,172.0,0.63584,0.393376053
ASS1,1357.0,0.394201053,356.0,0.693568,0.540665685
ATPAF1,3039.0,0.439253133,510.0,0.446463,1.10045244
