,3prime,tAI,max_5_UTR_length,TCGA-A2-A0EY,TCGA-A2-A0EY.1
AAK1,17874.0,0.380718848,505.0,0.164902,0.133042211
AATF,207.0,0.367011205,251.0,-0.381649,-0.375737699
ABCC1,1793.0,0.393368456,175.0,0.556203,0.24779997
ABCF3,5726.0,0.387768135,869.0,0.330653,0.141030655
ABHD12,654.0,0.374654709,279.0,-0.021135,-0.033883398
ABHD6,1639.0,0.384216096,505.0,0.309429,0.304950775
ABR,2562.0,0.39474042,600.0,-0.012894,-0.102513151
ABT1,2092.0,0.423473096,40.0,0.112167,-0.214233718
ACADVL,176.0,0.46877374,457.0,-0.293044,-0.04391457
ACBD6,155.0,0.433964845,621.0,0.488123,0.367803573
ACIN1,584.0,0.404933544,328.0,0.337576,-0.004782736
ACO1,4661.0,0.37721508,227.0,-0.147481,0.045720029
ACOT11,1220.0,0.392289045,176.0,-0.554611,-0.086318614
ACOT9,4514.0,0.358892202,225.0,0.074402,-0.115630439
ACP2,814.0,0.411581374,548.0,-1.141793,-0.326925864
ACSF2,1484.0,0.405139059,501.0,-0.272129,-0.352302243
ACSL1,1530.0,0.417966714,990.0,0.546374,0.327825919
ACSL5,1022.0,0.380976548,307.0,0.477151,0.31096934
ACTB,613.0,0.469768794,192.0,0.410748,-0.217246759
ACTL6A,452.0,0.409046191,387.0,0.895586,0.057640775
ACTR1A,3151.0,0.432463663,108.0,0.35125,0.066756665
ADA,312.0,0.444091501,440.0,-0.356045,-0.060710462
ADAMDEC1,715.0,0.41564171,547.0,1.74764,-0.584530406
ADD1,1928.0,0.439806775,863.0,-0.17978,-0.218147616
ADPRH,2067.0,0.380088169,541.0,0.265958,-0.002292464
ADSSL1,320.0,0.393141878,776.0,-0.266825,-0.015007301
AGAP3,508.0,0.436856677,1584.0,-0.261372,-0.021097619
AHNAK,842.0,0.382138706,300.0,-0.137298,0.144420507
AHSA1,225.0,0.374296292,431.0,-0.616942,-0.293153019
AIF1,121.0,0.4069451,222.0,0.252294,0.445971205
AIFM2,1911.0,0.447982482,217.0,0.641792,0.591429747
AK1,1528.0,0.389481519,153.0,0.734249,0.183632702
AK2,2893.0,0.384271636,345.0,-0.473019,-0.502179955
AKR1C2,3804.0,0.449591167,413.0,-0.590959,-0.219645416
AKR7A2,10996.0,0.385600504,22.0,-0.719892,-0.570967387
ALDH18A1,838.0,0.380333742,511.0,0.763071,0.123573735
ALDH3A2,2525.0,0.42484639,221.0,-1.265935,-0.276257959
ALDH6A1,4647.0,0.38708374,724.0,-0.205606,-0.346910089
ALG1,2498.0,0.432230555,181.0,0.149989,0.332639902
ALG5,380.0,0.362014155,67.0,0.586118,0.613099436
ALOX5AP,976.0,0.392577632,248.0,0.328937,0.351882962
AMBRA1,1041.0,0.36170155,362.0,-0.17403,0.125209558
AMPD2,903.0,0.389224108,566.0,-0.537926,0.007592889
AMPD3,1695.0,0.423686063,472.0,0.217553,0.104894723
ANAPC13,1361.0,0.393644021,731.0,0.073496,-0.409296541
ANAPC5,235.0,0.390209877,197.0,-0.239311,-0.041810106
ANKLE2,1737.0,0.418251419,90.0,-0.144374,-0.002008384
ANKRD16,135.0,0.465649334,543.0,0.170346,0.195307278
ANXA2,496.0,0.429738522,160.0,-0.463465,-0.255024336
ANXA5,1441.0,0.418050335,165.0,-0.61944,-0.17071419
AP1B1,1153.0,0.424070668,187.0,0.776515,0.181481291
AP1M1,914.0,0.463388599,173.0,0.351997,0.086013617
APBA1,3797.0,0.387421148,276.0,-1.18613,0.058219995
APIP,427.0,0.433104693,127.0,-0.33769,0.323419165
APOBEC3B,339.0,0.43450554,55.0,0.560732,-0.521978316
APOBEC3C,1979.0,0.381716897,103.0,-0.373999,-0.064788394
APOBEC3G,322.0,0.410940579,404.0,-0.523486,0.09140722
APOL2,1195.0,0.42932248,477.0,0.167344,0.034401606
ARF6,2971.0,0.462806813,621.0,1.662693,0.668554242
ARFIP2,2430.0,0.403729309,291.0,-0.831593,-0.438242715
ARHGAP17,2624.0,0.371011524,117.0,0.603746,0.221360601
ARHGAP30,773.0,0.384451823,645.0,1.067272,0.073652776
ARHGEF10,1378.0,0.370244255,202.0,-0.747333,-0.158491686
ARID2,3145.0,0.362288628,128.0,-0.160541,-0.187332335
ARID3A,3881.0,0.411693449,290.0,0.446332,0.428940155
ARIH2,3112.0,0.397061561,878.0,0.113207,0.023707256
ARL8A,1065.0,0.409602486,171.0,0.203054,0.309841574
ARRB1,6041.0,0.39512759,224.0,1.365735,-0.076838239
ASF1B,950.0,0.395794233,172.0,0.419426,-0.279338444
ASS1,1357.0,0.394201053,356.0,1.124706,0.963930195
ATPAF1,3039.0,0.439253133,510.0,-0.70114,-0.275615011
ATRIP,162.0,0.417082642,462.0,-0.070448,0.069475497
AXL,1863.0,0.417061167,376.0,-0.646203,-0.028003128
B4GALT7,4483.0,0.433879574,93.0,-0.089954,0.284363828
BAG1,2764.0,0.431693656,501.0,0.34846,-0.003452199
BAG3,537.0,0.387438444,306.0,0.396853,0.139344281
BASP1,971.0,0.520859146,259.0,-0.570778,0.246798953
BBS7,1531.0,0.408023089,184.0,-0.455355,-0.050621453
BCAT2,364.0,0.445598481,657.0,0.012918,-0.527735532
BCKDHB,3082.0,0.419736544,88.0,0.480954,-0.098564815
BCL2,5279.0,0.374049285,493.0,-2.037257,-1.61686212
BCL2L13,4109.0,0.411790332,769.0,0.314074,-0.106657912
BID,4193.0,0.428633517,498.0,0.28888,-0.11585644
BLVRA,3376.0,0.414260839,177.0,0.062423,-0.248728654
BOLA2,40.0,0.43059393,513.0,0.490423,0.034024142
BOLA3,383.0,0.406657227,38.0,0.299163,-0.343338726
BRD2,787.0,0.377809737,2066.0,-0.189291,-0.194224997
BRD3,3285.0,0.401150236,188.0,1.071692,0.360895151
BSPRY,1091.0,0.380011644,48.0,0.602556,-0.196458064
BST2,411.0,0.444557266,81.0,-1.837692,-0.666664814
BUB3,1535.0,0.421992618,242.0,0.326979,-0.116805428
C1QB,152.0,0.436596666,340.0,-0.098995,0.253997146
C1QC,327.0,0.41150294,283.0,-0.028145,0.498727698
C2CD3,671.0,0.360398895,227.0,0.717513,0.256289361
C3,5088.0,0.430632158,93.0,0.573484,0.382808248
CAP1,1134.0,0.406948565,416.0,-0.237404,-0.034712488
CAPN1,720.0,0.455130071,197.0,0.005198,-0.075160586
CAPRIN1,5632.0,0.374918508,189.0,0.104585,0.190910365
CAPZB,5180.0,0.446052528,622.0,-0.225238,-0.046566626
CARD16,437.0,0.41300235,27.0,-0.291885,0.077714167
CARHSP1,4898.0,0.362100245,360.0,0.826531,0.375876409
CASC3,1778.0,0.370720542,295.0,-0.226152,0.084429437
CASP1,750.0,0.424742838,44.0,-0.952806,0.06277122
CASP8,1794.0,0.376118708,303.0,0.4339,0.222277435
CAT,629.0,0.397270122,89.0,-0.303551,0.076075762
CBL,8368.0,0.375957197,142.0,0.207091,0.162583831
CBLL1,3286.0,0.400851504,467.0,0.415589,0.150060615
CBR3,54.0,0.445176236,228.0,-0.829591,-0.522144376
CBS,4385.0,0.477784031,626.0,-4.247094,-0.626153171
CBX5,10815.0,0.390902295,318.0,-0.016926,-0.248323484
CBX8,2504.0,0.36735217,118.0,1.289794,0.107859764
CCDC115,2169.0,0.385110507,452.0,-0.184575,0.260590422
CCDC58,2462.0,0.421830022,75.0,0.069687,-0.140537331
CCDC88C,1302.0,0.396031427,154.0,-0.312363,-0.322555344
CCL5,886.0,0.462166288,68.0,0.604009,0.131046532
CCNA2,1206.0,0.409154498,373.0,-0.083331,-0.156121455
CCNB2,168.0,0.374401461,184.0,-0.369028,-0.861855334
CCNDBP1,2336.0,0.44393643,231.0,-1.005086,-0.541425885
CCS,4244.0,0.460896681,43.0,0.511484,0.235697743
CCT3,238.0,0.457984718,231.0,0.2473,0.022313119
CCT4,1361.0,0.393363555,164.0,0.565344,0.137634216
CD14,128.0,0.416321757,392.0,0.000484,0.206028042
CD209,3046.0,0.440000747,67.0,0.566491,0.908431523
CD33,331.0,0.428315036,40.0,0.514131,-0.378233651
CD36,2894.0,0.410517795,414.0,4.645837,1.635915888
CD40,982.0,0.429065654,90.0,-0.345254,0.377157868
CD44,3115.0,0.39995987,434.0,-1.94302,-0.379795719
CD63,923.0,0.512738356,403.0,-0.403693,0.180561845
CD74,635.0,0.427357309,187.0,0.285139,0.289194635
CDC25C,437.0,0.364786128,387.0,-1.037006,-0.260216766
CDC26,271.0,0.395637029,359.0,0.055079,0.0342309
CDC34,560.0,0.46431386,199.0,0.443274,0.141021757
CDCA3,816.0,0.351209268,820.0,0.729556,-0.161652286
CDCA8,1353.0,0.384295288,290.0,0.087229,-0.160385389
CDIPT,1864.0,0.442654716,541.0,-0.058383,0.42061416
CDK1,2313.0,0.398329505,154.0,0.489704,-0.207559612
CDK19,4557.0,0.421511824,180.0,0.187847,0.007603106
CDK5RAP2,367.0,0.371069462,192.0,-0.317511,-0.011819788
CDK5RAP3,284.0,0.469750898,1791.0,-0.139683,0.086652193
