,3prime,tAI,max_5_UTR_length,TCGA-AR-A0U4,TCGA-AR-A0U4.1
AAK1,17874.0,0.380718848,505.0,-0.424758,-0.199710881
AATF,207.0,0.367011205,251.0,-0.515069,-0.199884469
ABCC1,1793.0,0.393368456,175.0,1.375458,0.425430175
ABCF3,5726.0,0.387768135,869.0,-0.021259,0.082862926
ABHD12,654.0,0.374654709,279.0,-0.549486,-0.872705553
ABR,2562.0,0.39474042,600.0,-0.081014,0.102873314
ABT1,2092.0,0.423473096,40.0,0.21699,0.671030719
ACADVL,176.0,0.46877374,457.0,-0.723709,-0.200365898
ACBD6,155.0,0.433964845,621.0,-0.534015,-0.071883534
ACIN1,584.0,0.404933544,328.0,-0.34306,-0.102170624
ACO1,4661.0,0.37721508,227.0,0.935533,0.231375052
ACOT11,1220.0,0.392289045,176.0,1.748812,0.541355959
ACOT9,4514.0,0.358892202,225.0,0.37786,0.078613433
ACP2,814.0,0.411581374,548.0,0.496052,0.116151938
ACSF2,1484.0,0.405139059,501.0,-1.854751,-0.644970801
ACSL1,1530.0,0.417966714,990.0,1.301295,0.212715109
ACSL5,1022.0,0.380976548,307.0,2.017036,1.055789909
ACTB,613.0,0.469768794,192.0,0.302541,-0.019516684
ACTL6A,452.0,0.409046191,387.0,0.596428,0.049562942
ACTR1A,3151.0,0.432463663,108.0,0.217118,-0.006319869
ADA,312.0,0.444091501,440.0,0.573391,-0.132544515
ADAMDEC1,715.0,0.41564171,547.0,4.699875,1.337041857
ADD1,1928.0,0.439806775,863.0,-0.941918,0.028533305
ADPRH,2067.0,0.380088169,541.0,0.074571,-0.260444196
ADSSL1,320.0,0.393141878,776.0,-2.960306,-0.806674873
AGAP3,508.0,0.436856677,1584.0,0.253247,0.376139968
AHNAK,842.0,0.382138706,300.0,-1.591704,-0.709055353
AHSA1,225.0,0.374296292,431.0,0.048033,0.027963127
AIF1,121.0,0.4069451,222.0,1.869032,0.617767896
AIFM2,1911.0,0.447982482,217.0,-0.476476,0.372880607
AK1,1528.0,0.389481519,153.0,-1.410881,-0.760825972
AK2,2893.0,0.384271636,345.0,1.894586,0.880048367
AKR1C2,3804.0,0.449591167,413.0,1.148825,0.069979174
AKR7A2,10996.0,0.385600504,22.0,-0.614833,-0.320388535
ALDH18A1,838.0,0.380333742,511.0,0.930015,0.450345103
ALDH3A2,2525.0,0.42484639,221.0,-1.243029,-0.505530176
ALDH6A1,4647.0,0.38708374,724.0,-0.89823,-0.339272828
ALG1,2498.0,0.432230555,181.0,0.168992,0.3852401
ALG5,380.0,0.362014155,67.0,-0.211898,-0.179223149
ALOX5AP,976.0,0.392577632,248.0,2.839278,0.358665077
AMBRA1,1041.0,0.36170155,362.0,-0.829276,-0.339833305
AMPD2,903.0,0.389224108,566.0,0.828007,0.461541496
AMPD3,1695.0,0.423686063,472.0,1.739293,1.10950213
ANAPC5,235.0,0.390209877,197.0,0.526869,0.137479852
ANKLE2,1737.0,0.418251419,90.0,-0.230607,0.088716193
ANKRD16,135.0,0.465649334,543.0,1.222895,0.65995783
