,3prime,tAI,max_5_UTR_length,TCGA-AO-A12D,TCGA-AO-A12D.1
AAK1,17874.0,0.380718848,505.0,0.401442,0.101874091
AATF,207.0,0.367011205,251.0,-0.639826,-0.228803738
ABCC1,1793.0,0.393368456,175.0,-0.377826,-0.092616148
ABCF3,5726.0,0.387768135,869.0,-0.358056,0.025032502
ABHD12,654.0,0.374654709,279.0,-0.610362,-0.227653783
ABHD6,1639.0,0.384216096,505.0,1.082627,0.303482648
ABR,2562.0,0.39474042,600.0,-0.282832,-0.186566979
ABT1,2092.0,0.423473096,40.0,0.003762,0.187195996
ACADVL,176.0,0.46877374,457.0,0.069647,-0.048743554
ACBD6,155.0,0.433964845,621.0,-0.283364,-0.085285176
ACIN1,584.0,0.404933544,328.0,-0.167553,0.085378634
ACO1,4661.0,0.37721508,227.0,-0.085813,-0.13721405
ACOT11,1220.0,0.392289045,176.0,-0.210658,-0.331362658
ACOT9,4514.0,0.358892202,225.0,0.567479,0.364672579
ACP2,814.0,0.411581374,548.0,0.024542,-0.135088558
ACSF2,1484.0,0.405139059,501.0,-0.94598,-0.267502575
ACSL1,1530.0,0.417966714,990.0,1.305015,0.497185975
ACSL5,1022.0,0.380976548,307.0,1.72565,1.245000615
ACTB,613.0,0.469768794,192.0,0.664193,0.015280157
ACTL6A,452.0,0.409046191,387.0,0.278871,0.021683248
ACTR1A,3151.0,0.432463663,108.0,-0.25997,-0.231779808
ADA,312.0,0.444091501,440.0,1.060339,0.359152548
ADAMDEC1,715.0,0.41564171,547.0,3.024657,-0.291017128
ADD1,1928.0,0.439806775,863.0,-0.640324,-0.022562708
ADPRH,2067.0,0.380088169,541.0,0.085834,0.066481097
ADSSL1,320.0,0.393141878,776.0,-0.475894,-0.186089377
AGAP3,508.0,0.436856677,1584.0,-0.882803,-0.01238285
AHNAK,842.0,0.382138706,300.0,0.071798,0.153643395
AHSA1,225.0,0.374296292,431.0,0.265095,0.07615631
AIF1,121.0,0.4069451,222.0,0.710789,0.007842141
AIFM2,1911.0,0.447982482,217.0,-1.034856,-0.19954799
AK1,1528.0,0.389481519,153.0,-0.502662,-0.345599604
AK2,2893.0,0.384271636,345.0,0.218977,0.205633697
AKR1C2,3804.0,0.449591167,413.0,-4.320948,-1.77451647
AKR7A2,10996.0,0.385600504,22.0,-0.810478,-0.358163545
ALDH18A1,838.0,0.380333742,511.0,0.881511,0.881784567
ALDH3A2,2525.0,0.42484639,221.0,0.17705,0.446102213
ALDH6A1,4647.0,0.38708374,724.0,-0.01403,-0.346924973
ALG1,2498.0,0.432230555,181.0,-0.751446,0.33962101
ALG5,380.0,0.362014155,67.0,0.236843,0.810353865
ALG9,4217.0,0.365461171,1107.0,-0.185752,0.790409404
ALOX5AP,976.0,0.392577632,248.0,0.28569,-0.120461477
AMBRA1,1041.0,0.36170155,362.0,-0.157041,-0.205557668
AMPD2,903.0,0.389224108,566.0,0.512457,0.288462116
AMPD3,1695.0,0.423686063,472.0,0.186908,0.075933339
ANAPC13,1361.0,0.393644021,731.0,-0.120429,0.103002632
ANAPC5,235.0,0.390209877,197.0,-0.102188,-0.018610587
ANKLE2,1737.0,0.418251419,90.0,-0.551803,-0.049034777
ANKRD16,135.0,0.465649334,543.0,-0.791304,-0.237765256
ANKRD35,249.0,0.402949835,108.0,-0.864754,-0.138393926
ANXA2,496.0,0.429738522,160.0,-0.09131,-0.107400238
ANXA5,1441.0,0.418050335,165.0,0.081259,-0.075974683
AP1B1,1153.0,0.424070668,187.0,0.605182,0.137701977
AP1M1,914.0,0.463388599,173.0,0.182607,0.163867855
APBA1,3797.0,0.387421148,276.0,0.290909,0.148416183
APIP,427.0,0.433104693,127.0,-0.374328,-0.412446558
APOBEC3B,339.0,0.43450554,55.0,1.286834,-0.022913001
APOBEC3C,1979.0,0.381716897,103.0,0.861234,0.170743025
APOBEC3G,322.0,0.410940579,404.0,0.934872,-0.035104464
APOL2,1195.0,0.42932248,477.0,1.282494,0.944602701
ARF6,2971.0,0.462806813,621.0,0.335923,-0.130369393
ARFIP2,2430.0,0.403729309,291.0,-0.540979,-0.239066194
ARHGAP17,2624.0,0.371011524,117.0,-0.125716,-0.049325036
ARHGAP30,773.0,0.384451823,645.0,1.214543,0.119610999
ARHGEF10,1378.0,0.370244255,202.0,-0.244841,-0.060839986
ARID2,3145.0,0.362288628,128.0,-0.174886,-0.152463615
ARID3A,3881.0,0.411693449,290.0,-0.00928,-0.159264978
ARIH2,3112.0,0.397061561,878.0,0.111537,0.246413435
ARL8A,1065.0,0.409602486,171.0,0.701598,0.304635135
ARRB1,6041.0,0.39512759,224.0,-0.544755,-0.568946456
ASF1B,950.0,0.395794233,172.0,-0.175626,-0.261944653
ASS1,1357.0,0.394201053,356.0,2.048493,1.186495767
ATPAF1,3039.0,0.439253133,510.0,-0.342888,-0.156507163
ATRIP,162.0,0.417082642,462.0,-0.541101,0.28568932
AXL,1863.0,0.417061167,376.0,0.68464,0.290306307
B4GALT7,4483.0,0.433879574,93.0,-0.284579,0.117505766
BAG1,2764.0,0.431693656,501.0,-0.427159,-0.345726071
BAG3,537.0,0.387438444,306.0,-0.32483,0.046813924
BASP1,971.0,0.520859146,259.0,-0.062234,0.365570499
BBS7,1531.0,0.408023089,184.0,0.080631,-0.277150935
BCAT2,364.0,0.445598481,657.0,-1.107602,-0.529179968
BCKDHB,3082.0,0.419736544,88.0,0.298966,0.121995923
BCL2,5279.0,0.374049285,493.0,-2.054491,-0.626718358
BCL2L13,4109.0,0.411790332,769.0,0.048562,0.071262789
BID,4193.0,0.428633517,498.0,0.251546,0.105307457
BLVRA,3376.0,0.414260839,177.0,0.017821,-0.123155042
BOLA2,40.0,0.43059393,513.0,-0.038652,-0.018351522
BOLA3,383.0,0.406657227,38.0,-0.531687,-0.312738914
BRD2,787.0,0.377809737,2066.0,-0.102404,0.05548596
BRD3,3285.0,0.401150236,188.0,-0.097208,-0.0737431
BSPRY,1091.0,0.380011644,48.0,1.22157,-0.083472032
BST2,411.0,0.444557266,81.0,1.801115,0.954868667
BUB3,1535.0,0.421992618,242.0,-0.840261,-0.165244823
C1QB,152.0,0.436596666,340.0,1.524825,0.05929127
C1QC,327.0,0.41150294,283.0,1.375891,0.127330694
C2CD3,671.0,0.360398895,227.0,0.273721,0.068908296
C3,5088.0,0.430632158,93.0,0.852165,0.058168591
CAP1,1134.0,0.406948565,416.0,0.531553,0.158775962
CAPN1,720.0,0.455130071,197.0,-0.328157,-0.27489456
CAPRIN1,5632.0,0.374918508,189.0,-0.201987,0.023248275
CAPZB,5180.0,0.446052528,622.0,0.164035,0.151000619
CARD16,437.0,0.41300235,27.0,1.673748,0.300119724
CARHSP1,4898.0,0.362100245,360.0,-0.010864,0.030217117
CASC3,1778.0,0.370720542,295.0,2.858294,0.613716044
CASP1,750.0,0.424742838,44.0,0.972952,0.235787982
CASP8,1794.0,0.376118708,303.0,0.163788,0.019149441
CAT,629.0,0.397270122,89.0,-0.123354,-0.470507122
CBL,8368.0,0.375957197,142.0,0.111162,0.046891224
CBLL1,3286.0,0.400851504,467.0,-0.084397,0.079523047
CBR3,54.0,0.445176236,228.0,2.699941,1.236586075
CBS,4385.0,0.477784031,626.0,-1.158112,-1.301834385
CBX5,10815.0,0.390902295,318.0,0.032672,-0.159045543
CBX8,2504.0,0.36735217,118.0,-0.523625,-0.195751325
CCDC115,2169.0,0.385110507,452.0,-0.653337,-0.057425599
CCDC125,2554.0,0.359965106,322.0,0.587436,0.475035524
CCDC58,2462.0,0.421830022,75.0,-0.289137,-0.078583394
CCDC88C,1302.0,0.396031427,154.0,0.071311,-0.127313166
CCL5,886.0,0.462166288,68.0,1.527266,-0.019075049
CCNA2,1206.0,0.409154498,373.0,0.019287,-0.468867776
CCNB2,168.0,0.374401461,184.0,-0.25547,-0.127031485
CCNDBP1,2336.0,0.44393643,231.0,-0.292871,-0.114889149
CCS,4244.0,0.460896681,43.0,-0.278771,-0.20561147
CCT3,238.0,0.457984718,231.0,0.078675,0.018217429
CCT4,1361.0,0.393363555,164.0,0.229923,0.038860312
CD14,128.0,0.416321757,392.0,0.0207,-0.413177896
CD209,3046.0,0.440000747,67.0,1.295056,-0.674844945
CD33,331.0,0.428315036,40.0,0.743019,0.559543894
CD36,2894.0,0.410517795,414.0,-1.741405,-0.920861465
CD40,982.0,0.429065654,90.0,0.847452,0.527861706
CD44,3115.0,0.39995987,434.0,-0.388689,-0.161188126
CD63,923.0,0.512738356,403.0,-0.001993,-0.711283029
CD74,635.0,0.427357309,187.0,1.139,1.008333533
CDC25C,437.0,0.364786128,387.0,0.205696,-0.335494438
CDC26,271.0,0.395637029,359.0,-0.257311,0.061882367
