,3prime,tAI,max_5_UTR_length,TCGA-A2-A0EQ,TCGA-A2-A0EQ.1
AAK1,17874.0,0.380718848,505.0,-0.249741,0.059402194
AATF,207.0,0.367011205,251.0,0.091002,0.081181726
ABCC1,1793.0,0.393368456,175.0,0.659868,0.32572584
ABCF3,5726.0,0.387768135,869.0,-0.270448,-0.068701544
ABHD12,654.0,0.374654709,279.0,0.455896,0.105220488
ABHD6,1639.0,0.384216096,505.0,-0.548447,0.22583126
ABR,2562.0,0.39474042,600.0,-0.07091,-0.069714673
ABT1,2092.0,0.423473096,40.0,0.221948,-0.042375355
ACADVL,176.0,0.46877374,457.0,0.987771,0.535067963
ACBD6,155.0,0.433964845,621.0,-0.117435,-0.111205135
ACIN1,584.0,0.404933544,328.0,0.529213,0.140480963
ACO1,4661.0,0.37721508,227.0,-0.780712,-0.395434064
ACOT11,1220.0,0.392289045,176.0,-1.51155,-0.557270369
ACOT9,4514.0,0.358892202,225.0,0.23259,0.175989396
ACP2,814.0,0.411581374,548.0,-0.015079,-0.222411636
ACSF2,1484.0,0.405139059,501.0,-1.89289,-0.727859188
ACSL1,1530.0,0.417966714,990.0,-0.127997,-0.087684323
ACSL5,1022.0,0.380976548,307.0,0.812586,0.256326954
ACTB,613.0,0.469768794,192.0,0.27462,-0.581111073
ACTL6A,452.0,0.409046191,387.0,0.072184,0.098429905
ACTR1A,3151.0,0.432463663,108.0,1.188531,0.233961617
ADA,312.0,0.444091501,440.0,0.834181,0.422469838
ADAMDEC1,715.0,0.41564171,547.0,3.938204,0.155705375
ADD1,1928.0,0.439806775,863.0,-0.289156,0.01108753
ADPRH,2067.0,0.380088169,541.0,0.089902,0.032797797
ADSSL1,320.0,0.393141878,776.0,-1.876944,-0.81263646
AGAP3,508.0,0.436856677,1584.0,-0.473764,-0.252826631
AHNAK,842.0,0.382138706,300.0,-1.381086,-0.535252616
AHSA1,225.0,0.374296292,431.0,-0.090077,-0.164329368
AIF1,121.0,0.4069451,222.0,1.010495,0.429853608
AIFM2,1911.0,0.447982482,217.0,1.406111,0.303005407
AK1,1528.0,0.389481519,153.0,-0.398713,-0.729351453
AK2,2893.0,0.384271636,345.0,-0.07915,-0.184996684
AKR1C2,3804.0,0.449591167,413.0,-2.483762,-0.641047583
AKR7A2,10996.0,0.385600504,22.0,-0.235467,-0.370062864
ALDH18A1,838.0,0.380333742,511.0,0.477312,-0.001534547
ALDH3A2,2525.0,0.42484639,221.0,-1.461769,-0.369131136
ALDH6A1,4647.0,0.38708374,724.0,-0.517952,-0.326822879
ALG1,2498.0,0.432230555,181.0,-0.30461,0.192365202
ALG5,380.0,0.362014155,67.0,0.60012,0.419697363
ALG9,4217.0,0.365461171,1107.0,-0.28843,0.201611134
ALOX5AP,976.0,0.392577632,248.0,0.464499,0.253345269
AMBRA1,1041.0,0.36170155,362.0,-0.219801,-0.139955362
AMPD2,903.0,0.389224108,566.0,-0.24807,-0.012338587
AMPD3,1695.0,0.423686063,472.0,0.191747,0.181458453
