,3prime,tAI,max_5_UTR_length,TCGA-A2-A0CM,TCGA-A2-A0CM.1
AAK1,17874.0,0.380718848,505.0,-0.279343,-0.000100639
AATF,207.0,0.367011205,251.0,0.297459,0.412939004
ABCC1,1793.0,0.393368456,175.0,0.381798,0.054268231
ABCF3,5726.0,0.387768135,869.0,-1.493833,0.108492763
ABHD12,654.0,0.374654709,279.0,-0.597384,-0.363254213
ABHD6,1639.0,0.384216096,505.0,0.689122,-0.436322555
ABR,2562.0,0.39474042,600.0,-0.025371,-0.182548423
ABT1,2092.0,0.423473096,40.0,2.106054,0.573921759
ACADVL,176.0,0.46877374,457.0,0.12546,-0.110436173
ACBD6,155.0,0.433964845,621.0,0.500928,-0.118764224
ACIN1,584.0,0.404933544,328.0,-0.023273,0.015329099
ACO1,4661.0,0.37721508,227.0,0.069088,-0.37338863
ACOT11,1220.0,0.392289045,176.0,0.913759,0.153169516
ACOT9,4514.0,0.358892202,225.0,-0.02699,-0.239617283
ACP2,814.0,0.411581374,548.0,-0.533059,-0.090285728
ACSF2,1484.0,0.405139059,501.0,1.618566,-0.782663492
ACSL1,1530.0,0.417966714,990.0,-0.702313,0.626499112
ACSL5,1022.0,0.380976548,307.0,-1.959563,0.337853464
ACTB,613.0,0.469768794,192.0,0.760206,-0.024757788
ACTL6A,452.0,0.409046191,387.0,0.388433,0.330624057
ACTR1A,3151.0,0.432463663,108.0,0.961902,0.081853761
ADA,312.0,0.444091501,440.0,0.267563,0.303513444
ADD1,1928.0,0.439806775,863.0,-2.486869,-0.109398415
ADPRH,2067.0,0.380088169,541.0,-1.724295,0.430229004
ADSSL1,320.0,0.393141878,776.0,-0.556422,-1.140251391
AGAP3,508.0,0.436856677,1584.0,-0.601417,-0.082366866
AHNAK,842.0,0.382138706,300.0,0.369418,-0.21385986
AHSA1,225.0,0.374296292,431.0,2.371919,0.143567558
AIF1,121.0,0.4069451,222.0,-0.002502,0.195805137
AIFM2,1911.0,0.447982482,217.0,-1.408033,0.412009725
AK1,1528.0,0.389481519,153.0,-0.274035,-0.163996553
AK2,2893.0,0.384271636,345.0,0.248359,0.200817986
AKR1C2,3804.0,0.449591167,413.0,-0.509047,-0.86304748
AKR7A2,10996.0,0.385600504,22.0,-2.150258,-0.458425843
ALDH18A1,838.0,0.380333742,511.0,0.108417,-0.068543427
ALDH3A2,2525.0,0.42484639,221.0,-2.158102,-0.42353586
ALDH6A1,4647.0,0.38708374,724.0,-0.256741,-1.050843513
ALG1,2498.0,0.432230555,181.0,-0.303406,-0.156721132
ALG5,380.0,0.362014155,67.0,0.177637,-0.108553272
ALOX5AP,976.0,0.392577632,248.0,-1.674268,0.124948515
AMBRA1,1041.0,0.36170155,362.0,0.367988,-0.192154962
AMPD2,903.0,0.389224108,566.0,0.195774,0.326531051
AMPD3,1695.0,0.423686063,472.0,-0.203893,0.357227323
ANAPC5,235.0,0.390209877,197.0,0.552252,0.07423769
ANKLE2,1737.0,0.418251419,90.0,-0.218784,0.145666644
ANKRD16,135.0,0.465649334,543.0,-0.146883,-0.435091595
ANKRD35,249.0,0.402949835,108.0,-0.801962,-0.26992378
ANXA2,496.0,0.429738522,160.0,-1.931651,0.257426732
ANXA5,1441.0,0.418050335,165.0,-0.383911,0.098604387
AP1B1,1153.0,0.424070668,187.0,-3.419916,-0.132814267
AP1M1,914.0,0.463388599,173.0,-1.448163,-0.036422442
APIP,427.0,0.433104693,127.0,1.433766,-0.351412814
APOBEC3B,339.0,0.43450554,55.0,-1.379484,1.284223161
APOBEC3C,1979.0,0.381716897,103.0,0.31757,0.416449505
APOBEC3G,322.0,0.410940579,404.0,-0.976574,0.405844525
APOL2,1195.0,0.42932248,477.0,1.793036,0.604873385
ARF6,2971.0,0.462806813,621.0,0.027176,0.017874372
ARFIP2,2430.0,0.403729309,291.0,-1.204289,-0.241920198
ARHGAP17,2624.0,0.371011524,117.0,-0.802974,0.204833661
ARHGAP30,773.0,0.384451823,645.0,-0.927962,0.335964771
ARHGEF10,1378.0,0.370244255,202.0,-0.447017,0.298710057
ARID2,3145.0,0.362288628,128.0,-0.506402,0.088124008
ARID3A,3881.0,0.411693449,290.0,-0.497675,-0.025947051
ARIH2,3112.0,0.397061561,878.0,-0.289548,0.093228148
ARL8A,1065.0,0.409602486,171.0,-1.371269,0.237340324
ARRB1,6041.0,0.39512759,224.0,-1.251075,-0.629487117
ASF1B,950.0,0.395794233,172.0,0.068552,0.013786199
ASS1,1357.0,0.394201053,356.0,0.530468,0.237865563
ATPAF1,3039.0,0.439253133,510.0,0.167891,-0.311271897
ATRIP,162.0,0.417082642,462.0,2.659352,0.270551219
B4GALT7,4483.0,0.433879574,93.0,-1.126128,-0.31033862
BAG1,2764.0,0.431693656,501.0,0.895953,-0.040948738
BAG3,537.0,0.387438444,306.0,0.549582,-0.129612823
BASP1,971.0,0.520859146,259.0,-0.74352,0.016914693
BBS7,1531.0,0.408023089,184.0,0.467449,0.041748641
BCAT2,364.0,0.445598481,657.0,0.158933,-0.500121772
BCKDHB,3082.0,0.419736544,88.0,-0.122046,-0.480960121
BCL2,5279.0,0.374049285,493.0,-0.414508,-1.075402289
BCL2L13,4109.0,0.411790332,769.0,0.343496,-0.095712596
BID,4193.0,0.428633517,498.0,-0.372024,-0.060968696
BLVRA,3376.0,0.414260839,177.0,-0.257458,-0.607769552
BOLA2,40.0,0.43059393,513.0,-0.195196,0.039295188
BOLA3,383.0,0.406657227,38.0,0.872302,-0.240519258
BRD2,787.0,0.377809737,2066.0,-1.138908,0.164552995
BRD3,3285.0,0.401150236,188.0,-0.365534,0.145600309
BSPRY,1091.0,0.380011644,48.0,0.863827,-0.2352932
BST2,411.0,0.444557266,81.0,0.062118,-0.910812263
BUB3,1535.0,0.421992618,242.0,0.197475,0.171639896
C1QB,152.0,0.436596666,340.0,-0.000221,-0.053960726
C1QC,327.0,0.41150294,283.0,0.362689,0.051032537
C2CD3,671.0,0.360398895,227.0,-1.763769,-0.41091344
C3,5088.0,0.430632158,93.0,1.26125,-0.030361522
CAP1,1134.0,0.406948565,416.0,-0.259419,-0.010163501
CAPN1,720.0,0.455130071,197.0,-1.090538,-0.17521656
CAPRIN1,5632.0,0.374918508,189.0,-0.215325,0.232548588
CAPZB,5180.0,0.446052528,622.0,1.137677,0.16168868
CARD16,437.0,0.41300235,27.0,-2.850196,0.775645339
CARHSP1,4898.0,0.362100245,360.0,-0.026476,-0.091551665
CASC3,1778.0,0.370720542,295.0,-0.267606,0.074151657
CASP1,750.0,0.424742838,44.0,-0.015889,0.415478465
CASP8,1794.0,0.376118708,303.0,-0.528207,0.11463077
CAT,629.0,0.397270122,89.0,0.457355,-0.823878133
CBL,8368.0,0.375957197,142.0,0.44356,0.072493875
CBLL1,3286.0,0.400851504,467.0,0.511074,0.277069662
CBR3,54.0,0.445176236,228.0,0.105568,0.082078206
CBS,4385.0,0.477784031,626.0,-0.493899,-0.22173
CBX5,10815.0,0.390902295,318.0,0.849181,-0.088927672
CBX8,2504.0,0.36735217,118.0,1.154263,-0.085839568
CCDC115,2169.0,0.385110507,452.0,-0.272133,0.079361574
CCDC125,2554.0,0.359965106,322.0,-2.082953,-0.824577678
