,3prime,tAI,max_5_UTR_length,TCGA-BH-A0DD,TCGA-BH-A0DD.1
AAK1,17874.0,0.380718848,505.0,0.122966,0.30554564
AATF,207.0,0.367011205,251.0,0.893022,-0.005512636
ABCC1,1793.0,0.393368456,175.0,0.184309,-0.617945422
ABCF3,5726.0,0.387768135,869.0,-0.481749,0.421508893
ABHD12,654.0,0.374654709,279.0,0.092148,-0.292287472
ABHD6,1639.0,0.384216096,505.0,0.05763,0.43093145
ABR,2562.0,0.39474042,600.0,-0.349195,-0.152037992
ABT1,2092.0,0.423473096,40.0,-0.586397,0.765170081
ACADVL,176.0,0.46877374,457.0,-1.057633,-0.220898133
ACBD6,155.0,0.433964845,621.0,-0.139197,0.420274016
ACIN1,584.0,0.404933544,328.0,-0.204206,-0.441206236
ACO1,4661.0,0.37721508,227.0,-0.533235,-0.147287689
ACOT11,1220.0,0.392289045,176.0,1.133731,0.088850945
ACOT9,4514.0,0.358892202,225.0,-1.251663,-0.570399794
ACP2,814.0,0.411581374,548.0,-1.024907,-0.277644678
ACSF2,1484.0,0.405139059,501.0,0.374808,0.711995362
ACSL1,1530.0,0.417966714,990.0,-0.197109,-0.110821008
ACSL5,1022.0,0.380976548,307.0,-0.003481,0.521747851
ACTB,613.0,0.469768794,192.0,-0.757577,-0.205631239
ACTL6A,452.0,0.409046191,387.0,0.215628,0.556776494
ACTR1A,3151.0,0.432463663,108.0,-0.138911,0.085413766
ADA,312.0,0.444091501,440.0,-0.32967,-0.588277017
ADAMDEC1,715.0,0.41564171,547.0,2.366851,1.346182205
ADD1,1928.0,0.439806775,863.0,-0.112025,0.169032241
ADPRH,2067.0,0.380088169,541.0,-0.055994,0.669559823
ADSSL1,320.0,0.393141878,776.0,-1.432359,-1.11618764
AGAP3,508.0,0.436856677,1584.0,-0.20921,-0.096918229
AHNAK,842.0,0.382138706,300.0,0.81925,0.422809354
AHSA1,225.0,0.374296292,431.0,-0.012453,-0.110181193
AIF1,121.0,0.4069451,222.0,-0.918132,-0.188620052
AIFM2,1911.0,0.447982482,217.0,-0.339556,0.690288753
AK1,1528.0,0.389481519,153.0,-0.513378,-0.244777719
AK2,2893.0,0.384271636,345.0,-0.304184,0.153410101
AKR1C2,3804.0,0.449591167,413.0,-1.884766,0.033508791
AKR7A2,10996.0,0.385600504,22.0,-1.150846,-0.397386953
ALDH18A1,838.0,0.380333742,511.0,-0.284095,0.473332194
ALDH3A2,2525.0,0.42484639,221.0,1.243047,0.309003439
ALDH6A1,4647.0,0.38708374,724.0,-0.251243,-0.271908375
ALG1,2498.0,0.432230555,181.0,-0.863786,-1.115811931
ALG5,380.0,0.362014155,67.0,-1.661301,-0.049846562
