,3prime,tAI,max_5_UTR_length,TCGA-A7-A0CE,TCGA-A7-A0CE.1
AAK1,17874.0,0.380718848,505.0,-0.041351,-0.050042314
AATF,207.0,0.367011205,251.0,0.85621,0.476443871
ABCC1,1793.0,0.393368456,175.0,0.939196,0.04749078
ABCF3,5726.0,0.387768135,869.0,0.736974,0.465307166
ABHD12,654.0,0.374654709,279.0,-0.489808,-0.483262908
ABHD6,1639.0,0.384216096,505.0,-0.303179,-0.47440857
ABR,2562.0,0.39474042,600.0,0.845668,0.365062883
ABT1,2092.0,0.423473096,40.0,0.27788,0.042877237
ACADVL,176.0,0.46877374,457.0,0.661139,0.251847463
ACBD6,155.0,0.433964845,621.0,0.956676,0.328833219
ACIN1,584.0,0.404933544,328.0,-0.070655,0.242942595
ACO1,4661.0,0.37721508,227.0,-0.936794,-0.52517557
ACOT11,1220.0,0.392289045,176.0,1.097749,0.183365566
ACOT9,4514.0,0.358892202,225.0,0.035712,-0.195061221
ACP2,814.0,0.411581374,548.0,0.402076,-0.353963346
ACSF2,1484.0,0.405139059,501.0,0.803951,0.122167807
ACSL1,1530.0,0.417966714,990.0,-0.829599,-0.75469794
ACSL5,1022.0,0.380976548,307.0,0.268273,-0.092656846
ACTB,613.0,0.469768794,192.0,0.624274,0.145072879
ACTL6A,452.0,0.409046191,387.0,0.915952,0.342015344
ACTR1A,3151.0,0.432463663,108.0,0.147537,-0.064320897
ADA,312.0,0.444091501,440.0,-0.635433,0.09311919
ADAMDEC1,715.0,0.41564171,547.0,-0.663257,-0.781788781
ADD1,1928.0,0.439806775,863.0,-0.661977,-0.031754962
ADPRH,2067.0,0.380088169,541.0,0.434411,0.282120044
ADSSL1,320.0,0.393141878,776.0,1.232921,0.879566839
AGAP3,508.0,0.436856677,1584.0,0.439863,0.145277745
AHNAK,842.0,0.382138706,300.0,-1.61065,-0.734329027
AHSA1,225.0,0.374296292,431.0,0.752407,0.512485093
AIF1,121.0,0.4069451,222.0,-1.149277,0.304699322
AIFM2,1911.0,0.447982482,217.0,1.054777,0.252368998
AK1,1528.0,0.389481519,153.0,0.41347,-0.099436657
AK2,2893.0,0.384271636,345.0,0.452399,0.026273185
AKR1C2,3804.0,0.449591167,413.0,2.102905,0.162922644
AKR7A2,10996.0,0.385600504,22.0,-0.061748,-0.144656518
ALDH18A1,838.0,0.380333742,511.0,0.587455,-0.098168447
ALDH3A2,2525.0,0.42484639,221.0,0.476265,-0.171531249
ALDH6A1,4647.0,0.38708374,724.0,0.043553,-0.40888076
ALG1,2498.0,0.432230555,181.0,-0.535827,-0.445314251
ALG5,380.0,0.362014155,67.0,0.657752,-0.226850091
AMBRA1,1041.0,0.36170155,362.0,-0.425947,-0.134652658
AMPD2,903.0,0.389224108,566.0,-0.086629,0.007177949
AMPD3,1695.0,0.423686063,472.0,-0.450003,-0.209310222
ANAPC13,1361.0,0.393644021,731.0,-0.660176,0.117288432
ANAPC5,235.0,0.390209877,197.0,-0.038535,0.320739935
ANKLE2,1737.0,0.418251419,90.0,0.081568,-0.055308707
ANKRD16,135.0,0.465649334,543.0,-0.212903,0.200546414
ANKRD35,249.0,0.402949835,108.0,1.261114,0.184329429
ANXA2,496.0,0.429738522,160.0,0.545881,-0.111198064
ANXA5,1441.0,0.418050335,165.0,1.126503,0.347910149
AP1B1,1153.0,0.424070668,187.0,-0.309923,-0.183316649
AP1M1,914.0,0.463388599,173.0,0.630816,0.046830208
APBA1,3797.0,0.387421148,276.0,-2.529435,-0.889489399
APIP,427.0,0.433104693,127.0,-0.386449,-0.358543012
APOBEC3B,339.0,0.43450554,55.0,-0.761138,-0.726107356
APOBEC3C,1979.0,0.381716897,103.0,0.837822,0.389184872
APOBEC3G,322.0,0.410940579,404.0,-1.51239,0.025831169
APOL2,1195.0,0.42932248,477.0,-0.328379,0.088961924
ARF6,2971.0,0.462806813,621.0,-0.878019,-0.368629477
ARFIP2,2430.0,0.403729309,291.0,-0.88391,-0.430030174
ARHGAP17,2624.0,0.371011524,117.0,0.260623,0.268191981
ARHGAP30,773.0,0.384451823,645.0,-0.81139,0.145607385
ARHGEF10,1378.0,0.370244255,202.0,-0.375951,-0.099977304
ARID2,3145.0,0.362288628,128.0,-0.241073,-0.210791199
ARID3A,3881.0,0.411693449,290.0,-2.036327,-0.211341694
ARIH2,3112.0,0.397061561,878.0,-2.15447,-0.584570577
ARL8A,1065.0,0.409602486,171.0,0.514414,0.233911077
ARRB1,6041.0,0.39512759,224.0,-2.009297,-0.727089401
ASF1B,950.0,0.395794233,172.0,1.318668,0.650867084
ASS1,1357.0,0.394201053,356.0,0.842009,0.754102215
ATPAF1,3039.0,0.439253133,510.0,0.412359,0.268840495
ATRIP,162.0,0.417082642,462.0,-0.259747,-0.071743655
AXL,1863.0,0.417061167,376.0,-1.856654,-0.968240856
BAG1,2764.0,0.431693656,501.0,1.46278,0.771958654
BAG3,537.0,0.387438444,306.0,-0.388091,-0.349340288
BASP1,971.0,0.520859146,259.0,0.171495,-0.363635427
BBS7,1531.0,0.408023089,184.0,1.238319,0.342705308
BCAT2,364.0,0.445598481,657.0,-0.25076,-0.510813647
BCKDHB,3082.0,0.419736544,88.0,0.138475,-0.707035929
BCL2,5279.0,0.374049285,493.0,-2.770693,-1.194477029
BCL2L13,4109.0,0.411790332,769.0,0.00276,-0.234998739
BID,4193.0,0.428633517,498.0,0.173089,0.214656277
BLVRA,3376.0,0.414260839,177.0,-1.726098,-0.66503785
BOLA2,40.0,0.43059393,513.0,0.104315,-0.020259523
BOLA3,383.0,0.406657227,38.0,1.341518,0.382525982
BRD2,787.0,0.377809737,2066.0,-0.389745,0.085238075
BRD3,3285.0,0.401150236,188.0,-0.69853,-0.156439746
BSPRY,1091.0,0.380011644,48.0,-0.374801,-0.68461466
BST2,411.0,0.444557266,81.0,1.43375,0.203834782
BUB3,1535.0,0.421992618,242.0,-0.225456,0.333906183
C1QB,152.0,0.436596666,340.0,-1.163619,-0.109225436
C1QC,327.0,0.41150294,283.0,-0.617483,-0.297127224
C2CD3,671.0,0.360398895,227.0,-0.307473,-0.211535042
C3,5088.0,0.430632158,93.0,1.447078,0.580498365
CAP1,1134.0,0.406948565,416.0,-0.164776,-0.282189497
CAPN1,720.0,0.455130071,197.0,0.093238,-0.179485662
CAPRIN1,5632.0,0.374918508,189.0,-0.270061,-0.066204832
CAPZB,5180.0,0.446052528,622.0,-0.238105,0.048199081
CARD16,437.0,0.41300235,27.0,-0.440467,0.192758642
CARHSP1,4898.0,0.362100245,360.0,1.171789,0.330386113
CASC3,1778.0,0.370720542,295.0,-0.167806,-0.013527312
CASP1,750.0,0.424742838,44.0,-0.39131,0.016338362
CASP8,1794.0,0.376118708,303.0,-0.713311,-0.012543551
CAT,629.0,0.397270122,89.0,-0.180709,-0.264695734
CBL,8368.0,0.375957197,142.0,0.160921,0.150359512
CBLL1,3286.0,0.400851504,467.0,0.074545,0.342900454
CBR3,54.0,0.445176236,228.0,0.595805,0.321199808
CBS,4385.0,0.477784031,626.0,3.129758,0.627272991
CBX5,10815.0,0.390902295,318.0,1.117958,0.428051202
CBX8,2504.0,0.36735217,118.0,0.165968,0.254794146
CCDC115,2169.0,0.385110507,452.0,-0.587996,-0.224131021
CCDC58,2462.0,0.421830022,75.0,0.879048,0.146288971
CCDC88C,1302.0,0.396031427,154.0,-0.58622,-0.434606803
CCL5,886.0,0.462166288,68.0,1.023777,1.031205537
CCNA2,1206.0,0.409154498,373.0,2.468431,0.514671244
CCNB2,168.0,0.374401461,184.0,2.26467,1.145794144
CCNDBP1,2336.0,0.44393643,231.0,0.37345,0.21610063
CCS,4244.0,0.460896681,43.0,-0.982517,-0.477962856
CCT3,238.0,0.457984718,231.0,0.75134,0.367303247
CCT4,1361.0,0.393363555,164.0,0.362902,0.25420091
CD14,128.0,0.416321757,392.0,-0.212386,-0.268745526
CD209,3046.0,0.440000747,67.0,1.111147,0.593888671
