,3prime,tAI,max_5_UTR_length,TCGA-AR-A1AW,TCGA-AR-A1AW.1
AAK1,17874.0,0.380718848,505.0,0.730562,0.337336368
AATF,207.0,0.367011205,251.0,0.376985,-0.044105623
ABCC1,1793.0,0.393368456,175.0,0.324383,0.117647352
ABCF3,5726.0,0.387768135,869.0,-0.032739,-0.026482495
ABHD12,654.0,0.374654709,279.0,-0.359709,0.069287113
ABR,2562.0,0.39474042,600.0,0.509905,0.042258758
ABT1,2092.0,0.423473096,40.0,0.191812,-0.042253751
ACADVL,176.0,0.46877374,457.0,0.302661,-0.191090241
ACBD6,155.0,0.433964845,621.0,-0.029445,0.175518416
ACIN1,584.0,0.404933544,328.0,0.449381,0.117557885
ACO1,4661.0,0.37721508,227.0,-0.495664,-0.200333133
ACOT11,1220.0,0.392289045,176.0,-0.774063,-0.358346866
ACOT9,4514.0,0.358892202,225.0,-0.083371,0.040836217
ACP2,814.0,0.411581374,548.0,0.206169,-0.430955243
ACSF2,1484.0,0.405139059,501.0,0.529188,0.327802893
ACSL1,1530.0,0.417966714,990.0,-0.808454,-0.651531086
ACSL5,1022.0,0.380976548,307.0,1.684539,0.455750096
ACTB,613.0,0.469768794,192.0,0.134555,-0.723261726
ACTL6A,452.0,0.409046191,387.0,0.035326,-0.145022514
ACTR1A,3151.0,0.432463663,108.0,0.10062,0.187705528
ADA,312.0,0.444091501,440.0,1.475871,0.945295255
ADAMDEC1,715.0,0.41564171,547.0,5.612212,-0.299602987
ADD1,1928.0,0.439806775,863.0,0.021788,-0.042554396
ADPRH,2067.0,0.380088169,541.0,0.717342,0.579351334
ADSSL1,320.0,0.393141878,776.0,-2.563812,-1.063129895
AGAP3,508.0,0.436856677,1584.0,-0.468697,-0.074591286
AHNAK,842.0,0.382138706,300.0,-0.051896,-0.38464268
AHSA1,225.0,0.374296292,431.0,-0.375434,0.084547454
AIF1,121.0,0.4069451,222.0,1.427442,0.659440824
AIFM2,1911.0,0.447982482,217.0,-0.584493,-0.295289179
AK1,1528.0,0.389481519,153.0,-1.266859,-0.672729876
AK2,2893.0,0.384271636,345.0,-0.262725,-0.043411709
AKR1C2,3804.0,0.449591167,413.0,-0.981535,-1.046727183
AKR7A2,10996.0,0.385600504,22.0,-0.655454,-0.374243771
ALDH18A1,838.0,0.380333742,511.0,0.107833,-0.028222246
ALDH3A2,2525.0,0.42484639,221.0,0.57049,-0.224339046
ALDH6A1,4647.0,0.38708374,724.0,-0.139805,-0.036272497
ALG1,2498.0,0.432230555,181.0,-0.398259,0.156509514
ALG5,380.0,0.362014155,67.0,-0.20248,0.176209088
ALOX5AP,976.0,0.392577632,248.0,1.349988,0.525672226
AMBRA1,1041.0,0.36170155,362.0,-0.33525,-0.320064668
AMPD2,903.0,0.389224108,566.0,-0.171312,-0.021650909
AMPD3,1695.0,0.423686063,472.0,1.589581,0.600858484
ANAPC13,1361.0,0.393644021,731.0,-0.504603,-0.20306105
ANAPC5,235.0,0.390209877,197.0,-0.007136,0.028853574
ANKLE2,1737.0,0.418251419,90.0,-0.149518,-0.137432164
ANKRD16,135.0,0.465649334,543.0,0.234796,-0.094292486
ANXA2,496.0,0.429738522,160.0,-0.964642,-0.564745607
ANXA5,1441.0,0.418050335,165.0,-0.270184,-0.33987539
AP1B1,1153.0,0.424070668,187.0,0.010337,0.044927811
AP1M1,914.0,0.463388599,173.0,0.830597,0.290361568
APIP,427.0,0.433104693,127.0,-0.319884,-0.212814354
APOBEC3C,1979.0,0.381716897,103.0,2.271701,0.799776099
APOBEC3G,322.0,0.410940579,404.0,2.549334,1.102254311
APOL2,1195.0,0.42932248,477.0,1.228002,0.858340791
ARF6,2971.0,0.462806813,621.0,-0.093923,-0.153606651
ARFIP2,2430.0,0.403729309,291.0,-0.968862,-0.284713951
ARHGAP17,2624.0,0.371011524,117.0,0.241531,0.274426465
ARHGAP30,773.0,0.384451823,645.0,2.966448,0.768495375
ARHGEF10,1378.0,0.370244255,202.0,-0.362597,-0.350732814
ARID2,3145.0,0.362288628,128.0,0.243683,0.032383215
ARID3A,3881.0,0.411693449,290.0,0.96219,0.368955977
ARIH2,3112.0,0.397061561,878.0,0.29548,0.191449291
ARL8A,1065.0,0.409602486,171.0,-0.190221,0.296696806
ARRB1,6041.0,0.39512759,224.0,-0.711157,-0.516605187
ASF1B,950.0,0.395794233,172.0,-0.091552,-0.06815665
ASS1,1357.0,0.394201053,356.0,-2.01118,-0.955922525
ATPAF1,3039.0,0.439253133,510.0,-0.314308,-0.168106483
ATRIP,162.0,0.417082642,462.0,-0.099274,-0.252993863
AXL,1863.0,0.417061167,376.0,0.320227,-0.121116535
B4GALT7,4483.0,0.433879574,93.0,-0.532434,-0.193909225
BAG1,2764.0,0.431693656,501.0,-1.16231,-0.532170447
BAG3,537.0,0.387438444,306.0,-0.74056,0.009406801
BASP1,971.0,0.520859146,259.0,1.616396,1.009116039
BBS7,1531.0,0.408023089,184.0,0.233058,0.292683986
BCAT2,364.0,0.445598481,657.0,-0.759307,0.218841759
BCKDHB,3082.0,0.419736544,88.0,-0.35341,0.090331508
BCL2,5279.0,0.374049285,493.0,-0.016441,0.358021856
BCL2L13,4109.0,0.411790332,769.0,-0.012718,0.200400181
BID,4193.0,0.428633517,498.0,0.002174,0.301413814
BLVRA,3376.0,0.414260839,177.0,-0.483437,-0.296936469
BOLA2,40.0,0.43059393,513.0,-0.88739,-0.177932658
BOLA3,383.0,0.406657227,38.0,-0.524243,0.078846691
BRD2,787.0,0.377809737,2066.0,0.250605,0.076228756
BRD3,3285.0,0.401150236,188.0,0.111563,0.042432803
BSPRY,1091.0,0.380011644,48.0,-1.294791,-0.273750492
BST2,411.0,0.444557266,81.0,1.267256,0.974518118
BUB3,1535.0,0.421992618,242.0,0.550072,0.017932482
C1QB,152.0,0.436596666,340.0,1.845095,-0.386910891
C1QC,327.0,0.41150294,283.0,1.619771,-0.384760358
C2CD3,671.0,0.360398895,227.0,0.188112,0.051616238
C3,5088.0,0.430632158,93.0,2.222171,-0.606556209
CAP1,1134.0,0.406948565,416.0,0.091937,0.039546
CAPN1,720.0,0.455130071,197.0,-0.935383,-0.196198771
CAPRIN1,5632.0,0.374918508,189.0,-0.371819,-0.137952022
CAPZB,5180.0,0.446052528,622.0,0.224311,0.223061666
CARD16,437.0,0.41300235,27.0,1.722816,0.803974038
CARHSP1,4898.0,0.362100245,360.0,-0.383605,-0.339911454
CASC3,1778.0,0.370720542,295.0,0.214924,0.123289709
CASP1,750.0,0.424742838,44.0,1.412258,0.539378147
CASP8,1794.0,0.376118708,303.0,0.8337,0.217528412
CAT,629.0,0.397270122,89.0,-0.156238,-0.4251378
CBL,8368.0,0.375957197,142.0,0.979678,0.120467051
CBLL1,3286.0,0.400851504,467.0,0.430258,0.224027149
CBR3,54.0,0.445176236,228.0,-0.137383,0.260845394
CBS,4385.0,0.477784031,626.0,-0.296089,-0.620800871
CBX5,10815.0,0.390902295,318.0,0.134335,-0.040914057
CBX8,2504.0,0.36735217,118.0,0.081427,0.096191118
CCDC115,2169.0,0.385110507,452.0,-0.079285,0.183408941
CCDC125,2554.0,0.359965106,322.0,-0.861448,-0.571881564
CCDC58,2462.0,0.421830022,75.0,-0.11751,0.116958221
CCDC88C,1302.0,0.396031427,154.0,0.81215,0.508127989
CCL5,886.0,0.462166288,68.0,3.281073,1.468556981
CCNA2,1206.0,0.409154498,373.0,0.83584,-0.128195897
CCNB2,168.0,0.374401461,184.0,-0.020414,0.061171586
CCNDBP1,2336.0,0.44393643,231.0,-0.028068,-0.2647829
CCS,4244.0,0.460896681,43.0,-0.106714,-0.006930485
CCT3,238.0,0.457984718,231.0,-0.284873,-0.285517446
CCT4,1361.0,0.393363555,164.0,-0.520153,-0.191997915
CD14,128.0,0.416321757,392.0,0.705191,0.095676675
CD209,3046.0,0.440000747,67.0,2.622179,-0.385849773
CD36,2894.0,0.410517795,414.0,-0.38484,-0.519374362
CD40,982.0,0.429065654,90.0,2.161145,1.259143916
CD44,3115.0,0.39995987,434.0,0.314768,0.018912928
CD63,923.0,0.512738356,403.0,-0.57092,-0.081932575
CD74,635.0,0.427357309,187.0,1.840731,1.127619969
CDC25C,437.0,0.364786128,387.0,-0.448129,-0.740802173
CDC26,271.0,0.395637029,359.0,0.140741,-0.040208459
CDC34,560.0,0.46431386,199.0,-1.005917,0.022797704
CDC42EP3,3941.0,0.420378821,1009.0,0.271898,-0.172187407
CDCA8,1353.0,0.384295288,290.0,0.417358,-0.280636283
CDIPT,1864.0,0.442654716,541.0,-0.510203,0.157625699
CDK1,2313.0,0.398329505,154.0,0.141288,-0.355973133
CDK19,4557.0,0.421511824,180.0,0.443947,0.164614881
CDK5RAP2,367.0,0.371069462,192.0,0.139713,-0.110630803
CDK5RAP3,284.0,0.469750898,1791.0,0.654457,0.23286919
CDKAL1,1365.0,0.417875209,167.0,0.313118,-0.101769508
CDKN2AIPNL,3639.0,0.409801696,53.0,-0.410828,0.15000255
CDKN2C,2247.0,0.381912025,1216.0,-0.119023,0.008666692
CEBPD,1714.0,0.430497143,44.0,-0.720683,-0.654755637
CENPH,1478.0,0.418392258,87.0,-0.050052,-0.445287241
CENPV,301.0,0.385948267,62.0,1.757305,0.18840144
CEP55,939.0,0.397841874,304.0,0.718007,0.001928958
CES3,2100.0,0.377378956,446.0,-1.279383,-0.830719194
CETN2,868.0,0.433727498,47.0,-0.760574,-0.130582046
CFL1,677.0,0.502791,234.0,-0.240524,-0.192156535
CHAC2,786.0,0.395629742,277.0,0.784235,0.106166033
CHCHD4,3528.0,0.445497334,326.0,-0.073419,0.36326204
CHMP4A,296.0,0.447100154,262.0,0.318054,0.141082089
CHMP5,1241.0,0.442987983,200.0,0.067936,0.077251716
CHMP6,980.0,0.489861105,78.0,-0.278569,0.130062221
CIAPIN1,1024.0,0.451663323,242.0,-0.469986,-0.205601041
CISD2,5376.0,0.433298698,107.0,-0.118148,0.352810985
CKAP4,2872.0,0.386259817,84.0,-0.382456,-0.157333942
CKS2,300.0,0.317949998,98.0,-0.332915,-0.017814006
CLCC1,5185.0,0.369704467,150.0,-0.166057,0.097766271
CLCN7,1698.0,0.459147749,110.0,-0.030892,-0.025746718
CLIC1,290.0,0.4571302,573.0,-0.427395,-0.289904072
CLK3,1233.0,0.4268607,461.0,-0.143688,-0.118092128
CLPTM1,458.0,0.383990827,351.0,-0.058751,0.414398344
CLTA,288.0,0.450950874,514.0,-0.581428,-0.030625139
CLTB,319.0,0.48548545,210.0,-1.158485,-0.171045808
CLTC,3104.0,0.384957863,443.0,0.18114,-0.20465715
CNBP,6850.0,0.433298698,206.0,-0.20139,-0.006690222
CNPY2,123.0,0.392778455,553.0,-0.571856,-0.004205529
CNPY3,1042.0,0.459231502,584.0,0.375871,0.36540496
COG3,1967.0,0.414689223,142.0,-0.078103,-0.084263441
COMMD1,306.0,0.423842833,138.0,-0.10331,0.059284744
COMMD3,431.0,0.360487018,35.0,-0.339123,0.144390075
COMMD5,498.0,0.445713337,399.0,0.526807,0.211863197
COMMD6,1375.0,0.396967837,328.0,-0.715055,0.257421059
COMMD9,2340.0,0.418062772,89.0,-0.322761,-0.089434944
COPB1,446.0,0.381738818,307.0,-0.400307,-0.024578257
COPE,165.0,0.478760693,55.0,-0.094012,-0.123298219
COQ6,671.0,0.374062527,159.0,-0.64806,0.128052815
COQ7,5700.0,0.42379098,133.0,-0.252681,0.147182305
CORO1A,112.0,0.457388252,435.0,2.914538,0.999302723
COX17,1735.0,0.484254073,86.0,-0.593026,0.023477939
COX5A,860.0,0.429944966,140.0,-0.367924,-0.049544306
COX7A2,302.0,0.441893926,98.0,-0.68807,0.154728136
CPM,5262.0,0.406054343,75.0,1.119246,0.462810341
CPSF4,923.0,0.452412439,277.0,0.039042,0.149360288
CPT1A,2761.0,0.374132033,170.0,0.034592,0.365802825
CPT2,602.0,0.431256564,515.0,-0.556897,-0.218765552
CRCP,8457.0,0.390198146,145.0,0.073776,-0.055045463
CRKL,3904.0,0.422225684,509.0,0.170529,0.13736657
CRTAP,5601.0,0.446308827,120.0,-0.358869,-0.386208424
CRTC3,3205.0,0.355982524,186.0,0.140156,0.216014593
CRY2,2337.0,0.383442872,132.0,-0.690213,-0.220178613
CRYL1,462.0,0.386242786,79.0,-0.169852,0.112829473
CSRP1,1183.0,0.493833101,217.0,-1.218711,-1.132279739
CST3,2762.0,0.475763324,186.0,-0.386399,-0.184306637
CSTF2,1931.0,0.372934478,58.0,-0.060458,0.154858178
CTBP1,800.0,0.464034004,393.0,-0.033182,0.050946476
CTNNA1,1216.0,0.412513324,1103.0,-0.718255,-0.347889244
CTNNB1,1106.0,0.432073699,448.0,-0.506407,-0.478054267
CTNNBIP1,2448.0,0.394834327,307.0,-1.103427,-0.465785976
CTPS2,1870.0,0.416273085,744.0,-0.407256,-0.066264048
CTSG,119.0,0.369503415,37.0,-0.973895,-1.450981371
CTSH,1072.0,0.446467856,1192.0,1.151168,0.729294534
CUEDC1,2047.0,0.374410739,719.0,-0.110527,-0.141605923
CUX1,1040.0,0.395555213,127.0,-0.421584,-0.26755247
CXCL10,814.0,0.410287201,105.0,3.526873,0.19539317
CXCL9,2323.0,0.403736618,74.0,5.483727,0.943835843
CYBB,2544.0,0.418993019,61.0,3.260667,1.228101313
CYTH4,1837.0,0.406296106,377.0,2.164227,0.51501759
DAB2,1757.0,0.368483127,531.0,0.786386,0.020088063
DAGLB,721.0,0.377719723,170.0,-0.122871,0.07159463
DAP3,768.0,0.366492687,184.0,0.082953,0.145562948
DAPP1,2082.0,0.348655603,90.0,1.824384,0.515350399
DBI,233.0,0.467027529,479.0,-0.018018,0.066007442
DCAF8,1877.0,0.380310979,212.0,0.304517,-0.111962198
DCP1A,4153.0,0.411936399,381.0,0.465796,0.006793834
