,3prime,tAI,max_5_UTR_length,TCGA-AO-A0JL,TCGA-AO-A0JL.1
AAK1,17874.0,0.380718848,505.0,-1.14083,-0.164233601
AATF,207.0,0.367011205,251.0,0.551264,0.130020319
ABCC1,1793.0,0.393368456,175.0,-0.62838,-0.550767563
ABCF3,5726.0,0.387768135,869.0,-0.750005,-0.059470352
ABHD12,654.0,0.374654709,279.0,0.198734,-0.607658761
ABHD6,1639.0,0.384216096,505.0,0.888461,-0.006953809
ABR,2562.0,0.39474042,600.0,-0.477074,-0.077631974
ABT1,2092.0,0.423473096,40.0,0.482858,0.48460212
ACADVL,176.0,0.46877374,457.0,0.943846,0.478264607
ACBD6,155.0,0.433964845,621.0,1.277388,0.502525449
ACIN1,584.0,0.404933544,328.0,-0.015883,-0.082575426
ACO1,4661.0,0.37721508,227.0,-1.453662,-0.007930009
ACOT11,1220.0,0.392289045,176.0,0.567685,0.375716517
ACOT9,4514.0,0.358892202,225.0,-1.64814,-0.021417048
ACP2,814.0,0.411581374,548.0,-0.612121,-0.09764291
ACSF2,1484.0,0.405139059,501.0,-2.557643,-0.6209993
ACSL1,1530.0,0.417966714,990.0,0.233778,0.114254094
ACSL5,1022.0,0.380976548,307.0,-1.761978,-0.443731702
ACTB,613.0,0.469768794,192.0,1.523608,0.288429618
ACTL6A,452.0,0.409046191,387.0,0.105886,0.04490113
ACTR1A,3151.0,0.432463663,108.0,-0.113791,0.369699515
ADA,312.0,0.444091501,440.0,1.469487,0.679697351
ADD1,1928.0,0.439806775,863.0,-0.902494,0.221744749
ADPRH,2067.0,0.380088169,541.0,-0.057378,0.176245487
ADSSL1,320.0,0.393141878,776.0,-1.043389,-0.43093129
AGAP3,508.0,0.436856677,1584.0,1.052351,-0.01861834
AHNAK,842.0,0.382138706,300.0,-2.609022,-0.409527476
AHSA1,225.0,0.374296292,431.0,0.50901,0.002401276
AIF1,121.0,0.4069451,222.0,-0.617529,0.584723744
AIFM2,1911.0,0.447982482,217.0,0.092381,-0.049571782
