,3prime,tAI,max_5_UTR_length,TCGA-A2-A0YG,TCGA-A2-A0YG.1
AAK1,17874.0,0.380718848,505.0,0.361882,0.050210339
AATF,207.0,0.367011205,251.0,-0.450153,0.134156265
ABCC1,1793.0,0.393368456,175.0,0.72714,-0.180227722
ABCF3,5726.0,0.387768135,869.0,0.403256,0.149696637
ABHD12,654.0,0.374654709,279.0,0.125606,0.179786648
ABHD6,1639.0,0.384216096,505.0,-0.61903,-0.02221774
ABR,2562.0,0.39474042,600.0,-0.48265,-0.137877136
ABT1,2092.0,0.423473096,40.0,-0.199357,0.396481656
ACADVL,176.0,0.46877374,457.0,-0.997545,-0.282485739
ACBD6,155.0,0.433964845,621.0,0.418404,0.086293484
ACIN1,584.0,0.404933544,328.0,-0.186193,-0.050528463
ACO1,4661.0,0.37721508,227.0,-0.468348,-0.234699522
ACOT11,1220.0,0.392289045,176.0,1.331416,0.102545557
ACOT9,4514.0,0.358892202,225.0,-1.356858,-0.367125333
ACP2,814.0,0.411581374,548.0,-0.580607,-0.101827547
ACSF2,1484.0,0.405139059,501.0,-2.073645,-0.564643392
ACSL1,1530.0,0.417966714,990.0,0.833097,-0.214366506
ACSL5,1022.0,0.380976548,307.0,-1.468729,-0.079792786
ACTB,613.0,0.469768794,192.0,0.044239,-0.050444393
ACTL6A,452.0,0.409046191,387.0,1.251868,0.012258179
ACTR1A,3151.0,0.432463663,108.0,0.128632,0.151942332
ADA,312.0,0.444091501,440.0,0.158432,0.069456837
ADD1,1928.0,0.439806775,863.0,0.091968,0.041668792
ADPRH,2067.0,0.380088169,541.0,-1.110839,-0.092669962
ADSSL1,320.0,0.393141878,776.0,-0.459156,-0.473051609
AGAP3,508.0,0.436856677,1584.0,-0.179304,-0.122310638
AHNAK,842.0,0.382138706,300.0,-0.217512,-0.085831188
AHSA1,225.0,0.374296292,431.0,0.064121,-0.049408778
AIF1,121.0,0.4069451,222.0,-0.992939,-0.058076143
AIFM2,1911.0,0.447982482,217.0,-2.886682,0.012317991
AK1,1528.0,0.389481519,153.0,0.553186,0.281720812
AK2,2893.0,0.384271636,345.0,0.113174,-0.355116295
AKR1C2,3804.0,0.449591167,413.0,-1.978395,0.138014062
AKR7A2,10996.0,0.385600504,22.0,-0.28264,-0.615478823
ALDH18A1,838.0,0.380333742,511.0,0.084156,-0.191229152
ALDH3A2,2525.0,0.42484639,221.0,-0.715077,-0.202333914
ALDH6A1,4647.0,0.38708374,724.0,0.379731,-0.477587528
ALG1,2498.0,0.432230555,181.0,-0.061195,0.089561214
ALG5,380.0,0.362014155,67.0,-0.053499,0.237718402
ALG9,4217.0,0.365461171,1107.0,-0.035363,-0.10929566
ALOX5AP,976.0,0.392577632,248.0,-1.444362,-0.245077372
AMBRA1,1041.0,0.36170155,362.0,-0.439951,0.139926261
AMPD2,903.0,0.389224108,566.0,-0.181964,-0.260128721
AMPD3,1695.0,0.423686063,472.0,-1.041686,-0.290364028
ANAPC5,235.0,0.390209877,197.0,0.074159,0.251626596
ANKLE2,1737.0,0.418251419,90.0,0.267594,0.296821247
ANKRD16,135.0,0.465649334,543.0,-0.439513,0.146185625
ANXA2,496.0,0.429738522,160.0,0.130193,-0.116868964
ANXA5,1441.0,0.418050335,165.0,-0.475634,-0.445701923
AP1B1,1153.0,0.424070668,187.0,-0.104986,-0.007238263
AP1M1,914.0,0.463388599,173.0,-0.279454,-0.316783542
APBA1,3797.0,0.387421148,276.0,-0.641177,-0.156127273
APIP,427.0,0.433104693,127.0,-0.703202,-0.62446251
APOBEC3B,339.0,0.43450554,55.0,1.213055,-0.035287759
APOBEC3C,1979.0,0.381716897,103.0,-0.837387,-0.040452399
APOBEC3G,322.0,0.410940579,404.0,-1.160875,-0.246698206
APOL2,1195.0,0.42932248,477.0,-0.174114,-0.275039848
ARF6,2971.0,0.462806813,621.0,0.357713,-0.164993719
ARFIP2,2430.0,0.403729309,291.0,-0.370363,-0.134395515
ARHGAP17,2624.0,0.371011524,117.0,-0.459708,-0.09376155
ARHGAP30,773.0,0.384451823,645.0,-0.017378,0.006000988
ARHGEF10,1378.0,0.370244255,202.0,-0.010269,0.041707481
ARID2,3145.0,0.362288628,128.0,0.046141,-0.067359172
ARID3A,3881.0,0.411693449,290.0,-0.032737,-0.194943602
ARIH2,3112.0,0.397061561,878.0,0.006865,0.143369872
ARL8A,1065.0,0.409602486,171.0,0.267002,0.062314914
ARRB1,6041.0,0.39512759,224.0,0.287782,-0.111284441
ASF1B,950.0,0.395794233,172.0,1.063373,-0.264212987
ASS1,1357.0,0.394201053,356.0,0.589085,0.001297585
ATPAF1,3039.0,0.439253133,510.0,-0.09215,0.012841991
ATRIP,162.0,0.417082642,462.0,0.037164,0.037275521
AXL,1863.0,0.417061167,376.0,-0.801929,-0.127546753
B4GALT7,4483.0,0.433879574,93.0,-0.019152,0.42240343
BAG1,2764.0,0.431693656,501.0,-1.334733,-0.352697834
BAG3,537.0,0.387438444,306.0,-0.659344,-0.273664287
BASP1,971.0,0.520859146,259.0,-0.906041,-0.146389927
BBS7,1531.0,0.408023089,184.0,0.14678,-0.007837661
BCAT2,364.0,0.445598481,657.0,0.672723,0.031888391
BCKDHB,3082.0,0.419736544,88.0,0.016012,-0.560643322
BCL2,5279.0,0.374049285,493.0,-2.13073,-1.054670195
BCL2L13,4109.0,0.411790332,769.0,-0.495753,-0.428091208
BID,4193.0,0.428633517,498.0,-0.093243,-0.222264955
BLVRA,3376.0,0.414260839,177.0,0.030706,-0.231363586
BOLA2,40.0,0.43059393,513.0,-0.185022,-0.443792536
BOLA3,383.0,0.406657227,38.0,-0.474527,-0.592173778
BRD2,787.0,0.377809737,2066.0,0.122625,0.008832007
BRD3,3285.0,0.401150236,188.0,1.178271,0.312962162
BSPRY,1091.0,0.380011644,48.0,0.766625,-0.225767869
BST2,411.0,0.444557266,81.0,-1.060074,-0.040024338
BUB3,1535.0,0.421992618,242.0,0.429087,0.004069072
C1QB,152.0,0.436596666,340.0,-0.631673,0.335373017
C1QC,327.0,0.41150294,283.0,-0.731952,0.238998112
C2CD3,671.0,0.360398895,227.0,0.172592,0.025194501
C3,5088.0,0.430632158,93.0,-1.010211,0.883579938
CAP1,1134.0,0.406948565,416.0,0.427414,-0.201765795
CAPN1,720.0,0.455130071,197.0,-0.565629,-0.372024669
CAPRIN1,5632.0,0.374918508,189.0,-0.074709,0.229309457
CAPZB,5180.0,0.446052528,622.0,-0.500947,-0.306858464
CARD16,437.0,0.41300235,27.0,-1.790063,0.005795324
CARHSP1,4898.0,0.362100245,360.0,-0.051263,-0.10100033
CASC3,1778.0,0.370720542,295.0,3.283598,0.179263018
CASP1,750.0,0.424742838,44.0,-1.010196,-0.090165145
CASP8,1794.0,0.376118708,303.0,0.751479,0.247259568
CAT,629.0,0.397270122,89.0,-0.7266,-0.406526137
CBL,8368.0,0.375957197,142.0,0.632695,0.140553491
CBLL1,3286.0,0.400851504,467.0,0.522971,-0.172914746
CBR3,54.0,0.445176236,228.0,-0.36778,-0.559548558
CBS,4385.0,0.477784031,626.0,3.52418,1.318754457
CBX5,10815.0,0.390902295,318.0,0.818711,0.183559126
CBX8,2504.0,0.36735217,118.0,-0.109597,-0.054636881
CCDC115,2169.0,0.385110507,452.0,-0.662998,-0.33919945
CCDC125,2554.0,0.359965106,322.0,1.206659,0.289426974
CCDC58,2462.0,0.421830022,75.0,0.416977,-0.0074566
CCDC88C,1302.0,0.396031427,154.0,0.73349,0.159748299
CCL5,886.0,0.462166288,68.0,-1.473598,-0.172417918
CCNA2,1206.0,0.409154498,373.0,1.425835,0.209953873
