,3prime,tAI,max_5_UTR_length,TCGA-A2-A0EV,TCGA-A2-A0EV.1
AAK1,17874.0,0.380718848,505.0,0.250908,0.445861338
AATF,207.0,0.367011205,251.0,0.899883,0.093743955
ABCC1,1793.0,0.393368456,175.0,-0.011583,-0.594993454
ABCF3,5726.0,0.387768135,869.0,0.840841,0.014672955
ABHD12,654.0,0.374654709,279.0,0.447865,-0.175376459
ABHD6,1639.0,0.384216096,505.0,0.083688,0.57597008
ABR,2562.0,0.39474042,600.0,0.116537,0.290702674
ABT1,2092.0,0.423473096,40.0,-0.167993,0.212047369
ACADVL,176.0,0.46877374,457.0,-0.499417,0.574231622
ACBD6,155.0,0.433964845,621.0,-0.182334,0.168503198
ACIN1,584.0,0.404933544,328.0,-0.077796,-0.495855232
ACO1,4661.0,0.37721508,227.0,0.571536,1.131994163
ACOT11,1220.0,0.392289045,176.0,0.821896,0.399550683
ACOT9,4514.0,0.358892202,225.0,-0.025003,0.394399424
ACP2,814.0,0.411581374,548.0,0.308465,0.446279063
ACSF2,1484.0,0.405139059,501.0,0.290919,0.504750468
ACSL1,1530.0,0.417966714,990.0,-0.140742,1.546567334
ACSL5,1022.0,0.380976548,307.0,-0.803638,0.489283823
ACTB,613.0,0.469768794,192.0,0.336508,0.618775314
ACTL6A,452.0,0.409046191,387.0,0.951066,0.326082607
ACTR1A,3151.0,0.432463663,108.0,0.425032,0.659011939
ADA,312.0,0.444091501,440.0,-0.880467,0.943247489
ADAMDEC1,715.0,0.41564171,547.0,-0.28646,-0.354198532
ADD1,1928.0,0.439806775,863.0,0.34241,0.562800094
ADPRH,2067.0,0.380088169,541.0,-0.755612,0.131330258
ADSSL1,320.0,0.393141878,776.0,0.839401,0.341097202
AGAP3,508.0,0.436856677,1584.0,-0.351627,-1.056042233
AHNAK,842.0,0.382138706,300.0,0.214064,0.683405451
AHSA1,225.0,0.374296292,431.0,-0.378746,-0.14596319
AIF1,121.0,0.4069451,222.0,0.170293,1.125379775
AIFM2,1911.0,0.447982482,217.0,-0.588385,1.244297492
