,3prime,tAI,max_5_UTR_length,TCGA-AR-A0TX,TCGA-AR-A0TX.1
AAK1,17874.0,0.380718848,505.0,0.692076,0.165302158
AATF,207.0,0.367011205,251.0,2.034049,0.53802599
ABCC1,1793.0,0.393368456,175.0,0.237699,0.170110019
ABCF3,5726.0,0.387768135,869.0,-0.275486,0.056506877
ABHD12,654.0,0.374654709,279.0,0.051666,-0.230062602
ABHD6,1639.0,0.384216096,505.0,0.02768,-0.285014122
ABR,2562.0,0.39474042,600.0,-0.071884,0.271334667
ABT1,2092.0,0.423473096,40.0,-0.492626,0.275559381
ACADVL,176.0,0.46877374,457.0,-1.192966,0.768671834
ACBD6,155.0,0.433964845,621.0,-0.663496,-0.090146732
ACIN1,584.0,0.404933544,328.0,-0.088391,-0.601022052
ACO1,4661.0,0.37721508,227.0,0.138113,1.395957209
ACOT11,1220.0,0.392289045,176.0,-0.518774,-0.503795461
ACOT9,4514.0,0.358892202,225.0,-0.105842,0.332043664
ACP2,814.0,0.411581374,548.0,0.364606,0.459820878
ACSF2,1484.0,0.405139059,501.0,-0.565263,0.647759821
ACSL1,1530.0,0.417966714,990.0,1.847042,2.263843825
ACSL5,1022.0,0.380976548,307.0,1.127439,0.442978038
ACTB,613.0,0.469768794,192.0,-0.223593,0.61170576
ACTL6A,452.0,0.409046191,387.0,-0.212303,0.272423391
ACTR1A,3151.0,0.432463663,108.0,0.410737,0.633896805
ADA,312.0,0.444091501,440.0,0.067335,0.829117379
ADD1,1928.0,0.439806775,863.0,-0.185425,0.700008581
ADPRH,2067.0,0.380088169,541.0,-0.19225,0.114839263
ADSSL1,320.0,0.393141878,776.0,1.11377,1.054238122
AGAP3,508.0,0.436856677,1584.0,0.587852,-0.449412404
AHNAK,842.0,0.382138706,300.0,0.136568,0.687783754
AHSA1,225.0,0.374296292,431.0,-0.154743,-0.145265004
AIF1,121.0,0.4069451,222.0,0.60316,0.304353152
AIFM2,1911.0,0.447982482,217.0,-0.118339,1.372297246
AK1,1528.0,0.389481519,153.0,0.33439,0.323049402
AK2,2893.0,0.384271636,345.0,0.12269,0.256045704
AKR1C2,3804.0,0.449591167,413.0,2.128843,2.388394285
AKR7A2,10996.0,0.385600504,22.0,-0.12162,-0.004220767
ALDH18A1,838.0,0.380333742,511.0,1.431158,0.530969592
ALDH3A2,2525.0,0.42484639,221.0,0.526412,0.424199842
ALDH6A1,4647.0,0.38708374,724.0,0.152904,1.074712318
ALG1,2498.0,0.432230555,181.0,0.346889,-1.019939695
ALG5,380.0,0.362014155,67.0,-0.087298,0.170425021
ALG9,4217.0,0.365461171,1107.0,0.023199,-1.701317594
AMBRA1,1041.0,0.36170155,362.0,-0.005313,-0.318869854
AMPD2,903.0,0.389224108,566.0,-0.318755,-0.493731705
AMPD3,1695.0,0.423686063,472.0,0.388673,0.008909068
ANAPC13,1361.0,0.393644021,731.0,0.210817,0.52984939
ANAPC5,235.0,0.390209877,197.0,-0.828227,0.083175492
ANKLE2,1737.0,0.418251419,90.0,-0.473109,-0.476503287
ANKRD16,135.0,0.465649334,543.0,-0.317822,-0.302937654
ANKRD35,249.0,0.402949835,108.0,0.320354,0.899192469
ANXA2,496.0,0.429738522,160.0,-0.408816,0.728443093
ANXA5,1441.0,0.418050335,165.0,0.375115,1.031208523
AP1B1,1153.0,0.424070668,187.0,0.684311,0.432547541
AP1M1,914.0,0.463388599,173.0,0.078634,0.265429796
APBA1,3797.0,0.387421148,276.0,-0.05201,-0.51132722
APIP,427.0,0.433104693,127.0,0.083687,0.138234154
APOBEC3C,1979.0,0.381716897,103.0,0.817807,0.341073809
APOBEC3G,322.0,0.410940579,404.0,0.880197,0.038198821
APOL2,1195.0,0.42932248,477.0,0.739813,-0.688208223
ARF6,2971.0,0.462806813,621.0,-0.164409,0.167331161
ARFIP2,2430.0,0.403729309,291.0,-0.620796,-0.310450528
ARHGAP17,2624.0,0.371011524,117.0,0.735752,0.815146431
ARHGAP30,773.0,0.384451823,645.0,1.590373,-0.052319806
ARHGEF10,1378.0,0.370244255,202.0,-0.416114,0.387894886
ARID2,3145.0,0.362288628,128.0,0.48524,-0.314756736
ARID3A,3881.0,0.411693449,290.0,0.66945,-0.567443053
ARIH2,3112.0,0.397061561,878.0,-0.478277,-0.023371496
ARL8A,1065.0,0.409602486,171.0,-0.434242,-0.002027539
ARRB1,6041.0,0.39512759,224.0,0.209531,0.456349466
ASF1B,950.0,0.395794233,172.0,0.253988,0.052746198
ASS1,1357.0,0.394201053,356.0,1.520535,1.573539534
ATPAF1,3039.0,0.439253133,510.0,-0.678696,0.861619022
BAG1,2764.0,0.431693656,501.0,-0.968319,-0.02752532
BAG3,537.0,0.387438444,306.0,-0.369779,-0.416071468
BASP1,971.0,0.520859146,259.0,0.32063,-1.356945246
BBS7,1531.0,0.408023089,184.0,0.364858,0.598907635
BCAT2,364.0,0.445598481,657.0,-0.855377,0.32472074
BCKDHB,3082.0,0.419736544,88.0,0.066424,1.187419017
BCL2,5279.0,0.374049285,493.0,-1.06231,-0.686582122
BCL2L13,4109.0,0.411790332,769.0,-0.626122,0.117061131
BID,4193.0,0.428633517,498.0,0.408552,0.332230599
BLVRA,3376.0,0.414260839,177.0,-0.157888,0.291320184
BOLA2,40.0,0.43059393,513.0,-0.513359,-0.386572857
BOLA3,383.0,0.406657227,38.0,0.112973,0.008190314
BRD2,787.0,0.377809737,2066.0,-0.329669,-0.4977922
BRD3,3285.0,0.401150236,188.0,0.774515,0.01588332
BSPRY,1091.0,0.380011644,48.0,-0.622344,-0.443599661
BST2,411.0,0.444557266,81.0,-0.442287,-1.710551811
BUB3,1535.0,0.421992618,242.0,-0.408115,0.061321108
C1QB,152.0,0.436596666,340.0,0.995536,0.535818129
C1QC,327.0,0.41150294,283.0,0.824795,-0.138956529
C2CD3,671.0,0.360398895,227.0,0.415917,-0.941903254
C3,5088.0,0.430632158,93.0,1.211747,1.22790833
CAP1,1134.0,0.406948565,416.0,0.222771,-0.10190355
CAPN1,720.0,0.455130071,197.0,-0.187464,0.06030229
CAPRIN1,5632.0,0.374918508,189.0,0.517335,0.036256762
CAPZB,5180.0,0.446052528,622.0,0.440105,-0.021666329
CARD16,437.0,0.41300235,27.0,0.043322,-0.82745639
CARHSP1,4898.0,0.362100245,360.0,0.347904,-0.01181476
CASC3,1778.0,0.370720542,295.0,2.43305,-0.620177314
CASP1,750.0,0.424742838,44.0,0.751527,0.792094892
CASP8,1794.0,0.376118708,303.0,0.607207,0.377342423
CAT,629.0,0.397270122,89.0,0.314988,1.370409096
CBL,8368.0,0.375957197,142.0,0.585532,0.155794077
CBLL1,3286.0,0.400851504,467.0,-0.047581,-1.13082251
CBR3,54.0,0.445176236,228.0,1.76678,0.879707692
CBS,4385.0,0.477784031,626.0,-1.432123,-2.036645212
CBX5,10815.0,0.390902295,318.0,1.263563,0.242860156
CBX8,2504.0,0.36735217,118.0,0.621442,-0.17414091
CCDC115,2169.0,0.385110507,452.0,-0.592145,0.378874356
CCDC58,2462.0,0.421830022,75.0,-0.254889,-0.088420659
CCDC88C,1302.0,0.396031427,154.0,0.925182,-0.606060882
CCL5,886.0,0.462166288,68.0,1.750671,0.209226247
CCNDBP1,2336.0,0.44393643,231.0,-0.663019,-0.170299359
CCS,4244.0,0.460896681,43.0,-0.418324,0.42937675
CCT3,238.0,0.457984718,231.0,-0.63474,0.180982344
CCT4,1361.0,0.393363555,164.0,0.416134,0.390039476
CD14,128.0,0.416321757,392.0,-0.091508,0.705045343
CD209,3046.0,0.440000747,67.0,1.587955,1.538429769
CD36,2894.0,0.410517795,414.0,1.553874,2.343676001
CD40,982.0,0.429065654,90.0,0.974705,-1.632088677
CD44,3115.0,0.39995987,434.0,-0.315069,-0.914631284
CD63,923.0,0.512738356,403.0,0.357302,-1.407306529
