,3prime,tAI,max_5_UTR_length,TCGA-A2-A0D2,TCGA-A2-A0D2.1
AAK1,17874.0,0.380718848,505.0,-0.701225,0.016704331
AATF,207.0,0.367011205,251.0,0.146545,0.15681881
ABCC1,1793.0,0.393368456,175.0,-0.537741,-0.209293089
ABCF3,5726.0,0.387768135,869.0,0.333691,0.10985511
ABHD12,654.0,0.374654709,279.0,0.873216,0.145082142
ABHD6,1639.0,0.384216096,505.0,-1.54932,-0.311940673
ABR,2562.0,0.39474042,600.0,-1.177297,-0.246909004
ABT1,2092.0,0.423473096,40.0,0.68202,0.212090907
ACADVL,176.0,0.46877374,457.0,-0.854453,-0.226129788
ACBD6,155.0,0.433964845,621.0,-0.496589,-0.106434613
ACIN1,584.0,0.404933544,328.0,0.011157,-0.164867041
ACO1,4661.0,0.37721508,227.0,0.116658,0.174696415
ACOT11,1220.0,0.392289045,176.0,-1.964862,0.261008151
ACOT9,4514.0,0.358892202,225.0,1.332491,0.67909211
ACP2,814.0,0.411581374,548.0,0.232266,-0.115087735
ACSF2,1484.0,0.405139059,501.0,-0.781048,-0.694148023
ACSL1,1530.0,0.417966714,990.0,-0.999596,-0.09096367
ACSL5,1022.0,0.380976548,307.0,-1.120239,-0.561218476
ACTB,613.0,0.469768794,192.0,0.660338,-0.087856642
ACTL6A,452.0,0.409046191,387.0,0.961479,0.086428458
ACTR1A,3151.0,0.432463663,108.0,0.169047,-0.124365026
ADA,312.0,0.444091501,440.0,-0.295812,0.106320119
ADAMDEC1,715.0,0.41564171,547.0,2.30579,0.381511389
ADD1,1928.0,0.439806775,863.0,-0.313347,-0.255047871
ADPRH,2067.0,0.380088169,541.0,-0.135585,0.145521304
ADSSL1,320.0,0.393141878,776.0,-3.258046,-0.396312225
AGAP3,508.0,0.436856677,1584.0,1.030873,0.277487012
AHNAK,842.0,0.382138706,300.0,-1.491952,-0.351835546
AHSA1,225.0,0.374296292,431.0,0.27381,0.145002783
AIF1,121.0,0.4069451,222.0,0.345151,-0.127049646
AIFM2,1911.0,0.447982482,217.0,0.300094,0.410049977
AK1,1528.0,0.389481519,153.0,-0.186,-0.569776469
AK2,2893.0,0.384271636,345.0,-0.211847,-0.390614863
AKR1C2,3804.0,0.449591167,413.0,3.209713,-0.318668587
