,3prime,tAI,max_5_UTR_length,TCGA-AR-A0TT,TCGA-AR-A0TT.1
AAK1,17874.0,0.380718848,505.0,0.185289,0.144648167
AATF,207.0,0.367011205,251.0,1.519752,0.282255668
ABCC1,1793.0,0.393368456,175.0,0.078847,0.046768104
ABCF3,5726.0,0.387768135,869.0,0.020119,-0.037028058
ABHD12,654.0,0.374654709,279.0,-0.051952,0.065290934
ABHD6,1639.0,0.384216096,505.0,-0.484004,0.110141926
ABR,2562.0,0.39474042,600.0,0.926825,0.337845836
ABT1,2092.0,0.423473096,40.0,-0.04151,0.284148584
ACADVL,176.0,0.46877374,457.0,-0.169867,-0.243272412
ACBD6,155.0,0.433964845,621.0,-0.240572,0.019824207
ACIN1,584.0,0.404933544,328.0,0.100856,-0.021951863
ACO1,4661.0,0.37721508,227.0,0.137195,0.04990749
ACOT11,1220.0,0.392289045,176.0,0.766431,-0.05780514
ACOT9,4514.0,0.358892202,225.0,0.14309,0.149259159
ACP2,814.0,0.411581374,548.0,0.309525,-0.451413396
ACSF2,1484.0,0.405139059,501.0,-0.702645,-0.335658286
ACSL1,1530.0,0.417966714,990.0,-0.622908,0.029288318
ACSL5,1022.0,0.380976548,307.0,0.59754,0.170765563
ACTB,613.0,0.469768794,192.0,0.273287,-0.133399531
ACTL6A,452.0,0.409046191,387.0,0.04298,0.000216514
ACTR1A,3151.0,0.432463663,108.0,0.266351,0.128224983
ADA,312.0,0.444091501,440.0,0.696339,0.591828486
ADD1,1928.0,0.439806775,863.0,0.025427,0.16149767
ADPRH,2067.0,0.380088169,541.0,0.43557,0.481112558
ADSSL1,320.0,0.393141878,776.0,-1.841481,-0.528116599
AGAP3,508.0,0.436856677,1584.0,0.329751,0.053540747
AHNAK,842.0,0.382138706,300.0,0.037725,-0.160763486
AHSA1,225.0,0.374296292,431.0,-0.389435,-0.274674991
AIF1,121.0,0.4069451,222.0,1.405675,0.683919295
AIFM2,1911.0,0.447982482,217.0,0.654686,0.290624487
AK1,1528.0,0.389481519,153.0,-0.410959,-0.38716279
AK2,2893.0,0.384271636,345.0,-0.030505,-0.195653974
AKR1C2,3804.0,0.449591167,413.0,0.027147,-0.125300951
AKR7A2,10996.0,0.385600504,22.0,0.455167,-0.219356585
ALDH18A1,838.0,0.380333742,511.0,-0.31539,-0.384833423
ALDH3A2,2525.0,0.42484639,221.0,-1.639746,-0.631885093
ALDH6A1,4647.0,0.38708374,724.0,-0.87858,-0.512820412
ALG1,2498.0,0.432230555,181.0,-0.530713,0.350777086
ALG5,380.0,0.362014155,67.0,0.211751,0.792228864
ALG9,4217.0,0.365461171,1107.0,-0.184081,0.511891214
ALOX5AP,976.0,0.392577632,248.0,1.150457,1.288447036
AMBRA1,1041.0,0.36170155,362.0,-0.210321,-0.205585283
AMPD2,903.0,0.389224108,566.0,-0.768075,-0.053104952
AMPD3,1695.0,0.423686063,472.0,1.129564,0.835647303
ANAPC13,1361.0,0.393644021,731.0,-0.394698,0.395102159
ANAPC5,235.0,0.390209877,197.0,0.043404,0.145019599
ANKLE2,1737.0,0.418251419,90.0,-0.022252,0.13645106
ANKRD16,135.0,0.465649334,543.0,0.267054,0.197029363
ANKRD35,249.0,0.402949835,108.0,-1.071861,-0.349527927
ANXA2,496.0,0.429738522,160.0,0.354202,-0.078874158
ANXA5,1441.0,0.418050335,165.0,-0.121857,0.012003073
AP1B1,1153.0,0.424070668,187.0,0.192674,-0.024293997
AP1M1,914.0,0.463388599,173.0,0.093912,0.097204441
APBA1,3797.0,0.387421148,276.0,-0.966411,-0.72269828
APIP,427.0,0.433104693,127.0,0.413501,0.242866923
APOBEC3B,339.0,0.43450554,55.0,-0.657318,-0.884421749
APOBEC3C,1979.0,0.381716897,103.0,2.051462,0.837210248
APOBEC3G,322.0,0.410940579,404.0,1.694914,0.871469386
APOL2,1195.0,0.42932248,477.0,1.30425,0.721812561
ARF6,2971.0,0.462806813,621.0,0.034423,-0.227097621
ARFIP2,2430.0,0.403729309,291.0,-0.458038,-0.309651712
ARHGAP17,2624.0,0.371011524,117.0,0.043713,0.09260635
ARHGAP30,773.0,0.384451823,645.0,2.483867,0.920979854
ARHGEF10,1378.0,0.370244255,202.0,-0.894233,-0.180905244
ARID2,3145.0,0.362288628,128.0,-0.117754,-0.084918484
ARID3A,3881.0,0.411693449,290.0,1.615242,0.717850566
ARIH2,3112.0,0.397061561,878.0,-0.058268,0.177105139
ARL8A,1065.0,0.409602486,171.0,0.389449,0.079980145
ARRB1,6041.0,0.39512759,224.0,0.823547,0.022159149
ASF1B,950.0,0.395794233,172.0,-0.475887,-0.365516142
ASS1,1357.0,0.394201053,356.0,0.754709,-0.059905337
ATPAF1,3039.0,0.439253133,510.0,-0.333369,-0.353403941
ATRIP,162.0,0.417082642,462.0,-0.361343,-0.164811582
AXL,1863.0,0.417061167,376.0,0.777891,0.399680188
BAG1,2764.0,0.431693656,501.0,0.160141,-0.172310192
BAG3,537.0,0.387438444,306.0,-1.951776,-0.511995893
BASP1,971.0,0.520859146,259.0,1.027611,0.420154117
BBS7,1531.0,0.408023089,184.0,-0.39569,-0.06851208
BCAT2,364.0,0.445598481,657.0,-0.658022,-0.28494035
BCKDHB,3082.0,0.419736544,88.0,-0.365409,-0.239463943
BCL2,5279.0,0.374049285,493.0,-0.504059,-0.049392651
BCL2L13,4109.0,0.411790332,769.0,-0.538622,-0.387970379
BID,4193.0,0.428633517,498.0,-0.009488,-0.078921241
BLVRA,3376.0,0.414260839,177.0,-0.309102,-0.337963395
BOLA2,40.0,0.43059393,513.0,0.549948,0.306626726
BOLA3,383.0,0.406657227,38.0,-0.35996,0.054933839
BRD2,787.0,0.377809737,2066.0,0.43257,0.046100415
BRD3,3285.0,0.401150236,188.0,1.005064,0.483049142
BRI3BP,5801.0,0.359622664,143.0,0.393469,0.847933935
BSPRY,1091.0,0.380011644,48.0,1.441232,0.180023532
BST2,411.0,0.444557266,81.0,0.244155,0.107423008
BUB3,1535.0,0.421992618,242.0,0.056298,-0.122203953
C1QB,152.0,0.436596666,340.0,1.543325,0.234424268
C1QC,327.0,0.41150294,283.0,1.288074,0.161776038
C2CD3,671.0,0.360398895,227.0,0.763863,-0.383803778
C3,5088.0,0.430632158,93.0,1.655842,0.133252228
CAP1,1134.0,0.406948565,416.0,0.315436,0.069612747
CAPN1,720.0,0.455130071,197.0,-0.119316,-0.087840244
CAPRIN1,5632.0,0.374918508,189.0,0.298289,0.095858776
CAPZB,5180.0,0.446052528,622.0,0.736146,0.226205475
CARD16,437.0,0.41300235,27.0,0.478835,0.729531353
CARHSP1,4898.0,0.362100245,360.0,-0.433075,-0.276568539
CASC3,1778.0,0.370720542,295.0,-0.381602,-0.174209737
CASP1,750.0,0.424742838,44.0,0.907385,0.591498194
CASP8,1794.0,0.376118708,303.0,0.48221,0.171804112
CAT,629.0,0.397270122,89.0,-0.099951,-0.275664999
CBL,8368.0,0.375957197,142.0,0.21186,0.156043272
CBLL1,3286.0,0.400851504,467.0,-0.069788,0.051894466
CBR3,54.0,0.445176236,228.0,-0.480377,-0.536226759
CBS,4385.0,0.477784031,626.0,-2.090574,-1.554334547
CBX5,10815.0,0.390902295,318.0,0.041501,0.252313164
CBX8,2504.0,0.36735217,118.0,0.564247,-0.044416607
CCDC115,2169.0,0.385110507,452.0,0.230243,0.494100092
CCDC125,2554.0,0.359965106,322.0,-0.2683,0.167072381
CCDC58,2462.0,0.421830022,75.0,-0.290889,-0.245754481
CCDC88C,1302.0,0.396031427,154.0,1.475421,0.441163249
CCL5,886.0,0.462166288,68.0,2.042843,0.67117733
CCNA2,1206.0,0.409154498,373.0,-0.094265,-0.172769057
CCNB2,168.0,0.374401461,184.0,0.071575,-0.294223211
CCNDBP1,2336.0,0.44393643,231.0,0.353075,0.16870506
CCS,4244.0,0.460896681,43.0,-0.061752,-0.331564522
CCT3,238.0,0.457984718,231.0,-0.670954,-0.19609762
CCT4,1361.0,0.393363555,164.0,0.105495,-0.154380211
CD14,128.0,0.416321757,392.0,0.925663,0.081112743
CD209,3046.0,0.440000747,67.0,0.992203,0.100158333
CD36,2894.0,0.410517795,414.0,0.286461,0.890435065
CD40,982.0,0.429065654,90.0,1.5133,0.939546834
CD44,3115.0,0.39995987,434.0,0.871958,0.523579651
CD63,923.0,0.512738356,403.0,-0.315495,-0.643395003
CD74,635.0,0.427357309,187.0,1.649112,0.873314454
CDC25C,437.0,0.364786128,387.0,0.266799,-0.104237063
CDC26,271.0,0.395637029,359.0,0.167711,-0.00311602
CDC34,560.0,0.46431386,199.0,-0.375871,-0.173942337
