,3prime,tAI,max_5_UTR_length,TCGA-BH-A18Q,TCGA-BH-A18Q.1
AAK1,17874.0,0.380718848,505.0,-0.092099,0.151394136
AATF,207.0,0.367011205,251.0,-0.308821,0.023968775
ABCC1,1793.0,0.393368456,175.0,0.203354,-0.006017495
ABCF3,5726.0,0.387768135,869.0,-0.418929,-0.187687267
ABHD12,654.0,0.374654709,279.0,-0.000979,-0.218138705
ABHD6,1639.0,0.384216096,505.0,-1.221965,-0.037115812
ABR,2562.0,0.39474042,600.0,-0.666583,-0.052333093
ABT1,2092.0,0.423473096,40.0,0.361431,-0.167338734
ACADVL,176.0,0.46877374,457.0,-0.355116,0.029540491
ACBD6,155.0,0.433964845,621.0,0.229501,-0.019646831
ACIN1,584.0,0.404933544,328.0,-0.143922,-0.321252413
ACO1,4661.0,0.37721508,227.0,-0.126282,0.15231105
ACOT11,1220.0,0.392289045,176.0,0.617771,0.016592028
ACOT9,4514.0,0.358892202,225.0,0.165556,0.69945963
ACP2,814.0,0.411581374,548.0,-1.024127,-0.295095712
ACSF2,1484.0,0.405139059,501.0,-1.007827,-0.534227
ACSL1,1530.0,0.417966714,990.0,0.38666,0.300429019
ACSL5,1022.0,0.380976548,307.0,1.008712,0.395284787
ACTB,613.0,0.469768794,192.0,-0.009053,-0.276493659
ACTL6A,452.0,0.409046191,387.0,0.957801,0.096922169
ACTR1A,3151.0,0.432463663,108.0,-0.650741,-0.111936073
ADA,312.0,0.444091501,440.0,-1.104161,0.207827737
ADAMDEC1,715.0,0.41564171,547.0,-0.067988,-0.303126598
ADD1,1928.0,0.439806775,863.0,-0.369198,0.139715778
ADPRH,2067.0,0.380088169,541.0,0.841228,0.564312632
ADSSL1,320.0,0.393141878,776.0,-2.038309,-0.782012588
AGAP3,508.0,0.436856677,1584.0,-1.126836,-0.286749562
AHNAK,842.0,0.382138706,300.0,-0.286686,-0.131862995
AHSA1,225.0,0.374296292,431.0,-0.577958,-0.107466928
AIF1,121.0,0.4069451,222.0,-0.014873,0.7773783
AIFM2,1911.0,0.447982482,217.0,-0.594754,0.133612746
AK1,1528.0,0.389481519,153.0,-1.173381,-0.471976465
AK2,2893.0,0.384271636,345.0,1.11929,0.258447366
AKR1C2,3804.0,0.449591167,413.0,0.979562,-0.549947137
AKR7A2,10996.0,0.385600504,22.0,-0.399363,-0.351054641
ALDH18A1,838.0,0.380333742,511.0,-0.145067,-0.232716497
ALDH3A2,2525.0,0.42484639,221.0,-0.54566,0.005127472
ALDH6A1,4647.0,0.38708374,724.0,0.136148,-0.116803177
ALG1,2498.0,0.432230555,181.0,-0.202457,-0.300070934
ALG5,380.0,0.362014155,67.0,-0.399513,0.114907013
ALG9,4217.0,0.365461171,1107.0,0.096552,-0.535437892
ALOX5AP,976.0,0.392577632,248.0,0.594434,1.072593437
AMBRA1,1041.0,0.36170155,362.0,-0.296577,-0.351935863
AMPD2,903.0,0.389224108,566.0,0.00785,0.089118939
AMPD3,1695.0,0.423686063,472.0,-0.748319,0.386579524
ANAPC13,1361.0,0.393644021,731.0,0.149434,-0.378932445
ANAPC5,235.0,0.390209877,197.0,0.3392,0.051484073
ANKLE2,1737.0,0.418251419,90.0,0.149452,-0.059086424
ANKRD16,135.0,0.465649334,543.0,-0.098718,0.192845048
ANKRD35,249.0,0.402949835,108.0,0.760459,-0.047973265
ANXA2,496.0,0.429738522,160.0,-1.05958,-0.275012743
ANXA5,1441.0,0.418050335,165.0,-0.235304,-0.204824569
AP1B1,1153.0,0.424070668,187.0,0.845516,0.363446734
AP1M1,914.0,0.463388599,173.0,-0.15693,0.211493025
APBA1,3797.0,0.387421148,276.0,1.702172,0.420698231
APIP,427.0,0.433104693,127.0,0.134528,-0.160284102
APOBEC3B,339.0,0.43450554,55.0,1.348705,0.140282055
APOBEC3C,1979.0,0.381716897,103.0,-0.239667,0.737607904
APOBEC3G,322.0,0.410940579,404.0,0.145122,0.709735767
APOL2,1195.0,0.42932248,477.0,0.602916,0.087889245
ARF6,2971.0,0.462806813,621.0,-0.327183,-0.21363722
ARFIP2,2430.0,0.403729309,291.0,-0.704891,-0.488281144
ARHGAP17,2624.0,0.371011524,117.0,0.036321,0.223816234
ARHGAP30,773.0,0.384451823,645.0,0.640603,0.600992719
ARHGEF10,1378.0,0.370244255,202.0,0.941913,0.389747278
ARID2,3145.0,0.362288628,128.0,-0.114582,-0.089692194
ARID3A,3881.0,0.411693449,290.0,-0.864126,-0.133048997
ARIH2,3112.0,0.397061561,878.0,-0.06433,-0.049064762
ARL8A,1065.0,0.409602486,171.0,-0.341871,0.32636172
ARRB1,6041.0,0.39512759,224.0,-0.831054,-0.268340594
ASF1B,950.0,0.395794233,172.0,0.705515,0.025751315
ASS1,1357.0,0.394201053,356.0,0.023219,-0.149311498
ATPAF1,3039.0,0.439253133,510.0,-0.385131,-0.007837168
ATRIP,162.0,0.417082642,462.0,-0.783417,1.438890136
AXL,1863.0,0.417061167,376.0,-0.587044,-0.143348053
B4GALT7,4483.0,0.433879574,93.0,-0.920677,-0.031426716
BAG1,2764.0,0.431693656,501.0,-0.710813,-0.194442166
BAG3,537.0,0.387438444,306.0,-0.47116,-0.553152998
BASP1,971.0,0.520859146,259.0,0.259087,-0.852621172
BBS7,1531.0,0.408023089,184.0,-0.191982,0.040433379
BCAT2,364.0,0.445598481,657.0,0.331297,-0.100998912
BCKDHB,3082.0,0.419736544,88.0,1.514731,0.78780236
BCL2,5279.0,0.374049285,493.0,1.464214,-0.218801978
BCL2L13,4109.0,0.411790332,769.0,0.558101,-0.015524877
BID,4193.0,0.428633517,498.0,0.193816,0.347770663
BLVRA,3376.0,0.414260839,177.0,-2.102631,-0.46281216
BOLA2,40.0,0.43059393,513.0,-0.200473,-0.171725202
BOLA3,383.0,0.406657227,38.0,-0.072723,0.219230148
BRD2,787.0,0.377809737,2066.0,0.407723,0.037398125
BRD3,3285.0,0.401150236,188.0,-0.557005,-0.16269962
BRI3BP,5801.0,0.359622664,143.0,0.303338,-1.212499276
BSPRY,1091.0,0.380011644,48.0,0.293119,-0.626019813
BST2,411.0,0.444557266,81.0,-0.708116,-0.407667064
BUB3,1535.0,0.421992618,242.0,-0.033906,0.063416928
C1QB,152.0,0.436596666,340.0,0.361235,0.3786444
C1QC,327.0,0.41150294,283.0,0.573867,0.279204623
C2CD3,671.0,0.360398895,227.0,0.354868,-0.990912908
C3,5088.0,0.430632158,93.0,2.055942,0.131948296
CAP1,1134.0,0.406948565,416.0,-0.330131,-0.112415998
CAPN1,720.0,0.455130071,197.0,-0.211328,-0.053274119
CAPRIN1,5632.0,0.374918508,189.0,-0.096326,-0.069738444
CAPZB,5180.0,0.446052528,622.0,-0.3733,-0.029677811
CARD16,437.0,0.41300235,27.0,0.800711,0.831304742
CARHSP1,4898.0,0.362100245,360.0,1.021898,-0.391686252
CASC3,1778.0,0.370720542,295.0,0.092543,-0.830154358
CASP1,750.0,0.424742838,44.0,1.013681,0.992193483
CASP8,1794.0,0.376118708,303.0,-0.444967,0.182081051
CAT,629.0,0.397270122,89.0,0.043451,-0.46499961
CBL,8368.0,0.375957197,142.0,0.970419,0.441104232
CBLL1,3286.0,0.400851504,467.0,-0.518736,-0.107480651
CBR3,54.0,0.445176236,228.0,0.430244,0.277935457
CBS,4385.0,0.477784031,626.0,3.550734,1.016706403
CBX5,10815.0,0.390902295,318.0,1.184544,0.511846296
CBX8,2504.0,0.36735217,118.0,0.508599,0.493647905
CCDC115,2169.0,0.385110507,452.0,-0.990223,-0.007557021
CCDC125,2554.0,0.359965106,322.0,-0.054036,-0.946808679
CCDC58,2462.0,0.421830022,75.0,0.154247,0.002928624
CCDC88C,1302.0,0.396031427,154.0,-1.37272,-0.690740565
CCL5,886.0,0.462166288,68.0,1.178974,-0.073197924
