,3prime,tAI,max_5_UTR_length,TCGA-AO-A0JC,TCGA-AO-A0JC.1
AAK1,17874.0,0.380718848,505.0,0.90252,-0.12760111
AATF,207.0,0.367011205,251.0,0.386631,-0.274031324
ABCC1,1793.0,0.393368456,175.0,0.736403,0.222206344
ABCF3,5726.0,0.387768135,869.0,-0.256715,-0.055811505
ABHD12,654.0,0.374654709,279.0,-0.652072,-0.155811035
ABHD6,1639.0,0.384216096,505.0,0.722729,-0.053169033
ABR,2562.0,0.39474042,600.0,0.23719,0.182735794
ABT1,2092.0,0.423473096,40.0,0.61111,-0.525478447
ACADVL,176.0,0.46877374,457.0,0.811865,0.359018549
ACBD6,155.0,0.433964845,621.0,-0.567913,-0.097394942
ACIN1,584.0,0.404933544,328.0,0.564648,0.033773775
ACO1,4661.0,0.37721508,227.0,-0.182757,0.671389254
ACOT11,1220.0,0.392289045,176.0,0.318029,1.158256553
ACOT9,4514.0,0.358892202,225.0,0.29932,-0.155084399
ACP2,814.0,0.411581374,548.0,-0.00976,0.691574303
ACSF2,1484.0,0.405139059,501.0,-0.446373,0.144978318
ACSL1,1530.0,0.417966714,990.0,-0.80114,-0.904201778
ACSL5,1022.0,0.380976548,307.0,1.935728,-0.360216532
ACTB,613.0,0.469768794,192.0,0.88756,-0.194835062
ACTL6A,452.0,0.409046191,387.0,-0.272235,-0.075828979
ACTR1A,3151.0,0.432463663,108.0,-0.194926,-0.127300487
ADA,312.0,0.444091501,440.0,2.073948,-0.020869936
ADD1,1928.0,0.439806775,863.0,0.094757,-0.04776083
ADPRH,2067.0,0.380088169,541.0,1.169919,0.015833724
ADSSL1,320.0,0.393141878,776.0,-1.592864,-0.503010953
AGAP3,508.0,0.436856677,1584.0,-0.447093,-0.129616542
AHNAK,842.0,0.382138706,300.0,-0.539918,0.367755454
AHSA1,225.0,0.374296292,431.0,-0.126152,-0.30934407
AIF1,121.0,0.4069451,222.0,1.63748,0.02127547
AIFM2,1911.0,0.447982482,217.0,-0.070787,0.088957147
AK1,1528.0,0.389481519,153.0,-0.43207,0.064580279
AK2,2893.0,0.384271636,345.0,0.215572,-0.03312109
AKR1C2,3804.0,0.449591167,413.0,3.382885,-0.765527086
AKR7A2,10996.0,0.385600504,22.0,-0.645873,0.716854701
ALDH18A1,838.0,0.380333742,511.0,-0.840713,-0.069652997
ALDH3A2,2525.0,0.42484639,221.0,0.056839,1.254184337
ALDH6A1,4647.0,0.38708374,724.0,-1.222211,0.497463048
ALG1,2498.0,0.432230555,181.0,-0.619797,0.433273568
ALG5,380.0,0.362014155,67.0,-0.189448,0.470107243
ALG9,4217.0,0.365461171,1107.0,-0.185501,0.393014026
AMBRA1,1041.0,0.36170155,362.0,-0.247368,-0.340255221
AMPD2,903.0,0.389224108,566.0,0.068031,0.272887758
AMPD3,1695.0,0.423686063,472.0,2.212724,0.160980931
ANAPC13,1361.0,0.393644021,731.0,-0.195749,-0.027080016
ANAPC5,235.0,0.390209877,197.0,0.387291,0.181018577
ANKLE2,1737.0,0.418251419,90.0,0.207219,0.025735767
ANKRD16,135.0,0.465649334,543.0,-0.361265,0.114981972
ANKRD35,249.0,0.402949835,108.0,-0.280396,-0.806362006
ANXA2,496.0,0.429738522,160.0,-0.948325,0.11084754
ANXA5,1441.0,0.418050335,165.0,-0.278654,-0.31907239
AP1B1,1153.0,0.424070668,187.0,0.51575,0.128340926
AP1M1,914.0,0.463388599,173.0,0.746214,0.26724064
APBA1,3797.0,0.387421148,276.0,-0.689516,-0.476324753
APIP,427.0,0.433104693,127.0,0.321933,0.395857849
APOBEC3C,1979.0,0.381716897,103.0,2.63835,-0.082630072
APOBEC3G,322.0,0.410940579,404.0,3.117995,-0.324156925
APOL2,1195.0,0.42932248,477.0,0.767086,0.078219255
ARF6,2971.0,0.462806813,621.0,0.352894,-0.131727409
ARFIP2,2430.0,0.403729309,291.0,-0.663064,0.426016884
ARHGAP17,2624.0,0.371011524,117.0,1.253693,0.100567966
ARHGAP30,773.0,0.384451823,645.0,3.427094,0.408679112
ARHGEF10,1378.0,0.370244255,202.0,-0.658335,-0.187171479
ARID2,3145.0,0.362288628,128.0,0.033816,0.209210813
ARID3A,3881.0,0.411693449,290.0,0.414088,0.119740618
ARIH2,3112.0,0.397061561,878.0,0.407618,0.030870846
ARL8A,1065.0,0.409602486,171.0,-0.518352,-0.00951798
ARRB1,6041.0,0.39512759,224.0,-0.587114,0.812678379
ASF1B,950.0,0.395794233,172.0,0.119062,-0.633021035
ASS1,1357.0,0.394201053,356.0,-1.582688,-1.447680127
ATPAF1,3039.0,0.439253133,510.0,-0.068962,-0.377069386
BAG1,2764.0,0.431693656,501.0,-0.629904,0.735898362
BAG3,537.0,0.387438444,306.0,-0.630776,0.69170326
BASP1,971.0,0.520859146,259.0,1.653329,-0.252018219
BBS7,1531.0,0.408023089,184.0,-0.034161,-0.009182338
BCAT2,364.0,0.445598481,657.0,-0.543171,-0.304163604
BCKDHB,3082.0,0.419736544,88.0,-0.063393,0.464466662
BCL2,5279.0,0.374049285,493.0,0.657476,0.601602207
BCL2L13,4109.0,0.411790332,769.0,-0.180701,0.464751427
BID,4193.0,0.428633517,498.0,0.433453,-0.145115366
BLVRA,3376.0,0.414260839,177.0,0.323478,0.722697052
BOLA2,40.0,0.43059393,513.0,-0.013417,0.185486782
BOLA3,383.0,0.406657227,38.0,-0.337364,-0.009902217
BRD2,787.0,0.377809737,2066.0,0.29357,-0.022466333
BRD3,3285.0,0.401150236,188.0,-0.417622,0.084236067
BSPRY,1091.0,0.380011644,48.0,-2.159794,1.210795568
BST2,411.0,0.444557266,81.0,-0.352795,0.718890576
BUB3,1535.0,0.421992618,242.0,0.500457,0.095467901
C1QB,152.0,0.436596666,340.0,0.448407,-0.357261194
C1QC,327.0,0.41150294,283.0,0.619707,-0.224021492
C2CD3,671.0,0.360398895,227.0,0.215896,0.25940029
C3,5088.0,0.430632158,93.0,2.575256,-0.624185225
CAP1,1134.0,0.406948565,416.0,0.58209,0.214487882
CAPN1,720.0,0.455130071,197.0,-0.302019,0.318395977
CAPRIN1,5632.0,0.374918508,189.0,-0.686545,-0.081363818
CAPZB,5180.0,0.446052528,622.0,0.579563,0.369815611
CARD16,437.0,0.41300235,27.0,2.608868,0.372207872
CARHSP1,4898.0,0.362100245,360.0,-0.122041,0.035918266
CASC3,1778.0,0.370720542,295.0,-0.319974,-0.066682084
CASP1,750.0,0.424742838,44.0,1.965511,-0.070163951
CASP8,1794.0,0.376118708,303.0,1.674746,0.066116757
CAT,629.0,0.397270122,89.0,0.339883,0.161155692
CBL,8368.0,0.375957197,142.0,1.244913,0.146198807
CBLL1,3286.0,0.400851504,467.0,0.153615,0.136742804
CBR3,54.0,0.445176236,228.0,-0.322698,-0.715586572
CBS,4385.0,0.477784031,626.0,-1.557544,-1.659802481
CBX5,10815.0,0.390902295,318.0,-0.040612,0.208378558
CBX8,2504.0,0.36735217,118.0,-0.361591,-0.433546207
CCDC115,2169.0,0.385110507,452.0,0.357795,-0.270942344
CCDC58,2462.0,0.421830022,75.0,-0.121378,-0.053874195
CCDC88C,1302.0,0.396031427,154.0,1.393468,0.5017915
CCL5,886.0,0.462166288,68.0,4.136667,0.147508954
CCNDBP1,2336.0,0.44393643,231.0,0.763442,-0.044860017
CCS,4244.0,0.460896681,43.0,0.538742,0.289218283
CCT3,238.0,0.457984718,231.0,-0.928299,0.417857945
CCT4,1361.0,0.393363555,164.0,-0.352023,0.414808614
CD14,128.0,0.416321757,392.0,0.727872,0.216909985
CD209,3046.0,0.440000747,67.0,3.389259,0.17407659
CD36,2894.0,0.410517795,414.0,1.873126,-0.207257847
CD40,982.0,0.429065654,90.0,3.014089,0.362010182
CD44,3115.0,0.39995987,434.0,0.995823,0.734948759
CD63,923.0,0.512738356,403.0,-0.361322,-0.043344334
CD74,635.0,0.427357309,187.0,2.556299,0.12573729
CDC25C,437.0,0.364786128,387.0,-0.620132,-0.536209819
CDC26,271.0,0.395637029,359.0,0.715972,0.076606332
CDC34,560.0,0.46431386,199.0,-0.342658,-0.535249085
CDC42EP3,3941.0,0.420378821,1009.0,1.213569,-0.389636779
CDIPT,1864.0,0.442654716,541.0,-0.602849,0.157866131
CDK1,2313.0,0.398329505,154.0,-0.280881,-1.189142572
CDK19,4557.0,0.421511824,180.0,0.121157,-0.168907669
CDK2AP1,766.0,0.439144625,522.0,-1.07952,0.004310149
CDK5RAP2,367.0,0.371069462,192.0,0.008264,0.073325277
CDK5RAP3,284.0,0.469750898,1791.0,1.110508,-0.004128546
CDKAL1,1365.0,0.417875209,167.0,0.334254,-0.006866601
CDKN2AIPNL,3639.0,0.409801696,53.0,0.301922,-0.405750369
CDKN2C,2247.0,0.381912025,1216.0,-0.173307,0.205948387
CENPV,301.0,0.385948267,62.0,-0.368455,-0.971051346
CEP55,939.0,0.397841874,304.0,-0.000257,-0.288984207
CES3,2100.0,0.377378956,446.0,-2.016307,-0.244661474
CETN2,868.0,0.433727498,47.0,-0.690936,0.343709733
CFL1,677.0,0.502791,234.0,0.130104,-0.217419321
CHAC2,786.0,0.395629742,277.0,1.185453,0.050650142
CHCHD4,3528.0,0.445497334,326.0,-0.580359,-0.573987861
CHMP4A,296.0,0.447100154,262.0,0.238069,0.313736693
CHMP5,1241.0,0.442987983,200.0,-0.325763,0.15252382
CHMP6,980.0,0.489861105,78.0,0.171958,0.413445116
CIAPIN1,1024.0,0.451663323,242.0,-0.267495,-0.263277032
CISD2,5376.0,0.433298698,107.0,-0.369079,0.517218419
CKAP4,2872.0,0.386259817,84.0,-1.748626,-0.49759187
CKS2,300.0,0.317949998,98.0,-0.337601,0.008727897
CLCC1,5185.0,0.369704467,150.0,-0.433952,0.723816572
CLCN7,1698.0,0.459147749,110.0,-0.079297,0.276861022
CLIC1,290.0,0.4571302,573.0,0.097968,0.040354856
CLK2,350.0,0.410673686,925.0,0.740927,0.094810098
CLK3,1233.0,0.4268607,461.0,0.847777,0.013547071
CLPTM1,458.0,0.383990827,351.0,-0.302345,0.584226329
CLTA,288.0,0.450950874,514.0,-0.362262,0.086812921
CLTB,319.0,0.48548545,210.0,0.233708,0.441264406
CLTC,3104.0,0.384957863,443.0,-0.940232,0.259630099
CNBP,6850.0,0.433298698,206.0,0.441108,-0.049621891
CNPY2,123.0,0.392778455,553.0,-0.506447,-0.006108714
CNPY3,1042.0,0.459231502,584.0,1.052181,-0.17913661
COG3,1967.0,0.414689223,142.0,0.264363,0.314233213
COMMD1,306.0,0.423842833,138.0,-0.419515,0.065725329
COMMD3,431.0,0.360487018,35.0,0.191102,-0.08008856
COMMD5,498.0,0.445713337,399.0,-0.372582,0.051020343
COMMD6,1375.0,0.396967837,328.0,0.706901,-0.109104469
COMMD9,2340.0,0.418062772,89.0,0.123704,0.023735804
COPB1,446.0,0.381738818,307.0,-0.287362,0.361284511
COPE,165.0,0.478760693,55.0,-0.009292,0.241142243
COQ6,671.0,0.374062527,159.0,0.000764,-0.581121871
COQ7,5700.0,0.42379098,133.0,-1.070935,-0.158537352
CORO1A,112.0,0.457388252,435.0,4.676019,0.732025143
COX17,1735.0,0.484254073,86.0,0.117159,-0.359783386
COX5A,860.0,0.429944966,140.0,-0.120276,0.051037968
COX7A2,302.0,0.441893926,98.0,-0.579221,0.236847496
CPSF4,923.0,0.452412439,277.0,0.186481,-0.01444177
CPT1A,2761.0,0.374132033,170.0,0.217876,0.454902391
CPT2,602.0,0.431256564,515.0,-0.34742,0.285879863
CRCP,8457.0,0.390198146,145.0,-0.517364,0.024324442
CRKL,3904.0,0.422225684,509.0,0.270525,0.31199686
CRTAP,5601.0,0.446308827,120.0,-0.382883,-0.663651709
CRTC3,3205.0,0.355982524,186.0,0.689403,0.288860744
CRYL1,462.0,0.386242786,79.0,-0.324694,-0.337778288
CSRP1,1183.0,0.493833101,217.0,-1.149195,-0.666882806
CST3,2762.0,0.475763324,186.0,0.752323,0.224583004
CSTF2,1931.0,0.372934478,58.0,0.022823,0.084875069
CTBP1,800.0,0.464034004,393.0,0.603542,0.084209177
CTNNA1,1216.0,0.412513324,1103.0,-1.422605,0.233759711
CTNNB1,1106.0,0.432073699,448.0,-1.151299,0.182959188
CTNNBIP1,2448.0,0.394834327,307.0,-0.97001,-0.501218589
CTPS2,1870.0,0.416273085,744.0,-1.38427,-0.080919649
CTSG,119.0,0.369503415,37.0,3.812404,-0.083866587
CTSH,1072.0,0.446467856,1192.0,1.445947,-0.645736805
CUEDC1,2047.0,0.374410739,719.0,-1.77717,0.250431816
CUX1,1040.0,0.395555213,127.0,-0.523688,0.162434809
CXCL10,814.0,0.410287201,105.0,1.817605,-0.637016605
CXCL9,2323.0,0.403736618,74.0,5.625884,-0.08440306
CYBB,2544.0,0.418993019,61.0,2.398809,0.263319745
CYTH4,1837.0,0.406296106,377.0,3.046535,0.235942196
DAB2,1757.0,0.368483127,531.0,0.712901,-0.090083417
DAGLB,721.0,0.377719723,170.0,-0.22407,0.144328027
DAP3,768.0,0.366492687,184.0,-0.343128,-0.360345641
DAPP1,2082.0,0.348655603,90.0,2.667381,0.10243373
DBI,233.0,0.467027529,479.0,-0.382694,-0.035774487
DCAF8,1877.0,0.380310979,212.0,0.089496,0.106694235
DCP1A,4153.0,0.411936399,381.0,0.282381,-0.039324367
DCPS,4731.0,0.375605648,329.0,0.775672,0.144367169
DCTN5,10597.0,0.443116252,177.0,-0.592787,0.110692009
DDAH2,653.0,0.361046801,1104.0,-0.372926,0.292507226
DDB2,1223.0,0.43604051,195.0,1.010365,0.569137162
DDX23,713.0,0.445931172,91.0,-0.1395,-0.034429073
DDX31,1870.0,0.361830896,544.0,-0.29492,-0.176706532
DDX47,438.0,0.379294484,22.0,0.105543,-0.187764438
DDX54,1704.0,0.467316231,28.0,0.070437,-0.012084331
DDX56,586.0,0.438032149,643.0,0.084609,-0.162516012
DDX59,217.0,0.413095257,243.0,0.058118,-0.474689838
DHODH,3463.0,0.371608285,21.0,0.175405,-0.065484358
DHPS,121.0,0.474111752,121.0,0.280564,-0.135561863
DHX15,459.0,0.379133957,168.0,0.037296,0.149074406
DHX34,591.0,0.384465978,349.0,0.078902,-0.049259297
DHX58,357.0,0.440330409,223.0,0.725605,-0.128906043
DIABLO,719.0,0.425893605,1182.0,-0.332478,0.10227062
DMAP1,63.0,0.471306,301.0,0.642996,0.048638645
DMXL2,1274.0,0.389901613,225.0,0.308058,0.043817728
DNAJA4,1736.0,0.398301408,169.0,-1.482375,-0.986394109
DNAJC14,1509.0,0.37755465,204.0,-0.055304,0.531991962
DNAJC19,1326.0,0.403482491,259.0,-0.158247,-0.239936478
DNAJC25,1212.0,0.430964931,56.0,-0.09854,0.09265927
DNAJC8,969.0,0.416719859,33.0,0.709713,0.221721872
DNM1,1255.0,0.393835111,116.0,0.370539,-0.283164141
DNTTIP2,3564.0,0.408096853,58.0,0.264,-0.083983226
DOCK11,3681.0,0.373818855,63.0,2.805967,0.231102674
DOCK2,524.0,0.446250827,52.0,3.579362,0.581825048
DOK2,438.0,0.384043737,481.0,3.203155,0.314350705
DPCD,197.0,0.459155016,389.0,-1.656132,0.225940636
DPF2,2501.0,0.393394442,133.0,0.058135,-0.213261546
DPH1,1310.0,0.448716064,341.0,0.009058,-0.130247466
DPH5,784.0,0.413363166,165.0,0.274448,-0.268245207
DPY30,562.0,0.438431353,279.0,-0.162863,-0.162756805
DPYSL2,2472.0,0.430530829,431.0,0.452122,0.782098681
DRAP1,142.0,0.432809908,245.0,0.460966,-0.391066216
DRG1,4594.0,0.444150091,131.0,-0.353897,-0.125692439
DSN1,5330.0,0.392894937,373.0,-0.090981,0.004135229
DSTN,2786.0,0.375776803,438.0,-2.113484,-0.33770669
DTX3L,3456.0,0.408848169,89.0,0.286688,-0.088165799
