,3prime,tAI,max_5_UTR_length,TCGA-C8-A12T,TCGA-C8-A12T.1
AAK1,17874.0,0.380718848,505.0,-0.758315,0.042806187
AATF,207.0,0.367011205,251.0,0.401906,0.277820707
ABCC1,1793.0,0.393368456,175.0,0.042343,-0.846886197
ABCF3,5726.0,0.387768135,869.0,0.3468,0.062118647
ABHD12,654.0,0.374654709,279.0,-0.534383,-1.079547667
ABR,2562.0,0.39474042,600.0,-0.077355,-0.042308323
ABT1,2092.0,0.423473096,40.0,0.044914,0.220479108
ACADVL,176.0,0.46877374,457.0,-0.724291,-0.344831912
ACBD6,155.0,0.433964845,621.0,0.052558,-0.151677886
ACIN1,584.0,0.404933544,328.0,-0.066437,0.030371281
ACO1,4661.0,0.37721508,227.0,0.450881,-0.003959829
ACOT11,1220.0,0.392289045,176.0,-0.682987,-0.391027154
ACOT9,4514.0,0.358892202,225.0,0.616628,0.184802214
ACP2,814.0,0.411581374,548.0,-0.400593,-0.330787423
ACSF2,1484.0,0.405139059,501.0,1.373158,0.405092917
ACSL1,1530.0,0.417966714,990.0,0.822503,-0.230964862
ACSL5,1022.0,0.380976548,307.0,-0.615958,-0.082907348
ACTB,613.0,0.469768794,192.0,0.559751,0.463154055
ACTL6A,452.0,0.409046191,387.0,0.478132,0.243954852
ACTR1A,3151.0,0.432463663,108.0,0.899359,0.094355582
ADA,312.0,0.444091501,440.0,-0.423374,0.086107702
ADAMDEC1,715.0,0.41564171,547.0,-2.14703,-1.130585807
ADD1,1928.0,0.439806775,863.0,0.152176,0.179609897
ADPRH,2067.0,0.380088169,541.0,-0.460038,0.062920143
ADSSL1,320.0,0.393141878,776.0,-1.218313,-0.52444651
AGAP3,508.0,0.436856677,1584.0,-0.060166,-0.242457966
AHNAK,842.0,0.382138706,300.0,-0.237889,0.187104265
AHSA1,225.0,0.374296292,431.0,0.599933,0.154927986
AIF1,121.0,0.4069451,222.0,0.17211,0.10822613
AIFM2,1911.0,0.447982482,217.0,0.013018,-0.179926632
AK1,1528.0,0.389481519,153.0,-0.543813,-0.573395709
AK2,2893.0,0.384271636,345.0,0.088867,-0.202027904
AKR1C2,3804.0,0.449591167,413.0,-1.993174,-1.098588297
AKR7A2,10996.0,0.385600504,22.0,0.694587,0.168500058
ALDH18A1,838.0,0.380333742,511.0,0.548733,-0.233730135
ALDH3A2,2525.0,0.42484639,221.0,-0.123527,-0.329272816
ALDH6A1,4647.0,0.38708374,724.0,-0.450201,-0.148801218
ALG1,2498.0,0.432230555,181.0,-0.009551,-0.902389089
ALG5,380.0,0.362014155,67.0,-0.036635,-0.42510243
ALG9,4217.0,0.365461171,1107.0,-0.268168,-0.966199956
ALOX5AP,976.0,0.392577632,248.0,-0.040528,-0.810050804
AMBRA1,1041.0,0.36170155,362.0,-0.660184,0.18509828
AMPD2,903.0,0.389224108,566.0,-0.4174,-0.065540436
AMPD3,1695.0,0.423686063,472.0,-0.569737,-0.120479674
ANAPC5,235.0,0.390209877,197.0,-0.317571,-0.028191951
ANKLE2,1737.0,0.418251419,90.0,-0.142122,0.036698796
ANKRD16,135.0,0.465649334,543.0,0.026533,0.267248694
ANXA2,496.0,0.429738522,160.0,0.618856,0.215181887
ANXA5,1441.0,0.418050335,165.0,0.426157,0.125563268
AP1B1,1153.0,0.424070668,187.0,0.693609,0.373468905
AP1M1,914.0,0.463388599,173.0,0.291041,0.109442791
APBA1,3797.0,0.387421148,276.0,-0.320576,-0.094160485
APIP,427.0,0.433104693,127.0,0.475986,-0.087980045
APOBEC3C,1979.0,0.381716897,103.0,-0.821204,-0.063401072
APOBEC3G,322.0,0.410940579,404.0,-0.958406,0.256095143
APOL2,1195.0,0.42932248,477.0,0.422918,0.086199684
ARF6,2971.0,0.462806813,621.0,0.397414,0.265637173
ARFIP2,2430.0,0.403729309,291.0,0.023268,-0.290953578
ARHGAP17,2624.0,0.371011524,117.0,-0.171604,0.108781037
ARHGAP30,773.0,0.384451823,645.0,-0.285859,0.141219017
ARHGEF10,1378.0,0.370244255,202.0,0.608959,0.306406675
ARID2,3145.0,0.362288628,128.0,-0.337126,0.11482334
ARIH2,3112.0,0.397061561,878.0,0.056357,0.429745767
ARL8A,1065.0,0.409602486,171.0,-0.58624,-0.136617178
ARRB1,6041.0,0.39512759,224.0,1.390543,0.220474325
