,3prime,tAI,max_5_UTR_length,TCGA-BH-A18U,TCGA-BH-A18U.1
AAK1,17874.0,0.380718848,505.0,-0.456411,0.171859417
AATF,207.0,0.367011205,251.0,0.940446,0.207643372
ABCC1,1793.0,0.393368456,175.0,0.030342,-0.234075076
ABCF3,5726.0,0.387768135,869.0,-0.128135,-0.08141767
ABHD12,654.0,0.374654709,279.0,0.686484,-0.108879258
ABHD6,1639.0,0.384216096,505.0,0.276069,-0.333054623
ABR,2562.0,0.39474042,600.0,-0.646756,0.086761733
ABT1,2092.0,0.423473096,40.0,0.482637,-0.190347541
ACADVL,176.0,0.46877374,457.0,-0.517289,0.038159984
ACBD6,155.0,0.433964845,621.0,-0.171341,0.236710964
ACIN1,584.0,0.404933544,328.0,-0.572815,-0.209938643
ACO1,4661.0,0.37721508,227.0,-0.267426,0.198625065
ACOT11,1220.0,0.392289045,176.0,-1.163466,0.064184075
ACOT9,4514.0,0.358892202,225.0,-0.717893,0.18084674
ACP2,814.0,0.411581374,548.0,-0.200216,-0.010767425
ACSF2,1484.0,0.405139059,501.0,-0.503876,0.308201757
ACSL1,1530.0,0.417966714,990.0,0.710703,0.155991253
ACSL5,1022.0,0.380976548,307.0,-1.490689,-0.248246742
ACTB,613.0,0.469768794,192.0,0.004212,-0.200046726
ACTL6A,452.0,0.409046191,387.0,1.525953,0.221516829
ACTR1A,3151.0,0.432463663,108.0,-0.077787,0.030295873
ADA,312.0,0.444091501,440.0,-0.392509,0.554786878
ADAMDEC1,715.0,0.41564171,547.0,1.877689,0.056552295
ADD1,1928.0,0.439806775,863.0,-0.983003,0.193454255
ADPRH,2067.0,0.380088169,541.0,-0.31875,0.105937337
ADSSL1,320.0,0.393141878,776.0,-0.335388,0.387741812
AGAP3,508.0,0.436856677,1584.0,-1.024596,-0.003311564
AHNAK,842.0,0.382138706,300.0,0.186713,-0.181782981
AHSA1,225.0,0.374296292,431.0,-0.343803,-0.031731522
AIF1,121.0,0.4069451,222.0,-0.251866,0.429004059
AIFM2,1911.0,0.447982482,217.0,-1.436887,0.22337331
AK1,1528.0,0.389481519,153.0,-0.096258,-0.017968648
AK2,2893.0,0.384271636,345.0,0.381328,0.1717982
AKR1C2,3804.0,0.449591167,413.0,2.961503,2.358922669
AKR7A2,10996.0,0.385600504,22.0,-0.372772,-0.2755323
ALDH18A1,838.0,0.380333742,511.0,-0.049079,-0.286221271
ALDH3A2,2525.0,0.42484639,221.0,0.624728,-0.436127064
ALDH6A1,4647.0,0.38708374,724.0,-0.715525,-0.463343251
ALG1,2498.0,0.432230555,181.0,-0.234584,-0.665506505
ALG5,380.0,0.362014155,67.0,-0.514637,-0.525462641
ALG9,4217.0,0.365461171,1107.0,0.747164,-0.179705826
ALOX5AP,976.0,0.392577632,248.0,-0.052494,-0.432556016
AMBRA1,1041.0,0.36170155,362.0,-0.381482,0.00963086
AMPD2,903.0,0.389224108,566.0,-1.222269,0.083456269
AMPD3,1695.0,0.423686063,472.0,-0.404758,0.53085285
ANAPC5,235.0,0.390209877,197.0,0.240458,0.048912449
ANKLE2,1737.0,0.418251419,90.0,-0.220648,-0.039378476
ANKRD16,135.0,0.465649334,543.0,-0.645408,-0.072240566
ANKRD35,249.0,0.402949835,108.0,-2.578103,-0.296456905
ANXA2,496.0,0.429738522,160.0,-0.720452,0.098150397
ANXA5,1441.0,0.418050335,165.0,-0.615878,0.092887479
AP1B1,1153.0,0.424070668,187.0,0.412483,0.049195089
AP1M1,914.0,0.463388599,173.0,-0.143012,0.002915991
APBA1,3797.0,0.387421148,276.0,0.526902,1.336515402
APIP,427.0,0.433104693,127.0,0.312625,0.035678259
APOBEC3B,339.0,0.43450554,55.0,3.029719,0.08126051
APOBEC3C,1979.0,0.381716897,103.0,-0.567249,0.510081659
APOBEC3G,322.0,0.410940579,404.0,-0.462196,0.175647982
APOL2,1195.0,0.42932248,477.0,0.51731,-0.315131685
ARF6,2971.0,0.462806813,621.0,-0.394548,-0.398855371
ARFIP2,2430.0,0.403729309,291.0,-0.492064,0.088720853
ARHGAP17,2624.0,0.371011524,117.0,-0.173801,0.335906146
ARHGAP30,773.0,0.384451823,645.0,-0.352843,0.22763777
ARHGEF10,1378.0,0.370244255,202.0,-0.444934,0.051041984
ARID2,3145.0,0.362288628,128.0,0.065719,0.03482487
ARID3A,3881.0,0.411693449,290.0,-0.190593,0.076961675
ARIH2,3112.0,0.397061561,878.0,0.576729,0.148192536
ARL8A,1065.0,0.409602486,171.0,-0.745209,0.057868445
ARRB1,6041.0,0.39512759,224.0,-0.476192,-0.048661173
ASF1B,950.0,0.395794233,172.0,1.09481,-0.136630945
ASS1,1357.0,0.394201053,356.0,-1.181689,-0.765164046
ATPAF1,3039.0,0.439253133,510.0,0.221808,0.015555141
ATRIP,162.0,0.417082642,462.0,0.837905,0.066746908
B4GALT7,4483.0,0.433879574,93.0,0.065396,-0.024640373
BAG1,2764.0,0.431693656,501.0,-0.888696,-0.106352132
BAG3,537.0,0.387438444,306.0,-0.248197,-0.276131422
BASP1,971.0,0.520859146,259.0,-0.415274,0.203616161
BBS7,1531.0,0.408023089,184.0,0.21905,0.292412975
BCAT2,364.0,0.445598481,657.0,-0.925284,-0.478801512
BCKDHB,3082.0,0.419736544,88.0,-0.542676,-0.105381612
BCL2,5279.0,0.374049285,493.0,-0.903451,-0.307844655
BCL2L13,4109.0,0.411790332,769.0,0.48394,-0.139389749
BID,4193.0,0.428633517,498.0,0.877484,0.438401552
BLVRA,3376.0,0.414260839,177.0,-0.672237,0.107076014
BOLA2,40.0,0.43059393,513.0,0.640747,0.523844759
BOLA3,383.0,0.406657227,38.0,0.428201,-0.079288533
BRD2,787.0,0.377809737,2066.0,0.307281,0.563946208
BRD3,3285.0,0.401150236,188.0,-0.049355,0.132783386
BSPRY,1091.0,0.380011644,48.0,0.469969,-0.173808705
BST2,411.0,0.444557266,81.0,1.123167,-0.397470764
BUB3,1535.0,0.421992618,242.0,0.99309,0.294828447
C1QB,152.0,0.436596666,340.0,0.490791,0.080827637
C1QC,327.0,0.41150294,283.0,0.21978,-0.003288472
C2CD3,671.0,0.360398895,227.0,0.774448,0.187980733
C3,5088.0,0.430632158,93.0,-0.554281,0.246905769
CAP1,1134.0,0.406948565,416.0,0.129877,0.127099161
CAPN1,720.0,0.455130071,197.0,-2.313954,-0.296456658
CAPRIN1,5632.0,0.374918508,189.0,0.205123,0.235960481
CAPZB,5180.0,0.446052528,622.0,-0.281505,0.076525849
CARD16,437.0,0.41300235,27.0,-0.336213,0.80292661
CARHSP1,4898.0,0.362100245,360.0,-0.102343,-0.145301936
CASC3,1778.0,0.370720542,295.0,0.164788,-0.229153193
CASP1,750.0,0.424742838,44.0,0.324406,0.501682074
CASP8,1794.0,0.376118708,303.0,0.681322,0.200078528
CAT,629.0,0.397270122,89.0,-0.943649,-0.325230543
CBL,8368.0,0.375957197,142.0,0.879128,0.154069304
CBLL1,3286.0,0.400851504,467.0,0.356177,0.059661132
CBR3,54.0,0.445176236,228.0,0.111374,0.126424188
CBS,4385.0,0.477784031,626.0,1.656224,-0.222157906
CBX5,10815.0,0.390902295,318.0,0.344228,0.426417469
