,3prime,tAI,max_5_UTR_length,TCGA-AO-A0J9,TCGA-AO-A0J9.1
AAK1,17874.0,0.380718848,505.0,-0.332144,-0.053996632
AATF,207.0,0.367011205,251.0,0.132219,-0.527296605
ABCC1,1793.0,0.393368456,175.0,0.257111,0.046325751
ABCF3,5726.0,0.387768135,869.0,-0.16117,-0.07110369
ABHD12,654.0,0.374654709,279.0,0.67049,-0.184837992
ABHD6,1639.0,0.384216096,505.0,0.858401,-0.06152466
ABR,2562.0,0.39474042,600.0,0.37777,0.257068967
ABT1,2092.0,0.423473096,40.0,0.110418,-0.334783018
ACADVL,176.0,0.46877374,457.0,0.948376,0.279288458
ACBD6,155.0,0.433964845,621.0,0.773167,0.39335833
ACIN1,584.0,0.404933544,328.0,0.306504,0.154519548
ACO1,4661.0,0.37721508,227.0,1.4822,0.567257636
ACOT11,1220.0,0.392289045,176.0,0.915769,-0.082683929
ACOT9,4514.0,0.358892202,225.0,0.39658,0.102276248
ACP2,814.0,0.411581374,548.0,0.251155,-0.165098554
ACSF2,1484.0,0.405139059,501.0,-0.384405,-0.716609081
ACSL1,1530.0,0.417966714,990.0,0.926197,-0.081803835
ACSL5,1022.0,0.380976548,307.0,2.161768,0.412542788
ACTB,613.0,0.469768794,192.0,1.412991,-0.35005348
ACTL6A,452.0,0.409046191,387.0,0.153588,0.025894889
ACTR1A,3151.0,0.432463663,108.0,0.581363,-0.005527006
ADA,312.0,0.444091501,440.0,1.292142,0.046439451
ADAMDEC1,715.0,0.41564171,547.0,-1.09346,-0.487369708
ADD1,1928.0,0.439806775,863.0,-0.191445,0.14816807
ADPRH,2067.0,0.380088169,541.0,1.278999,0.198981245
ADSSL1,320.0,0.393141878,776.0,0.319077,-0.15273377
AGAP3,508.0,0.436856677,1584.0,0.132286,-0.154523164
AHNAK,842.0,0.382138706,300.0,-0.791656,0.048435847
AHSA1,225.0,0.374296292,431.0,0.009405,-0.326085474
AIF1,121.0,0.4069451,222.0,1.673516,0.365741399
AIFM2,1911.0,0.447982482,217.0,1.815033,0.550000833
AK1,1528.0,0.389481519,153.0,0.973371,0.033420947
AK2,2893.0,0.384271636,345.0,0.074613,-0.193149354
AKR1C2,3804.0,0.449591167,413.0,5.132982,0.873281127
AKR7A2,10996.0,0.385600504,22.0,-0.19762,-0.182477225
ALDH18A1,838.0,0.380333742,511.0,-0.197702,-0.036711341
ALDH3A2,2525.0,0.42484639,221.0,0.516532,0.063277521
ALDH6A1,4647.0,0.38708374,724.0,-0.607053,0.294241671
ALG1,2498.0,0.432230555,181.0,-0.434403,0.111541889
ALG5,380.0,0.362014155,67.0,0.293279,-0.477065593
ALOX5AP,976.0,0.392577632,248.0,-0.347836,0.356759686
AMBRA1,1041.0,0.36170155,362.0,-0.55804,-0.300032216
AMPD2,903.0,0.389224108,566.0,-0.248481,0.094993906
AMPD3,1695.0,0.423686063,472.0,0.222121,0.064177352
ANAPC5,235.0,0.390209877,197.0,0.108993,-0.063797977
ANKLE2,1737.0,0.418251419,90.0,0.076714,0.12369669
ANKRD16,135.0,0.465649334,543.0,-0.09363,0.042167562
ANKRD35,249.0,0.402949835,108.0,0.841871,-0.365984078
ANXA2,496.0,0.429738522,160.0,0.557747,-0.054424371
ANXA5,1441.0,0.418050335,165.0,1.064516,0.037320779
AP1B1,1153.0,0.424070668,187.0,0.100364,-0.006907549
AP1M1,914.0,0.463388599,173.0,0.399095,-0.147394914
APBA1,3797.0,0.387421148,276.0,0.556004,-0.179473982
APIP,427.0,0.433104693,127.0,-0.215052,0.173486602
APOBEC3B,339.0,0.43450554,55.0,-2.182327,-0.745418712
APOBEC3C,1979.0,0.381716897,103.0,0.572228,0.204332689
APOBEC3G,322.0,0.410940579,404.0,1.222609,0.157175805
APOL2,1195.0,0.42932248,477.0,0.520279,0.011411153
ARF6,2971.0,0.462806813,621.0,-0.032975,-0.144703721
ARFIP2,2430.0,0.403729309,291.0,-1.123863,-0.541347367
ARHGAP17,2624.0,0.371011524,117.0,0.728375,0.209330218
ARHGAP30,773.0,0.384451823,645.0,0.450468,0.303585461
ARHGEF10,1378.0,0.370244255,202.0,0.243597,0.143436025
ARID2,3145.0,0.362288628,128.0,0.15902,0.484900623
ARID3A,3881.0,0.411693449,290.0,-0.481957,0.28572054
ARIH2,3112.0,0.397061561,878.0,-0.351137,-0.025053759
ARL8A,1065.0,0.409602486,171.0,0.317768,0.159450169
ARRB1,6041.0,0.39512759,224.0,-0.29861,-0.122676474
ASF1B,950.0,0.395794233,172.0,0.614399,-0.376475164
ASS1,1357.0,0.394201053,356.0,1.492005,-0.197039632
ATPAF1,3039.0,0.439253133,510.0,0.204648,-0.212054666
ATRIP,162.0,0.417082642,462.0,0.267052,-0.059324846
AXL,1863.0,0.417061167,376.0,0.344254,0.165749933
B4GALT7,4483.0,0.433879574,93.0,0.904314,-0.082600969
BAG1,2764.0,0.431693656,501.0,0.170552,0.249258586
BAG3,537.0,0.387438444,306.0,0.049563,-0.101671378
BASP1,971.0,0.520859146,259.0,1.370373,0.594652655
BBS7,1531.0,0.408023089,184.0,0.048607,0.421213064
BCAT2,364.0,0.445598481,657.0,0.42208,0.429553585
BCKDHB,3082.0,0.419736544,88.0,-0.732849,0.132577383
BCL2,5279.0,0.374049285,493.0,-0.165557,0.019680156
BCL2L13,4109.0,0.411790332,769.0,-0.073325,-0.28048706
BID,4193.0,0.428633517,498.0,0.357582,0.094621284
BLVRA,3376.0,0.414260839,177.0,1.107222,0.102442571
BOLA2,40.0,0.43059393,513.0,0.404579,-0.353589995
BOLA3,383.0,0.406657227,38.0,0.407954,0.059760463
BRD2,787.0,0.377809737,2066.0,-0.830332,0.035985995
BRD3,3285.0,0.401150236,188.0,0.009757,0.336295616
BSPRY,1091.0,0.380011644,48.0,-1.133815,-0.190035684
BST2,411.0,0.444557266,81.0,0.076352,-0.311638167
BUB3,1535.0,0.421992618,242.0,0.470901,0.212959488
C1QB,152.0,0.436596666,340.0,1.871937,0.465194848
C1QC,327.0,0.41150294,283.0,1.935161,0.743960122
C2CD3,671.0,0.360398895,227.0,-0.525662,-0.165701232
C3,5088.0,0.430632158,93.0,0.251497,0.030737466
CAP1,1134.0,0.406948565,416.0,0.005514,-0.028809931
CAPN1,720.0,0.455130071,197.0,-0.852665,-0.189570179
CAPRIN1,5632.0,0.374918508,189.0,-0.272328,-0.138167025
CAPZB,5180.0,0.446052528,622.0,0.852328,-0.045162885
CARD16,437.0,0.41300235,27.0,2.307262,0.608039999
CARHSP1,4898.0,0.362100245,360.0,1.046233,0.096572714
CASC3,1778.0,0.370720542,295.0,-0.273879,-0.035985297
CASP1,750.0,0.424742838,44.0,0.581526,-0.018330867
CASP8,1794.0,0.376118708,303.0,0.447022,0.041919491
CAT,629.0,0.397270122,89.0,1.148163,-0.050571086
CBL,8368.0,0.375957197,142.0,-0.098615,0.070600239
CBLL1,3286.0,0.400851504,467.0,-0.304962,0.303693106
CBR3,54.0,0.445176236,228.0,1.40233,-0.276288731
CBS,4385.0,0.477784031,626.0,-0.246388,-1.262239529
CBX5,10815.0,0.390902295,318.0,0.66292,0.715205262
CBX8,2504.0,0.36735217,118.0,-0.230752,0.07519083
CCDC115,2169.0,0.385110507,452.0,0.531413,-0.087768142
CCDC58,2462.0,0.421830022,75.0,0.678796,0.4852806
CCDC88C,1302.0,0.396031427,154.0,-0.275487,-0.13874748
CCL5,886.0,0.462166288,68.0,2.032764,-0.005400973
CCNA2,1206.0,0.409154498,373.0,-0.084219,-0.391338856
CCNB2,168.0,0.374401461,184.0,-0.211472,-0.457659618
CCNDBP1,2336.0,0.44393643,231.0,-0.282076,0.046504379
CCS,4244.0,0.460896681,43.0,0.73608,-0.366334128
CCT3,238.0,0.457984718,231.0,0.227438,-0.135762302
CCT4,1361.0,0.393363555,164.0,-0.462491,-0.041585946
CD14,128.0,0.416321757,392.0,1.516008,0.338433923
CD209,3046.0,0.440000747,67.0,1.90065,0.386659171
CD36,2894.0,0.410517795,414.0,4.526288,1.597898263
CD40,982.0,0.429065654,90.0,0.80538,0.122569056
CD44,3115.0,0.39995987,434.0,-0.859379,-0.328574321
CD63,923.0,0.512738356,403.0,1.920141,0.646653431
CD74,635.0,0.427357309,187.0,2.456782,0.045944388
CDC25C,437.0,0.364786128,387.0,1.068082,-0.406344145
CDC26,271.0,0.395637029,359.0,-0.279592,0.182183206
CDC34,560.0,0.46431386,199.0,0.198089,-0.066933788
CDC42EP3,3941.0,0.420378821,1009.0,0.179768,-0.468229512
CDCA3,816.0,0.351209268,820.0,1.526943,-0.042188716
CDIPT,1864.0,0.442654716,541.0,0.403537,0.399598566
CDK1,2313.0,0.398329505,154.0,0.612186,-0.686383232
CDK19,4557.0,0.421511824,180.0,0.186699,0.256026133
CDK2AP1,766.0,0.439144625,522.0,0.877018,0.206655703
CDK5RAP2,367.0,0.371069462,192.0,-0.227973,-0.302218394
CDK5RAP3,284.0,0.469750898,1791.0,0.221744,0.12780978
CDKAL1,1365.0,0.417875209,167.0,0.060891,-0.260461428
